VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Strokovni sodelavec za obračun (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/strokovni-sodelavec-za-obracun-mz-716298-716298/,11.12.2019,02:01,10.12.2019,STANINVEST d.o.o.,Maribor,https://www.optius.com/iskalci/prosta-delovna-mesta/strokovni-sodelavec-za-obracun-mz-716298-716298/,Strokovni sodelavec za obračun (m/ž)
Knjigovodja (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/knjigovodja-mz-716292-716292/,11.12.2019,02:01,10.12.2019,STANINVEST d.o.o.,Maribor,https://www.optius.com/iskalci/prosta-delovna-mesta/knjigovodja-mz-716292-716292/,Knjigovodja (m/ž)
Upravitelj objektov (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/upravitelj-objektov-mz-716288-716288/,11.12.2019,02:01,10.12.2019,STANINVEST d.o.o.,Ljubljana in okolica,https://www.optius.com/iskalci/prosta-delovna-mesta/upravitelj-objektov-mz-716288-716288/,Upravitelj objektov (m/ž)
Varnostnik IV (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/varnostnik-iv-mz-716281-716281/,11.12.2019,02:01,10.12.2019,Študentski dom Ljubljana,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/varnostnik-iv-mz-716281-716281/,"Študentski dom Ljubljana se nahaja v štirih predelih mesta Ljubljane- za Bežigradom, v Šiški, Centru in na Viču. Skupaj je 29 domov, različnih standardov. Opis delovnega mesta   Naloge in odgovornosti: Sprejema in posreduje ustna, telefonska in pisna sporočila zaposlenim in obiskovalcem. Registrira in usmerja obiskovalce v ustrezne prostore ali k določeni osebi. Nadzoruje parkirišče, poslovno stavbo, da bi preprečil nedovoljen vstop in drugo nevarnost. Sprejema, oddaja in razporeja pošto. Po potrebi opravlja naloge varovanja. Opravlja druge naloge po navodilih nadrejenega.      Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Zahtevana izobrazba:  IV,  srednja poklicna, družbene vede 1 leto delovnih izkušenj Prednost bodo imeli kandidati z delovnimi izkušnjami na podobnih delovnih mestih oz. področjih Znanje računalniških programov:  osnovno znanje Microsoft office programov Znanje tujih jezikov: pogovorno znanje angleškega jezika Vozniško dovoljenje B kategorije Samostojnost, resnost, komunikativnost, strokovnost, odločnost    Ponujamo   Delovno mesto ponuja: Redno plačilo Možnost izobraževanj Možnost napredovanj Nagrajevanje uspešnosti    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 1 mesec"
Poslovni sekretar VII/1 (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/poslovni-sekretar-vii1-mz-716278-716278/,11.12.2019,02:01,10.12.2019,Študentski dom Ljubljana,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/poslovni-sekretar-vii1-mz-716278-716278/,"Študentski dom Ljubljana se nahaja v štirih predelih mesta Ljubljane- za Bežigradom, v Šiški, Centru in na Viču. Skupaj je 29 domov, različnih standardov. Opis delovnega mesta   Naloge in odgovornosti: Vodi in organizira aktivnosti na podlagi terminskih planov za predpostavljenega. Sodeluje pri pripravi materialov za seje, vodi poslovno korespondenco in dokumentarno gradivo. Sodeluje pri nabavi, načrtovanju opreme in sredstev, potrebnih za izvajanje delovnega procesa. Vodi in ureja dejavnosti vodilnih delavcev in sodelavcev. Samostojno komunicira s strankami in poslovnimi partnerji, organizira službene poti in skrbi za protokolarne zadeve pri sprejemu obiskovalcev. Sestavlja strokovne dopise, zapisnike, vloge. Skrbi za pretok informacij in koordinacijo dela na vseh stopnjah. Opravlja druge naloge po navodilih nadrejenega.     Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Zahtevana izobrazba: VII/1, visokošolska 1. stopnje, oz. visokošolska strokovna (prejšnja), družbene vede 3 leta delovnih izkušenj Prednost bodo imeli kandidati z delovnimi izkušnjami na podobnih delovnih mestih oz. področjih Znanje računalniških programov: napredno znanje Microsoft office programov Znanje tujih jezikov: aktivno znanje angleškega jezika Vozniško dovoljenje B kategorije Samostojnost, natančnost, samoiniciativnost, komunikativnost, organizacijske sposobnosti, urejenost.    Ponujamo   Delovno mesto ponuja: Redno plačilo Možnost izobraževanj Možnost napredovanj Nagrajevanje uspešnosti    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 3 mesece"
Prodajalec za delo v trgovini vodovodnega in ogrevalnega materiala m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-za-delo-v-trgovini-vodovodnega-in-ogrevalnega-materiala-mz-716283-716283/,11.12.2019,02:01,10.12.2019,"Tapro trgovina, d.o.o., Ljubljana",Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-za-delo-v-trgovini-vodovodnega-in-ogrevalnega-materiala-mz-716283-716283/,"Tapro trgovina d.o.o. je podjetje, ki se ukvarja z veleprodajo in maloprodajo kakovostnih izdelkov za gradnjo in obnovo kopalnic priznanih proizvajalcev.Kupci, vse od arhitektov, projektantov, inštalaterjev do obrtnikov in končnih uporabnikov, v Tapro trgovini najdejo vse za ogrevanje, vodovod in kanalizacijo, torej od vodovodnih armatur, keramičnih ploščic, sanitarne keramike do kopalniških dodatkov in ostalih sanitarnih elementov.Sodelujemo s preko 3000 poslovnimi partnerji doma in v tujini.V naš kolektiv vabimo prodajalca (ž/m) za delo v trgovini vodovodnega in ogrevalnega materiala - Tapro trgovina. Opis delovnega mesta   Naloge in odgovornosti: prodaja vodovodnega in ogrevalnega materiala v Tapro trgovini.     Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: smisel in željo za delo s kupci veselje do dela v timu angažiranost delavnost pozitivna naravnanost poštenost in samoiniciativnost. Poleg naštetega tudi:odlično razvite komunikacijske sposobnosti željo po učenju sposobnost timskega dela predanost skupnim ciljem podjetja Od kandidatov pričakujemo: najmanj IV. stopnjo izobrazbe ustrezne smeri zaželene izkušnje na področju prodaje smisel in željo za delo s kupci pozitivno naravnanostjo angažiranost samoiniciativnost in predanost skupnim ciljem podjetja    Ponujamo   Delovno mesto ponuja: s kandidatom bomo sklenili delovno razmerje za določen čas z možnostjo zaposlitve za nedoločen čas    Poskusno delo: 3 mesece   Mesečno plačilo                               po dogovoru"
Vodja projekta (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-projekta-mz-716267-716267/,11.12.2019,02:01,10.12.2019,"AŽMAN, d.o.o., Lesce",Gorenjska regija,https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-projekta-mz-716267-716267/,"Podjetje AŽMAN d.o.o. iz Lesc je sodobno logistično podjetje z razvejano dejavnostjo na področju mednarodnega cestnega transporta in vzdrževanja vozil.Podjetje naročniki logističnih storitev poznajo kot zanesljivega poslovnega partnerja, z velikim posluhom za optimizacijo in racionalizacijo logističnih stroškov podjetij kakor tudi transportnih časov in poti. Podjetju to uspeva samo s timskim delom in dobrimi medsebojnimi odnosi bodisi med zaposlenimi bodisi naročniki ter vsemi, ki so kakorkoli povezani z delovnimi procesi v podjetju. Opis delovnega mesta   Naloge in odgovornosti: organiziranje, vodenje, koordiniranje in nadziranje del na gradbiščih sodelovanje pri zagonu projekta priučitev projektne dokumentacije izvajanje obračuna s podizvajalci in investitorju, kalkulacije, priprava evidenc, poročil in analiz sodelovanje pri različnih projektih    Pričakujemo   Od kandidata pričakujemo: VI ali VII stopnja ustrezne izobrazbe (inženir gradbeništva, dipl. inž. gradbeništva) najmanj 1 leto delovnih izkušenj v gradbeni stroki vozniško dovoljenje B kategorije visoka mera organiziranosti, natančnosti in samostojnosti razvite komunikacijske in vodstvene sposobnosti samoiniciativnost, proaktivnost, iznajdljivost    Ponujamo   Delovno mesto ponuja: dinamično delo v mladem kolektivu stimulativno plačilo profesionalno rast in razvoj redno delovno razmerje s poskusnim obdobjem in možnostjo dolgoročne zaposlitve"
Razvijalec/razvijalka v okolju Microsoft .NET (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/razvijalecrazvijalka-v-okolju-microsoft-net-mz-716280-716280/,11.12.2019,02:01,10.12.2019,CREA d.o.o.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/razvijalecrazvijalka-v-okolju-microsoft-net-mz-716280-716280/,"Smo inovativno in uspešno* podjetje, ki se osredotoča na napredne in zahtevne projekte na področju IT in poslovnih procesov. Nenehno sprejemamo nove tehnološke izzive doma in v tujini. Smo inovativen in dinamičen kolektiv, ki uživa v preizkušanju sodobnih tehnologij. Pri nas so našli izzive številni študentje z visoko, univerzitetno, magistrsko in celo doktorsko izobrazbo. * Po raziskavi bonitetne hiše Bisnode spada podjetje CREA med 0,7% najboljših podjetij v Sloveniji. Opis delovnega mesta   Naloge in odgovornosti: Se vidiš v naši ekipi?Te veselijo Microsoftova razvojna orodja (Visual Studio.NET) in programski jeziki, predvsem C#? Imaš rad razvoj spletnih rešitev: MVC, ASP.NET, JavaScript, jQuery, HTML5, CSS3, JSon, REST, XML, SignalR? Bi se rad naučil načrtovanja in uporabe podatkovnih zbirk: SQL Server, Oracle, MySQL, Postgres idr. ? Si že postavil rešitev v oblaku ali uporabljal oblačne storitve: Amazon WS, Microsoft Azure? Te zanima tehnologija veriženja podatkovnih blokov (Blockchain)? Si spreten v C++? Bi rad sodeloval pri razvoju rešitve, ki bodo postavile popolnoma nove temelje finančnega poslovanja? Ampak,… kar nekaj od naštetih tehnologij ne poznam?Seveda. :) Pomembnejši od trenutnega tehničnega znanja so nam veselje in želja po načrtovanju in razvoju programskih rešitev. Seveda pa nam je pomembna tudi tvoja sposobnost učenja, vztrajnost in tvoj čut za skupinsko delo.   Delovni čas po dogovoru   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: Bom delal sam?Seveda ne. :)Na začetku bo velik poudarek na tvojem uvajanju v podjetje, na delu v podjetju. Dobil boš mentorja, ki bo delal neposredno s tabo. Drugače pa delamo v projektnih ekipah in si med samo z veseljem pomagamo.    Ponujamo   Delovno mesto ponuja: Kdo bodo moji sodelavci?Ekipa je zasnovana okoli strokovnjakov, ki so nekoč zasnovali prvo in največjo spletno banko v Sloveniji (NLB Klik in SKB.NET). Naša ekipa je naredila prvi gradnik za elektronski podpis v Sloveniji. Danes smo mlada ekipa, ki pa še vedno rada inovira, Še posebej radi pomagamo slovenskim podjetjem, da bi skupaj z nami postali boljši in bolj napredni. V naši izkušeni ekipi boš zagotovo dobil veliko znanja in možnosti za dodatno strokovno izobraževanje. A pri vas samo programirate?Čeprav radi razvijamo, pa se zabavamo tudi drugače. :)Na hodniku je vsak dan na voljo sveže sadje (in zelenjava :), Težko se upremo sladoledu - ja, saj vemo da ni »fajn«, je pa takoo dober … :) Redno organiziramo zabavne teambuildinge po Evropi (Praga, kajak na reki Uni, Beograd, adrenalinski parki, orientacijski teambuildingi, regata, supanje, ni da ni…), Športne dneve in piknike, Družimo se tudi na bovlingu in kartingu. Včasih zvečer skupaj obiščemo center Ljubljane, kjer …. Ah, recimo, da se zna končati … zanimivo. :) Naj ostalo zaenkrat ostane skrivnost. :) Ima moje delovno mesto uraden naziv?Uradno mu rečemo »Razvijalec/razvijalka Microsoft .NET« Drobni tisk: da nas Google lažje najde.Kaj pa zdaj?Povej nam, kaj te veseli, kaj še posebej rad delaš in kaj si že počel - pošlji nam svoj CV.   Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev   Mesečno plačilo                   Redno delovno razmerje za nedoločen čas s 6 mesečnim poskusnim delom ali pogodbeno delo.  Ponujamo dobro plačilo za dobro opravljeno delo in veliko možnosti za strokovno izpopolnjevanje."
Razvijalec C++ za Blockchain (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/razvijalec-c-za-blockchain-mz-716279-716279/,11.12.2019,02:01,10.12.2019,CREA d.o.o.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/razvijalec-c-za-blockchain-mz-716279-716279/,"Opis delovnega mesta   Naloge in odgovornosti: Bi rad sodeloval pri razvoju Bitcoin-a na mednarodnem projetku z najboljšimi strokovnjaki s tega področja? Bi rad spoznal tehnologijo veriženja podatkovnih blokov (ang. blockchain): kako deluje in za kaj se uporablja? Te veselijo razvojna orodja in programski jeziki, npr. C++, JavaScript ali C#?    Delovni čas po dogovoru   Pričakujemo   Zahtevane delovne izkušnje 6 - 9 let   Od kandidata pričakujemo: Obvezno znanje:programiranje v C++, osnovno znanje dela z blockchain tehnologijami oz. res velika želja po njem. Pri kandidatu nam je poleg obsega trenutnega tehničnega znanja pomembno tudi veselje do kriptografije in reševanja izzivov ter želja po načrtovanju in razvoju programskih rešitev. Seveda pa so nam pomembni tudi tvoja sposobnost učenja, vztrajnost in tvoj čut za skupinsko delo.Prosimo, da se nam javite samo resni kandidati z znanjem C++.   Ponujamo   Delovno mesto ponuja: finančni pogoji so zelo spodbudni Čeprav radi razvijamo, pa se zabavamo tudi drugače:s hodnika te vsak dan vabijo sveže sadje in zelenjava, iz kuhinje diši vrhunska kava, težko pa se upremo tudi sladoledu; nabijamo badminton, odbojko, plezamo, švicamo v fitnesu in na vadbah; razvajamo se s healthy in happy lunchi ter masažami; družimo se na zabavnih teambuildingih, izletih po Evropi, vsakoletnem smučarajanju, piknikih, kartingu, jadranju...    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev   Mesečno plačilo                               po dogovoru                                                                         Finančni pogoji so zelo spodbudni."
Pomoč v računovodstvu (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/pomoc-v-racunovodstvu-mz-716263-716263/,11.12.2019,02:01,10.12.2019,Šumer d.o.o.,Celje,https://www.optius.com/iskalci/prosta-delovna-mesta/pomoc-v-racunovodstvu-mz-716263-716263/,"Podjetje Šumer d.o.o. pokriva vsa področja industrije, in sicer od razvoja, izdelave, trženja in servisiranja izdelkov, ki so namenjeni tako domačemu kot tujemu trgu. Posredno je mogoče najti izdelke podjetja na skoraj vseh tržiščih sveta, saj so izdelki deli končnih proizvodov velikih multinacionalk. Podjetje ima lasten razvoj izdelkov in svojo raziskovalno skupino, ki je registrirana pri ARRS. Zaradi povečanega obsega dela želimo zaposliti nove sodelavce m/ž. Opis delovnega mesta   Naloge in odgovornosti: Fakturiranje, kontrola izdanih računov,  knjiženje plačil kupcev,  zavarovanje kupcev,  pisanje potnih nalogov knjigovodstvo osnovnih sredstev, blagajna, osnovno znanje priprave obračuna DDV, izvajanje drugih primernih del po navodilih neposrednega vodje.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    VI/1.,                                    VI/2.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: poznavanje finančnih in računovodskih predpisov, poznavanje davčnih predpisov,  poznavanje delovne zakonodaje,  natančnost in zanesljivost, samoiniciativnost, željo po permanentnem izobraževanju, željo in sposobnost za doseganje visoko zastavljenih ciljev, aktivno znanje angleškega ali nemškega jezika, znanje slovenščine je prednost, poznavanje programskega paketa MS Office, obvezno je poznavanje programa Pantheon (minimalno 2 leti). Upoštevane bodo samo ponudbe, ki ustrezajo zahtevam.   Ponujamo   Delovno mesto ponuja: samostojno delo,  stimulativno plačilo,  možnost dodatnega izobraževanja,  zaposlitev za polni delovni čas.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 3 mesece   Mesečno plačilo                               po dogovoru"
