VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Account manager - računovodja (m/ž) v Kopru,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-kopru-696416-696416/,15.05.2019,04:01,09.05.2019,Trenkwalder kadrovske storitve d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-kopru-696416-696416/,"Si organiziran in predan računovodja? Meniš, da je čas za novo stopničko na karierni poti in si želiš dela v urejenem delovnem okolju, kjer bo tvoje dobro delo prepoznano in ti bo omogočalo napredovanje? Izkoristi priložnost in se pridruži lokalni ekipi sodelavcev. Opis delovnega mesta   Naloge in odgovornosti poslovno in davčno svetovanje strankam na področju računovodskih storitev, opravljanje vseh knjigovodsko-računovodskih storitev, knjiženje, obračun DDV, obračun plač, izdelava zaključnih računov.    Pričakujemo   Od kandidata pričakujemo: vsaj dve leti izkušenj z delom v računovodskem servisu, veselje do dela s strankami, poznavanje knjiženja, obračuna DDV, izdelave plač in zaključnih računov, znanje tujih jezikov predstavlja prednost.    Ponujamo   Delovno mesto ponuja: delovni izziv v rastočem računovodskem podjetju, zaposlitev za nedoločen čas, urejen delovni čas (od 7:00 – 15:00) in številne bonitete za zaposlene (pikniki in dogodki, več prostih dni…), možnost kariernega razvoja in napredovanja znotraj podjetja, izobraževanja in zagotavljanje virov informacij, ki so potrebni za uspešno delo, usmeritev na posamezen segment strank."
Account manager - računovodja (m/ž) v Novi Gorici,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-novi-gorici-696414-696414/,15.05.2019,04:01,09.05.2019,Trenkwalder kadrovske storitve d.o.o.,Nova Gorica,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-novi-gorici-696414-696414/,"Si računovodja s podjetniško žilico? Pridruži se lokalni ekipi sodelavcev v Novi Gorici in svoja znanja razvijaj v smeri pomoči in svetovanja strankam pri računovodskih storitvah. Zaposlitev v urejenem delovnem okolju v družini prijaznem podjetju čaka nate. Opis delovnega mesta   Naloge in odgovornosti poslovno in davčno svetovanje strankam na področju računovodskih storitev, opravljanje vseh knjigovodsko-računovodskih storitev, knjiženje, obračun DDV, obračun plač, izdelava zaključnih računov.    Pričakujemo   Od kandidata pričakujemo: vsaj dve leti izkušenj z delom v računovodskem servisu, veselje do dela s strankami in podjetniška žilica, poznavanje knjiženja, obračuna DDV, izdelave plač in zaključnih računov, znanje tujih jezikov predstavlja prednost.    Ponujamo   Delovno mesto ponuja: delovni izziv v rastočem računovodskem podjetju, zaposlitev za nedoločen čas, urejen delovni čas (od 7:00 – 15:00) in številne bonitete za zaposlene (pikniki in dogodki, več prostih dni…), možnost kariernega razvoja znotraj podjetja, izobraževanja in zagotavljanje virov informacij, ki so potrebni za uspešno delo, usmeritev na posamezen segment strank."
Administrativni referent m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-695881-695881/,15.05.2019,04:02,06.05.2019,KataleaConsulting d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-695881-695881/,"KataleaConsulting d.o.o. je kadrovsko svetovalno podjetje, ki združuje različne strokovnjake z znanjem in dolgoletnimi izkušnjami iz kadrovskega področja. Naši naročniki nam zaupajo zaradi strokovnosti in predanosti delu.Za našega naročnika iz Ljubljane, vodilno podjetje v svoji dejavnosti, z uveljavljeno in prepoznavno blagovno znamko iščemo Administrativnega referenta m/ž. Opis delovnega mesta   Naloge in odgovornosti Svetovanje in podpora strankam preko telefona in elektronske pošte. Reševanje reklamacij. Pošiljanje obvestil skupinam uporabnikov. Spremljanje ponudb in cen konkurence in na trgu na splošno. Preverjanje ponudnikov glede korektnosti izvajanja pogodbenih določil. Analiza prodaje ponudb in ugotavljanje razlogov ob slabi prodaji. Spremljanje izgleda internetnega portala naročnika in opozarjanje na pomanjkljivosti. Klicanje baze obstoječih ponudnikov z namenom aktualiziranja obstoječe baze ponudnikov in ažuriranje podatkov v CRM in hkrati obnovitve pogodb za ponovno objavo že dogovorjenih ponudb. Priprava pogodb in komunikacija tako s slovenskimi kot tujimi poslovnimi partnerji po nalogu svoje vodje. Priprava prezentacij s kratkim povzetkom vsebine vseh partnerskih oglaševalskih medijev za tržnike. Pisanje in ažuriranje tekstov ponudb. Administrativna in organizacijska dela dodeljena po nalogu svoje vodje. Nadomeščanja drugih oddelkov v času dopustov in odsotnosti.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Vsaj 3-4 let delovnih izkušenj, od tega vsaj 2 leti v klicnem centru ali centru za pomoč uporabnikom. Aktivno (ustno in pisno) znanje angleškega jezika. Aktivno (ustno in pisno) znanje hrvaškega jezika. Zaključena najmanj srednješolska izobrazba. Aktivno obvladovanje dela z računalnikom. Programi: Excel, Outlook, Word, Google docs. Zahtevane lastnosti: sposobnost večopravilnosti, prilagodljivost, proaktivnost, organiziranost, samostojnosti in natančnost. Bivališče v Ljubljani ali bližnji okolici. Dobro delovanje v timu in hkrati dobra sposobnost samostojnega dela. Odgovorno in lojalno obdelovanje zaupnih podatkov. Sposobnost prenašanja obremenitev zaradi opravljanja delovnih nalog.    Ponujamo   Delovno mesto ponuja: Redno in stimulativno plačilo (zagotovljena osnova + nagrada po dogovoru). Delovni čas od 9. do 17. ure. Delo v mladem in dinamičnem kolektivu. Zaposlitev se sklene za določen čas, možnost kasnejšega podaljšanja za nedoločen čas."
Administrator m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-694543-694543/,15.05.2019,04:03,17.04.2019,Kariera d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-694543-694543/,
Administrator v financah m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-696807-696807/,15.05.2019,04:00,14.05.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-696807-696807/,
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-696818-696818/,15.05.2019,04:00,14.05.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-696818-696818/,
Agent v rezervacijskem centru (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-rezervacijskem-centru-mz-696825-696825/,15.05.2019,04:00,14.05.2019,CAR TARGET GROUP d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-rezervacijskem-centru-mz-696825-696825/,"Smo uspešno, hitro rastoče mednarodno podjetje, ki deluje v več kot 80-ih državah, s sedežem v Sloveniji, ki se ukvarja z posredništvom pri najemu vozil. Vabimo motiviranega in pozitivno naravnanega posameznika, da se pridruži naši ekipi oddelka za podporo strankam. Kandidat bo kot član ekipe klicnega centra predstavljal vrednote našega podjetja, skrbel za zadovoljstvo naših strank, ter opravljal rezervacije preko telefona in elektronske pošte.  Opis delovnega mesta   Naloge in odgovornosti podpora strankam in podajanje informacij o najemu vozil preko elektronske pošte, chat-a ali telefona, opravljanje in modificiranje rezervacij, reševanje pritožb, ustno in pisno komuniciranje v tujih jezikih, delo NE vključuje direktne prodaje.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.,                                    VIII/1.,                                    VIII/2.                     Zahtevane delovne izkušnje Niso pomembne   Od kandidata pričakujemo: dobre komunikacijske spretnosti v angleškem in vsaj še enem dodatnem jeziku,  sposobnost dela s strankami in naravnanost na razumevanje strank, sposobnost timskega dela, samostojnost pri delu, odgovornost, ambicioznost in samoiniciativnost, sposobnost za reševanje problemov, računalniška pismenost, zaželene izkušnje poslovanja v podobnem oddelku podpore strankam ali v storitveni dejavnosti, Obvezno odlično govorno in pisno znanje angleškega jezika in hkrati odlično govorno in pisno znanje še enega izmed naštetih jezikov:Španščina, Francoščina Italijanščina, Nemščina, Portugalščina. Prednost pri izbiri predstavlja aktivno znanje tujih jezikov in ne dosežena formalna izobrazba.   Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas s 2 mesečno poskusno dobo, možnost zaposlitve za nedoločen čas, kasnejšega napredovanja in kariernega razvoja, zaposlitev za polni delovni čas, izmensko delo, delo v pozitivnem, motivacijskem okolju, mlad in dinamičen kolektiv, redno in dobro plačilo, možnost dodatnih izobraževanj, osebnostna in poklicna rast. Z delom je možno pričeti takoj.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Mesečno plačilo                               po dogovoru"
Agent za delo v klicnem centru m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-696282-696282/,15.05.2019,04:01,08.05.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-696282-696282/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje.Delo poteka od ponedeljka do petka vsak dan od 8:00 do 16:00 h.   Pričakujemo   Od kandidata pričakujemo: Zaželene so izkušnje iz tega področja.Agent mora biti komunikativn, ambiciozen, pozitivno naravnan in mora imeti veselje do dela. Smo mlad tim, vsi skupaj stremimo, da v pozitivnem okolju dosegamo mesečne in letne plane.   Ponujamo   Delovno mesto ponuja: Nudimo redno zaposlitev z poskusno dobo 1 mesec, kasneje možnost tudi za nedoločen čas.Poleg fiksne plače je tudi stimulacija."
Analitik v razvojnem oddelku avtoreparatur (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-v-razvojnem-oddelku-avtoreparatur-mz-696376-696376/,15.05.2019,04:01,09.05.2019,Helios TBLUS d.o.o.,"Količevo, Domžale",https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-v-razvojnem-oddelku-avtoreparatur-mz-696376-696376/,Analitik v razvojnem oddelku avtoreparatur (m/ž)
Arhitekt / Skrbnik kupcev (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/arhitekt-skrbnik-kupcev-mz-696081-696081/,15.05.2019,04:02,06.05.2019,"Trgotur, d.o.o.",Prebold,https://www.optius.com//iskalci/prosta-delovna-mesta/arhitekt-skrbnik-kupcev-mz-696081-696081/,"Smo zunanja kadrovska služba z 28-letno tradicijo. Skrbimo za več kot 70 stalnih naročnikov, katerim v celoti izvajamo kadrovsko službo. Iščemo kandidata za podjetje Ograje Kočevar d.o.o.Okvir dejavnosti podjetja OGRAJE KOČEVAR sestavljajo proizvodnja in montaža ograjnih sistemov tudi za najbolj zahtevne kupce. Na podlagi dolgoletnih izkušenj in poznavanja potreb ter želja kupcev oblikujemo lastne rešitve, ki so v ponos 80.000 zadovoljnim uporabnikom na ciljnih trgih. Letno izvedemo preko 5000 projektov na področju ograjnih sistemov in  montiramo 150 kilometrov ograj. Zagotavljamo vrhunsko kakovost, 12-letno garancijo, rešitve po meri in produkte, ki praktično ne potrebujejo nobenega vzdrževanja. Ob funkcionalnih lastnostih pa so naše ograje v okras in ponos tudi lastnikom, ki so pri oblikovanju notranjega in zunanjega prostora svojih domov zelo zahtevni. Naša prednost je izdelava ograjnih sistemov, ki so v celoti prilagojeni individualnim zahtevam kupcev in vključujejo tudi  sodobne elektronske sisteme upravljanja. Svojo dejavnost pospešeno širimo na trge okoliških držav. Skladno z razvojno strategijo v naše vrste vabimo nove sodelavce. Opis delovnega mesta   Naloge in odgovornosti Doseganje prodajnih ciljev. Delovanje skladno s prodajno strategijo podjetja. Učinkovito upravljanje odnosov s strankami s ciljem ustvarjanja maksimalne donosnosti. Izvedbo svetovanja in prodaje v prodajnem salonu. Samostojno izgradnjo partnerskih odnosov z obstoječimi strankami. Samostojno iskanje novih strank in poslovnih priložnosti. Pripravo ponudb, izrisov, predračunov, računov, pogodb. Opravljanje vseh administrativna opravil povezanih s prodajo produktov. Tekoče poročanje o učinkovitosti in doseganju zastavljenih ciljev. Vodenje in posredovanje evidence o uspešnosti dela. Aktiven pristop k lastnemu profesionalnemu razvoju, aktivni udeležbi na rednih usposabljanj v podjetju.    Pričakujemo   Od kandidata pričakujemo: Izrazito prodajno usmerjenost, skrbnost, veselje do dela z ljudmi. Občutek za dizajn, ureditev zunanje arhitekture objektov. Prodajne veščine, širjenje ponudbe, aktivno prodajo. Aktivno znanje najmanj enega tujega jezika. Stopnja izobrazbe - diplomirani inženir arhitekture. Najmanj 2 leti delovnih izkušenj na področju prodaje (sprejem strank v prodajnem salonu, aktivno iskanje priložnosti za prodajo, svetovanje, priprava  ponudb, pogodb). Natančnost pri poslovnih aktivnostih. Pripravljenost za učenje na področju ograjnih sistemov ter trženja nasploh. Vozniški izpit B kategorije. Ciljno naravnanost, odgovornost. Znanje za delo v MS Office okolju (Word, Excell, E-pošta, Internet). Kandidati s stalnim bivališčem v bližini avstrijske meje imajo prednost.    Ponujamo   Delovno mesto ponuja: Zaposlitev za nedoločen čas s poskusnim obdobjem 6 mesecev. Možnost profesionalne in osebnostne rasti. Možnost sodelovanja pri razvoju novih izdelkov in rešitev. Priložnost za izpolnitev kreativnih potencialov. Stimulativno nagrajevanje, vezano na doseganje ciljev podjetja in individualne cilje.    Mesečno plačilo                               po dogovoru"
