VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Administrator (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-702137-702137/,24.07.2019,04:02,09.07.2019,PROFIL d.o.o.,Ljubljana ,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-702137-702137/,"Za našega naročnika, eno izmed vodilnih lizinških družb v Sloveniji, iščemo osebo za zasedbo delovnega mesta: Administrator (m/ž).  Opis delovnega mesta   Naloge in odgovornosti vnos in izdelava pogodbene dokumentacije pridobitev škodne dokumentacije vnos prejete dokumentacije v sistem ureditev celotne dokumentacije v zvezi s posameznimi pogodbami priprava aneksov za podaljšanje pogodb razporejanje in razdelitev prejete pošte končna kontrola pogodb    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: najmanj V. stopnja izobrazbe ekonomske ali druge ustrezne smeri najmanj 2 leti delovnih izkušenj na podobnem delovnem mestu (back office v oddelku financ, bančništvo, administracija ipd.); zaželene izkušnje iz leasinga natančnost, zanesljivost in organiziranost prilagodljivost in komunikativnost zelo dobro poznavanje dela z računalnikom (MS Office ipd.) aktivno znanje angleškega jezika    Ponujamo   Delovno mesto ponuja: stabilno in urejeno delovno okolje možnost kariernega in osebnega razvoja dinamično delo    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas"
Administrator - upravljanje naročil spletne trgovine (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-upravljanje-narocil-spletne-trgovine-mz-702419-702419/,24.07.2019,04:01,12.07.2019,Imedia GSM d.o.o.,Nova Gorica,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-upravljanje-narocil-spletne-trgovine-mz-702419-702419/,"IMEDIA GSM d.o.o. smo hitrorastoče startup podjetje, katerega cilj je olajšati komercialni razvoj tujih podjetij znotraj območja EU. Glavna dejavnost našega podjetja je prodaja in distribucija izdelkov potrošniške elektronike na trgih EU.Iščemo administratorja za upravljanje naročil spletne trgovine ter administrativna tajniška dela. Opis delovnega mesta   Naloge in odgovornosti Zahteva se poznavanje sledečih področji dela:upravljanje z naročili izstavljanje faktur/računov podpora strankam preko telefona in elektronske pošte prevajanje iz Angleščine in Italijanščine    Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.,                                    VI/2.                     Od kandidata pričakujemo: dobro poznavanje spleta, tehničnih izdelkov (pametni telefoni) dobro znanje Italijanščine in Angleščine osnovno znanje programske opreme za fakture, račune ter naročila zaželena osnovna znanja iz računovodstva resnost, aktivnost, dostopnost Microsoft Office paket (Word, Excell)    Ponujamo   Delovno mesto ponuja: Sedež podjetja se nahaja v Novi Gorici. Ponujamo pogodbo za določen čas z možnostjo podaljšanja za daljše obdobje. Zaželeni so vsi kandidati, ki ustrezajo pogojem."
Administrator v financah m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-701937-701937/,24.07.2019,04:02,05.07.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-701937-701937/,
Administrator v odvetniški pisarni (ž/m),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-odvetniski-pisarni-zm-702353-702353/,24.07.2019,04:01,11.07.2019,Delos zaposlovanje d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-odvetniski-pisarni-zm-702353-702353/,"Za našega naročnika, ugledno odvetniško pisarno, iščemo novega sodelavca - administratorja v odvetniški pisarni (ž/m). Opis delovnega mesta   Naloge in odgovornosti pregled in priprava različnih tipov pogodb, dogovorov, sporazumov, aneksov in drugih potrebnih dokumentov organizacija poslovne administracije računovodske zadeve kadrovske zadeve podpora timu sodelavcev opravljanje drugih del in nalog po navodilu nadrejenega    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: vsaj VI. stopnjo izobrazbe ustrezne smeri (administrativne, ekonomske, upravne ali druge) vsaj 2 leti delovnih izkušenj v odvetniški pisarni aktivno znanje angleškega jezika napredno poznavanje MS Office programov sposobnost samostojnega in timskega dela, proaktivnost, sposobnost opravljanja dela v stresnih situacijah, komunikativnost, natančnost, zanesljivost, odgovornost, pripravljenost na učenje in razvoj    Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas z možnostjo podaljšanja za nedoločen čas delo v prijetnem in urejenem delovnem okolju možnost dodatnega izobraževanja možnost strokovnega in osebnega razvoja    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 3 mesece"
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-701941-701941/,24.07.2019,04:02,05.07.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-701941-701941/,
Aktuar - pripravnik (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/aktuar-pripravnik-mz-702500-702500/,24.07.2019,04:00,19.07.2019,"Zavarovalnica Triglav, d.d.",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/aktuar-pripravnik-mz-702500-702500/,Aktuar - pripravnik (m/ž)
Analitik (m/ž) v Sektorju Ocenjevanje kreditnih tveganj / Divizija tveganj,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-mz-v-sektorju-ocenjevanje-kreditnih-tveganj-divizija-tveganj-702763-702763/,24.07.2019,04:01,16.07.2019,SKB d.d.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-mz-v-sektorju-ocenjevanje-kreditnih-tveganj-divizija-tveganj-702763-702763/,"Pridružite se nam in skupaj z nami ustvarjajte prihodnost. PRIHODNOST STE VI.SKB banka d.d., članica ene izmed najuspešnejših evropskih in svetovnih bančnih skupin Société Générale, utrjuje in širi poslovanje na slovenskem bančnem trgu.Za nadaljnje uspešno poslovanje, iščemo sodelavca(-ko) za deloANALITIK (m/ž) v Sektorju Ocenjevanje kreditnih tveganj / Divizija tveganj (delovno mesto v Ljubljani) Opis delovnega mesta   Naloge in odgovornosti Poslanstvo dela:Zbiranje in analiziranje podatkov o različnih vidikih delovanja trgov, strank in bank (uspešnost, ekonomičnost, donos, tveganje, potrošniško obnašanje…) in izdelava predlogov za odločanje. Opis del in nalog:analizira finančne izkaze, kazalnike in druge podatke pravnih oseb - segment strank mala, srednja in velika podjetja ocenjuje kreditno tveganja in se izreka na podlagi kreditnih predlogov analizira velike baze podatkov za potrebe analiz in spremljave kreditnega portfelja ter poročanja organom banke aplicira standardne analitične pristope in orodja, jih prilagaja in razvija nove; razvija metodologije za merjenje tveganj; razvija modele odločanja, oblikuje KPI na različnih področjih.    Pričakujemo   Od kandidata pričakujemo: VII. stopnjo ekonomske smeri; zahtevnejšo ustno in pisno komunikacijo v angleščini; uporabo standardnih orodij za PC (dobro poznavanje MS Office); poznavanje statističnih metodologij in orodij ter osnovno programiranje (prednost); pisno in ustno komuniciranje; najmanj 1 leto delovnih izkušenj, nekaznovanost in da oseba ni v kazenskem postopku. Sposobnosti in veščine:sposobnost kritičnega in analitičnega mišljenja; natančnost, organiziranost; samostojnost, proaktivnost in samoiniciativnost; dobre komunikacijske in pogajalske sposobnosti; dobre sposobnosti presojanja.    Ponujamo   Delovno mesto ponuja:  Delovno razmerje bomo sklenili za nedoločen čas in šestmesečnim poskusnim delom."
Analitik (m/ž) v sektorju Spremljava tveganj portfelja,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-mz-v-sektorju-spremljava-tveganj-portfelja-703008-703008/,24.07.2019,04:00,18.07.2019,SKB d.d.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-mz-v-sektorju-spremljava-tveganj-portfelja-703008-703008/,"Pridružite se nam in skupaj z nami ustvarjajte prihodnost. PRIHODNOST STE VI.SKB banka d.d., članica ene izmed najuspešnejših evropskih in svetovnih bančnih skupin Société Générale, utrjuje in širi poslovanje na slovenskem bančnem trgu.Za nadaljnje uspešno poslovanje, iščemo novega sodelavca(-ko) za deloANALITIK (m/ž) v sektorju Spremljava tveganj portfelja(delovno mesto v Ljubljani) Opis delovnega mesta   Naloge in odgovornosti Opis del in nalog:spremlja, analizira kreditni portfelj ter pripravlja poročila in predloge za odločanje; pripravlja predloge za izdelavo planov in poslovnih odločitev; razvija metodologije in statistične modele za merjenje tveganj; sodeluje pri oblikovanju informacijskih sistemov na področju analiz kreditnega portfelja; razvija modele odločanja in mere tveganj (KPI).    Pričakujemo   Od kandidata pričakujemo: VII. stopnjo ekonomske ali matematične smeri (alternativa VI/2.); zaželeno 1 leto delovnih izkušenj oz. lahko tudi začetnik; zahtevnejšo ustno in pisno komunikacijo v angleščini; znanje statistike in statističnih orodij; poznavanje statističnega orodja SAS je prednost; izkušnje pri oblikovanju statističnih modelov za izračunavanje verjetnosti neplačila in pričakovanih stopenj izgub so prednost; uporaba standardnih orodij za PC (dobro poznavanje MS Office); pisno in ustno komuniciranje; nekaznovanost in da oseba ni v kazenskem postopku. Sposobnosti in veščine:sposobnost kritičnega in analitičnega mišljenja; natančnost; samostojnost in samoiniciativnost; dobre komunikacijske in pogajalske sposobnosti; dobre sposobnosti presojanja.    Ponujamo   Delovno mesto ponuja:  Delovno razmerje bomo sklenili za nedoločen čas in 6-mesečnim poskusnim delom."
Anketar/ka m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/anketarka-701016-701016/,24.07.2019,04:03,24.06.2019,KRAM PLUS d.o.o.,Radomlje,https://www.optius.com//iskalci/prosta-delovna-mesta/anketarka-701016-701016/,"Smo uspešno, izredno hitro rastoče mednarodno podjetje, ki deluje v več kot 30-ih državah, s sedežem v Sloveniji. Zaradi širitve, rasti in velikega obsega del iščemo več novih sodelavcev m/ž.V svojo ekipo vabimo nove sodelavce (m/ž) za anketiranje. Opis delovnega mesta   Naloge in odgovornosti anketiranje strank, za raziskavo o kvaliteti zraka, samostojnost, odgovornost.    Delovni čas po dogovoru   Pričakujemo   Zahtevane delovne izkušnje Niso pomembne   Od kandidata pričakujemo: odgovornost, točnost.    Ponujamo   Delovno mesto ponuja: možnost zaposlitve za nedoločen čas, stimulativno plačilo, mirno in ne stresno okolje. Ponujamo vam nove perspektive za uresničevanje vaših zastavljenih ciljev in odlične možnosti za zaslužek ter možnost razvoja kariere.   Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Mesečno plačilo                               700 - 900 € bruto"
Aplikacijski inženir (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/aplikacijski-inzenir-mz-702792-702792/,24.07.2019,04:01,16.07.2019,Agencija Agado d.o.o.,Zasavje,https://www.optius.com//iskalci/prosta-delovna-mesta/aplikacijski-inzenir-mz-702792-702792/,"Eno izmed ključnih poslanstev Agencije Agado predstavlja grajenje trajnostnih odnosov. Zavedamo se, da je zadovoljstvo zaposlenih tisto, ki vzbudi prizadevanje in se odraža v učinkovitosti ter dosegi splošnega uspeha zaposlenih. Zato se v Agadu trudimo ponuditi prijetno delovno okolje soustvarjanja, ki sodelavcem omogoča tako profesionalni kot osebni razvoj.Naš naročnik je priznano slovensko podjetje, ki je na globalni trg prodrlo z uspešnim razvojem merilnih tehnik. Podjetje v svojo ekipo vabi APLIKACIJSKEGA (STROJNEGA) INŽENIRJA (m/ž), ki bo sodeloval pri diagnosticiranju in odpravljanju najzahtevnejših tehničnih napak pri produktih. Delo poteka na območju Zasavja. Opis delovnega mesta   Naloge in odgovornosti Podpora pri razvoju rešitev za tehnične meritve, diagnosticiranje in odpravljanje najzahtevnejših tehničnih napak, izvajanje periodičnih pregledov in nadgradenj merilnih inštrumentov, podpora prodaji s tehničnimi podatki in informacijami, zagotavljanje odgovorov glede tehničnih vidikov, aktivno sodelovanje pri projektih meritev – še posebno signalov in avtomobilskih-komunikacijskih protokolov, sodelovanje s produktnimi vodji pri izdelavi študij izvedljivosti za posamezne meritve in pri analizi tehničnih rešitev, sodelovanje pri tehničnem usposabljanju in demonstracij izdelkov, tako interno kot pri kupcih in distributerjih, umerjanje merilnih inštrumentov, ukrepanje v primeru ugotovljenih odstopanj, vzdrževanje delovnih sredstev, predlaganje in uvajanje novih postopkov, tehnik in načinov dela, pripravljanje postopkov in navodil za delo ter sodelovanje pri pripravi strokovnih podlag, sodelovanje v projektnih skupinah, opravljanje drugih del v okviru strokovne usposobljenosti, aktivno delovanje v razvojni ekipi za programsko opremo.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Izobrazbo šeste ali sedme ravni: strokovno izobraževanje smeri strojništva, elektrotehnike ali mehatronike, zahtevane delovne izkušnje: od 3 do 5 let, vozniški izpit B kategorije, dobro razumevanje angleškega jezika, poznavanje MS Office, ostale kompetence: proaktivnost, učljivost, zanesljivost in integriteta.    Ponujamo   Delovno mesto ponuja: Zaposlitev za nedoločen čas, s poskusno dobo 3 mesecev, stimulativno plačilo kot dodatek k osnovi, samostojno, zanimivo in razgibano delo v dinamičnem in strokovnem kolektivu, možnost dokazovanja svojih sposobnosti, podprto z ustreznim nagrajevanjem.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas"
