VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
A-la-carte kuhar (m/ž),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/a-la-carte-kuhar-mz-686461-686461/,20.02.2019,04:01,13.02.2019,Mlino turizem d.o.o.,Bled,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/a-la-carte-kuhar-mz-686461-686461/,"Penzion Mlino s svojo edinstveno lego ob Blejskem jezeru, od koder se nam odpira čudovit pogled na otok in grad, že skoraj stoletje privablja goste od vsepovsod. Ponaša se s kvaliteto in tradicijo, predvsem pa slovi po domačem vzdušju.  Opis delovnega mesta   Naloge in odgovornosti V restavraciji Penziona Mlino zaposlimo a-la-carte kuharja (m/ž) z izkušnjami.   Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: vsaj 3 leta delovnih izkušenj na primerljivem delovnem mestu, strokovnost, samostojnost, nekonfliktnost ter predanost delu.    Ponujamo   Delovno mesto ponuja: zaposlitev za nedoločen čas, z 1 mesečnim poskusnim obdobjem, dobro in redno plačilo, izplačilo regresa, stimulacija za dobro delo.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Mesečno plačilo                               po dogovoru"
A-la-carte Natakar m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/a-la-carte-natakar-mz-686351-686351/,20.02.2019,04:01,13.02.2019,Mlino turizem d.o.o.,Bled,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/a-la-carte-natakar-mz-686351-686351/,"Penzion Mlino s svojo edinstveno lego ob Blejskem jezeru, od koder se nam odpira čudovit pogled na otok in grad, že skoraj stoletje privablja goste od vsepovsod. Ponaša se s kvaliteto in tradicijo, predvsem pa slovi po domačem vzdušju.  Opis delovnega mesta   Naloge in odgovornosti Strokovna postrežba jedi in pijač Svetovanje pri izbiri Sprejem gostov in skrb za njihovo zadovoljstvo    Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 3 leta   Od kandidata pričakujemo: vsaj 3 leta delovnih izkušenj na primerljivem delovnem mestu Strokovnost Samostojnost Nekonfliktnost Predanost delu    Ponujamo   Delovno mesto ponuja: zaposlitev za nedoločen čas, z 1 mesečnim poskusnim obdobjem, polni delovni čas, 1 mesec poskusnega dela, dobro in redno plačilo, izplačilo regresa.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 1 mesec   Mesečno plačilo                               po dogovoru                                                                         Plačilno redno, regres, nadure +30%, nedelje in prazniki +50%, ..."
Account Manager za slovenske kliente (m/ž) / Account Manager for Slovenian Clients (m/f),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/account-manager-za-slovenske-kliente-mz-account-manager-for-slovenian-clients-mf-685838-685838/,20.02.2019,04:02,11.02.2019,Online International Marketing d.o.o,"Beograd, Srbija",https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/account-manager-za-slovenske-kliente-mz-account-manager-for-slovenian-clients-mf-685838-685838/,"Fortrade Ltd. je bil ustanovljen leta 2013, in je hitro zrastel ter postal vodilni ponudnik spletnih rešitev v trgovanju za posamezne in institucionalne kliente. Sedež podjetja je v Londonu, pooblaščeno in regulirano s strani Organa za finančno poslovanje, smo inovatorji, ki so specializirani za razvoj platform, ki so tako tehnološko napredne kot uporabnikom prijazne.Svojim klientom ponujamo široko paleto trgovinskih instrumentov, ki zajemajo več kot 300 valut ter blago, indekse in CFD-je.FORTRADE, licencirana borznoposredniška družba IŠČE SODELAVCE!Pridružite se eni vodilnih svetovnih borznoposredniških družb in vstopite v svet financ!Fortrade Ltd. beleži nenehno poslovno rast. Da bi okrepili svoj oddelek za Slovenijo, iščemo talentiranega: Account Managerja za slovenske kliente (m/ž).______________________________________________________________________________________________________Fortrade Ltd. was established in 2013, and has grown rapidly to become a leading provider of online trading solutions for individual and institutional clients. Based in the UK, authorised and regulated by the Financial Conduct Authority, we are innovators specializing in the development of trading platforms that are both, technologically advanced and user-friendly.We offer our clients a wide range of trading instruments covering more than 300 currencies, as well as commodities, indexes and stock CFD’s.FORTRADE, licensed brokerage company is HIRING!Join one of the world’s top brokers and enter the world of finance!Fortrade Ltd. is experiencing a continuous business growth. To enforce our Slovenian department, we are looking for a talented: Account Manager for Slovenian Clients (m/f). Opis delovnega mesta   Naloge in odgovornosti Iščemo strokovnjake, ki bodo odgovorni za naše stranke.Ste vsestranski strokovnjak? Odgovorni boste za komunikacijo in pomoč potencialnim klientom, ki se registrirajo na naši spletni strani, da bi trgovali na globalnem finančnem trgu. To delovno mesto ne pomeni iskanja potencialnih klientov iz vaše osebne podatkovne baze ali na vašo pobudo. Klienti so znani in jih zagotovi podjetje.Nekatere vaših glavnih odgovornosti:dnevna telefonska komunikacija z našimi slovensko govorečimi klienti, in zagotavljanje vsestranskih posodobitev glede najnovejšega razvoja dogodkov na globalnih finančnih trgih predstavitev produktov in storitev slovensko govorečim klientom in pomoč pri pravilni uporabi teh storitev napredna tehnična podpora pri uporabi sofisticiranih platform za trgovanje delo v najnovejši CRM podatkovni bazi in drugi napredni programski opremi _______________________________________________________________________________________________________________We are looking for professionals to be responsible for our clients.You are an all-rounded professional, who will be responsible for communicating and assisting potential clients which register on our website to trade on global financial market. The job vacancy does not imply searching for potential clients from your own personal data or initiative. Clients are provided and owned by the company.Some of your main responsibilities:Daily phone call communication with our Slovenian speaking clients and providing them all-round updates on the latest developments on global financial markets Presenting products and services to Slovenian speaking clients and assisting them in using those services properly Advanced technical support in using sophisticated trading platforms Working in the state-of-the-art CRM database and other advanced software    Pričakujemo   Od kandidata pričakujemo: tekoče znanje slovenskega jezika fakultetna izobrazba (ekonomska ali finančna izobrazba bo prednost) poznavanje dela z orodji Microsoft office dobra socialna inteligenca odlična komunikacija, pogajalske in prodajne veščine zelo profesionalen odnos in razumevanje potreb klientov pripravljenost na pridobivanje novih znanj in spretnosti _______________________________________________________________________________________________________________Fluent Slovenian language Faculty degree (economics and finance degree are an advantage) Microsoft package knowledge Strong social intelligence Excellent communication, negotiating and sales skills Highly professional attitude and understanding of client’s needs Will to gain new knowledge and skills Ambition to build a career and progress in the company hierarchy    Ponujamo   Delovno mesto ponuja: Prednosti in ugodnosti (naše podjetje ponuja):zelo konkurenčen plačni paket plača se v prvih dvanajstih mesecih izboljšuje zelo privlačna bonusna shema priložnost zgraditi kariero na vrhu trga finančnega sektorja, v uradni finančni instituciji, ki jo urejajo finančni organi pokojninsko + zdravstveno zavarovanje delovno dovoljenje dva tedna usposabljanja na podlagi našega poslovanja (kot začetna točka vaše poklicne poti) brezplačno telovadnico in fitness prijetno mednarodno poslovno okolje mesečne nagrade za najuspešnejše kontinuirano usposabljanje, osebno in strokovno rast če postanete del hitrorastočega mednarodnega podjetja, boste imeli priložnost napredovanja na višje položaje celovitost, prilagodljivost in svetlo ter stabilno prihodnost ___________________________________________________________________________________________________Perks and benefits (our company provides):Opportunity to build career in the top segment of the financial sector, in an official financial institution, regulated by financial authorities Competitive salary package (fixed salary + attractive bonus scheme) Pension + health insurance Work permit Two weeks of training course on basics of our business (as a starting point of your career path) Free of charge gym & fitness Pleasant international office environment Monthly awards to top performers Ongoing training, personal - and professional growth Being a part of a rapidly growing international company, full of advancement opportunities to senior positions Integrity, flexibility, commitment and a bright, stable future"
Administrativna pomoč (m/ž) - študentsko delo,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrativna-pomoc-mz-studentsko-delo-686460-686460/,20.02.2019,04:01,13.02.2019,Protim Ržišnik Perc d.o.o.,Šenčur pri Kranju,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrativna-pomoc-mz-studentsko-delo-686460-686460/,"Protim Ržišnik Perc d.o.o. (www.protim.si) je neodvisno svetovalno projektantsko podjetje arhitektov in inženirjev, ki naročnike vodi skozi vse faze projekta, od prvih zasnov do končne izvedbe optimizacije obratovanja objekta.Dobro se zavedamo, da z našim delom nosimo strokovno odgovornost in da je naše poslanstvo ustvarjanje pravih rešitev za danes in jutri ter zagotavljanje polne transparentnosti v investicijskih procesih.Posebnost dela v našem timu je vzajemno delovanje strokovnjakov različnih profilov in značajev, ki prav zaradi vključenosti posameznikov v interdisciplinarno timsko delo uspejo z logiko in ustvarjalnostjo razviti inovativne rešitve za učinkovito doseganje skupnega cilja.Podjetje se konstantno razvija. Danes zaposlujemo preko 90 strokovnjakov. Naša velikost, strokovna širina in delo za mednarodne naročnike omogoča strokovni in osebnostni razvoj posameznika. Tako med nami najdemo nemalo uspešnih karier naših danes tudi vodilnih sodelavcev.Na rezultate svojega dela, predvsem na zadovoljstvo naših strank, na naš poslovni uspeh, nagrade in priznanja, gledamo z velikim ponosom!Več o nas na www.protim.si. Opis delovnega mesta   Naloge in odgovornosti V Protim-ov tim vabimo ŠTUDENTE ZA ADMINISTRATIVNO POMOČ (m/ž).   Pričakujemo   Od kandidata pričakujemo: študent (m/ž) višjega letnika zaželene delovne izkušnje na področju administracije, možnost delati od ponedeljka do petka  računalniška znanja: znanje Word, Excell, Power Point, zaželeno MS Project znanje angleškega, zaželeno tudi nemškega jezika  vozniški izpit B ktg. prijaznost, komunikativnost, veselje in smisel za administrativno delo in delo z ljudmi organizacijske sposobnosti    Ponujamo   Delovno mesto ponuja: znanju, izkušnjam in kompetencam primerno plačilo - urna postavka je odvisna od nivoja znanja in samostojnosti pri delu možnost opravljanja obvezne prakse osebnostni razvoj in napredovanje kultura izmenjave strokovnih izkušenj med sodelavci delo v družbeno odgovornem podjetju prijetno delovno okolje in pestro družabno življenje v poslovni skupini Ržišnik Perc"
Administrativni referent (m/ž),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrativni-referent-mz-684909-684909/,20.02.2019,04:02,01.02.2019,BioTransport d.o.o.,Komenda,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrativni-referent-mz-684909-684909/,"Zaradi širitve poslovanja vabimo v kolektiv ADMINISTRATIVNEGA REFERENTA (m/ž) z ustreznimi delovnimi izkušnjami.  Opis delovnega mesta   Naloge in odgovornosti Priprava potrebne dokumentacije za izvajanje programa, sprejemanje naročil v pisarni, komunikacija s strankami, podpora voznikom na terenu, spremljanje in nadzor dela voznikov, informiranje komercialnih zastopnikov in naročnikov, obveščanje nadrejenega o morebitnih problemih strank in reševanje le-teh, reševanje reklamacij v dogovoru z nadrejenimi, vnos in obdelava podatkov, vodenje evidenc, izvajanje inventure, druga dela za potrebe delodajalca.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Osebo z voljo in željo po delu, samostojnost, samoiniciativnost, 1 - 3 leta delovnih izkušenj na primerljivem delovnem mestu, dobro pisno in ustno komuniciranje, osnovno znanje orodij MS Office Excel, Word, Outlook, V. stopnjo izobrazbe, vozniški izpit B kategorije, lasten prevoz.    Ponujamo   Delovno mesto ponuja: Redno in stimulativno plačilo, dinamično delo v prijetnem delovnem okolju, zaposlitev za določen čas z možnostjo zaposlitve za nedoločen čas."
Administrator - finančni oddelek in ostalo (m/ž),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-financni-oddelek-in-ostalo-mz-685085-685085/,20.02.2019,04:02,04.02.2019,Toro green d.o.o.,Škofljica,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-financni-oddelek-in-ostalo-mz-685085-685085/,"Podjetje Toro Green d.o.o., proizvaja in distribuira naravna zdravila, prehranske dodatke ter kozmetiko v Sloveniji, Italiji, Nemčiji, Angliji, Grčiji, Cipru Hrvaški, Bolgariji, Izraelu ter Indiji.Toro Green d.o.o. išče osebo z izkušnjami za zahtevna administracijska dela.   Opis delovnega mesta   Naloge in odgovornosti Delovna področja:finance, komunikacija s strankami in dobavitelji, reševanje reklamacij, analitika, priprava poročil, drugo.    Pričakujemo   Zahtevana izobrazba                                    VI/1.                     Zahtevane delovne izkušnje 4 - 5 let   Od kandidata pričakujemo: Pogoji:dosegljiv 40 ur na teden, visoka računalniška pismenost (uporabljanje socialnih omrežij, iznajdljivost na Google-u, Office paket, osnove v Adobe paketu), zanimanje in želja po vrhunskih znanjih iz novih trendov, ambicioznost bo imela prednost pred izkušnjami, najmanj zelo dobre ocene pri zaključnih izpitih iz slovenščine in matematike, smer izobrazbe ni pomembna, zaželena 7. stopnja, organiziranost, resnost, učljivost in dinamičnost. Pričakujemo:kandidata ali kandidatko z večletnimi delovnimi izkušnjami (lahko tudi preko ŠS), dobro znanje Angleškega jezika in osnove nemščine ali drugih jezikov, ambicioznega kandidata z željo, da se uči od najboljših v industriji, osebo iz Ljubljane ali širše okolice, sposobnost dela po prioritetah, organiziranost, doslednost, prodajna naravnanost. Zaželeno: visokošolska izobrazba, računalniška znanja, delovne izkušnje in hitro učenje ter smisel za posel.   Ponujamo   Delovno mesto ponuja: nudimo možnost napredovanja, delo v sproščenem okolju in v pozitivnem vzdušju, zaposlitev za določen čas s poskusno dobo 3 mesece, zaposlitev za polni delovni čas. Na prijavo za prosto delovno mesto ste vabljeni tudi kandidati z nekoliko manj izkušnjami!V kolikor je v vas želja po hitrem učenju in napredovanju se prijavite.     Mesečno plačilo                               900 - 1200 € bruto                                                                         Redno plačilo, ki na začetku ne bo zelo visoko. Ne zato, ker ne bi želeli plačati, ampak ker kandidatu že na začetku nudimo takšno raven znanja in izobraževanj (iščemo željo po znanju pred željo po visokem trenutnem zaslužku)"
Administrator m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-mz-686421-686421/,20.02.2019,04:01,13.02.2019,"Žagar Commerce, d.o.o.",Domžale,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-mz-686421-686421/,"Opis delovnega mesta   Naloge in odgovornosti vnos in obdelava podatkov: sestavljanje ponudb, pisanje računov in dobavnic, obdelava podatkov v računovodskem programu Vasco, priprava dokumentov za računovodstvo obdelava prejete in poslane pošte upravljanje z dokumenti in arhiviranje vsa ostala dela in naloge po naročilu vodje    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: delavca z izkušnjami poznavanje Excela in drugih orodij MS office komunikacijske sposobnosti natančnost in organiziranost    Ponujamo   Delovno mesto ponuja: delovni čas od ponedeljka do petka možnost sodelovanja za nedoločen čas prijetno delovno okolje smo resno podjetje in cenimo delo zaposlenih    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 1 mesec   Mesečno plačilo                   redno plačilo"
Administrator z znanjem nemškega jezika m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-z-znanjem-nemskega-jezika-mz-686983-686983/,20.02.2019,04:00,18.02.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-z-znanjem-nemskega-jezika-mz-686983-686983/,
Agent za delo v klicnem centru m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/agent-za-delo-v-klicnem-centru-mz-683816-683816/,20.02.2019,04:03,25.01.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/agent-za-delo-v-klicnem-centru-mz-683816-683816/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje časopisa. Delo poteka od ponedeljka do petka vsak dan od 8:00 do 16:00 h.   Pričakujemo   Od kandidata pričakujemo: zaželene so izkušnje iz tega področja agent mora biti komunikativen, ambiciozen, pozitivno naravnan in mora imeti veselje do dela Smo mlad tim, vsi skupaj stremimo, da v pozitivnem okolju dosegamo mesečne in letne plane.   Ponujamo   Delovno mesto ponuja: redno zaposlitev z poskusno dobo 1 mesec, kasneje možnost tudi za nedoločen čas poleg fiksne plače je tudi stimulacija"
Aktuar (m/ž),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/aktuar-mz-683969-683969/,20.02.2019,04:03,28.01.2019,Prva osebna zavarovalnica d.d.,Ljubljana,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/aktuar-mz-683969-683969/,"Prva osebna zavarovalnica je članica zavarovalniškega holdinga Skupina Prva (Prva Group) in je ena od petih hčerinskih družb v lasti Prve Group.Glavno dejavnost Prve osebne zavarovalnice predstavlja prostovoljno dodatno pokojninsko zavarovaje, v okviru katerega zbira premije, upravlja s premoženjem in izplačuje pokojninske rente. Družba na tem področju upravlja z več kot 300 milijonov evrov premoženja in tri pokojninske načrte v štirih kritnih skladih. Opis delovnega mesta   Naloge in odgovornosti priprava predlogov zavarovalnih podlag, analiziranje strukture premije, škod in zavarovalno tehničnih rezultatov posameznih zavarovalnih vrst, pomoč pri sestavljanju aktuarskih poročil, analiz in obračunov, analiziranje zavarovalnih tveganj s področja zavarovanj in njihovega vpliva na zavarovalnico, priprava pogojev in cenikov za zavarovanja, spremljanje, poznavanje in implementacija zakonodaje na svojem področju dela, pridobivanje podatkov iz informacijskega sistema za aktuarske in statistične namene, sodelovanje pri razvoju zavarovalnih produktov, sodelovanje pri razvoju aktuarskih modelov, administrativno vodenje pozavarovalne in sozavarovalne zaščite, načrtovanje in oblikovanje pozavarovalne zaščite, opravljanje sorodnih del po navodilih nadrejenih.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    VI/1.,                                    VI/2.                     Zahtevane delovne izkušnje 4 - 5 let   Od kandidata pričakujemo: poznavanje področja aktuarstva, vsaj 3 leta delovnih izkušenj na področju aktuarstva, samoiniciativnost, samostojnost, organiziranost, željo po učenju, pozitiven odnos do dela, visokošolsko oz. višješolska strokovna izobrazba smeri matematika, fizika, računalništvo, elektrotehnika oz. strojništvo.    Ponujamo   Delovno mesto ponuja: delo v urejenem in prijetnem okolju rastočega podjetja, delo v ambiciozni in proaktivno usmerjeni strokovni ekipi, delo v družbi, kjer lahko vsak zaposleni prispeva k njenemu razvoju, možnost osebnega in kariernega razvoja, delovnik, ki nudi odlično ravnotežje med strastjo do dela in prostim časom, skrb za zaposlene v okviru promocije zdravja ter ukrepov Družini prijaznega podjetja, prostovoljno dodatno pokojninsko zavarovanje ter ostale ugodnosti podjetja, zaposlitev za nedoločen čas, s 4 mesečno poskusno dobo.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 4 mesece   Mesečno plačilo                               po dogovoru"
