VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Prodajni inženir na področju kompozitov in brusnih materialov (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/prodajni-inzenir-na-podrocju-kompozitov-in-brusnih-materialov-mz-713566-713566/,13.11.2019,02:01,12.11.2019,Carsystem d.o.o.,po Sloveniji,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajni-inzenir-na-podrocju-kompozitov-in-brusnih-materialov-mz-713566-713566/,"Carsystem d.o.o. - Naša dejavnost je prvenstveno usmerjena na področje kompozitov ( steklom ali karbonom ojačanih polimerov) ter spremljajočih materialov. Sem spadajo sredstva za nego in vzdrževanje kalupov,  drobno orodje in materiali za predelavo, negovanje in vzdrževanje izdelkov prvenstveno iz poliestrskih in epoksidnih smol.Naš moto je: ""Poglabljati že tradicionalno prijateljstvo med zaposlenimi in strankami in hkrati z svojimi dobavitelji nuditi ne le izdelke, ampak celovite rešitve v dejavnosti. Strankam nuditi dodatna znanja in celovite programe vodenja in obvladovanja procesa. Zato so naše stranke inovativni in k napredku usmerjene družbe in posamezniki."" Opis delovnega mesta   Naloge in odgovornosti: samostojno vodenje prodajnega segmenta kompozitov in brusnih materialov Norton v okviru svojega področja dela boste odgovorni za tehnično svetovanje, podporo in prodajo našim kupcem, s ciljem razvijanja dolgoročnega partnerskega odnosa uvajanje novih prodajnih programov s področja kompozitov pridobivanje novih kupcev    Pričakujemo   Od kandidata pričakujemo: zahtevano je poznavanje prodajnega segmenta, bodi si po komercialni ali tehnični plati V ali VI stopnjo izobrazbe tehnične ali ekonomske smeri odlične sposobnosti na področju svetovanja in pridobivanja novih poslov dobro znanje in uporaba računalniških orodij MS Office aktivno znanje angleškega jezika vozniški izpit B kategorije natančnost, vestnost in samodiscipliniranost komunikativnost in veselje do dela z ljudmi    Ponujamo   Delovno mesto ponuja: po uspešno opravljenem poizkusnem delu zaposlitev za nedoločen čas korekten odnos dinamično, razgibano in pestro delo delo v izkušenem, prijaznem in energičnem kolektivu spodobno plačilo za vaš trud razdeljeno na fiksni in variabilni del možnost dela od doma službeno vozilo"
Vodja finančno računovodske službe m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-financno-racunovodske-sluzbe-mz-713581-713581/,13.11.2019,02:01,12.11.2019,Gospodarska zbornica Slovenije,"GZS, Ljubljana",https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-financno-racunovodske-sluzbe-mz-713581-713581/,Vodja finančno računovodske službe m/ž
Strokovni sodelavec za ekonomsko področje VII/1 (I) (m/ž) v Finančni službi,https://www.optius.com/iskalci/prosta-delovna-mesta/strokovni-sodelavec-za-ekonomsko-podrocje-vii1-i-mz-v-financni-sluzbi-713436-713436/,13.11.2019,02:01,12.11.2019,Onkološki inštitut Ljubljana,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/strokovni-sodelavec-za-ekonomsko-podrocje-vii1-i-mz-v-financni-sluzbi-713436-713436/,Strokovni sodelavec za ekonomsko področje VII/1 (I) (m/ž) v Finančni službi
Skladiščnik (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/skladiscnik-mz-713584-713584/,13.11.2019,02:01,12.11.2019,Lindab d.o.o.,Godovič,https://www.optius.com/iskalci/prosta-delovna-mesta/skladiscnik-mz-713584-713584/,"Lindab je vodilni razvijalec in dobavitelj proizvodov, sistemov in rešitev za poenostavljeno gradnjo in izboljšano notranjo klimo prostorov. Z vizijo zagotavljanja popolnega udobja bivanja v domačem in delovnem okolju, Lindab razvija energetsko učinkovite rešitve in s tem zagotavlja dodano vrednost za naše stranke in končnega uporabnika. Ohranjanje in nadaljnji razvoj naših inovativnih proizvodov je odvisen od naših zavzetih zaposlenih, ki strastno stremijo k izboljšanju življenjskih pogojev številnih Lindabovih kupcev in končnih uporabnikov po vsem svetu. Opis delovnega mesta   Naloge in odgovornosti: sprejemanje materiala na skladišče (kontrola kvalitete in količine) izdajanje materiala in polizdelkov v proizvodnjo pospravljanje in urejanje skladišča tehtanje, merjenje in komisioniranje blaga priprava in odprema pošiljk za domači in tuji trg (izvozna dokumentacija) prejem in evidentiranje reklamacij materiala in končnih izdelkov upravljanje z viličarjem, nakladanje in razkladanje    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: dobra usposobljenost za delo z MS Office, ERP informacijski sistem poznavanje skladiščnih procesov pripravljenost na dvoizmensko delo    Ponujamo   Delovno mesto ponuja: Zaposlitev za nedoločen čas s 6 mesečno poskusno dobo, možnost kariernega razvoja in napredovanja v skladu z doseženimi rezultati, zaposlitev v uspešnem mednarodnem podjetju, delo v prijetnem kolektivu in okolju. Dodaten dan dopusta za prvi šolski dan prvošolčka, dodatno pokojninsko zavarovanje."
Prodajalec (m/ž) - Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-ljubljana-713575-713575/,13.11.2019,02:01,12.11.2019,PITTAROSSO d.o.o.,Ljubljana - Rudnik,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-ljubljana-713575-713575/,"Pittarosso trgovina je mesto, kjer lahko nakupujete po ugodnih cenah, ne da bi se ob tem odpovedali priznanim znamkam ali kvaliteti “made in Italy”.Na več kot tisoč kvadratnih metrih bo vsakdo našel nekaj zase, od pristašev klasičnih moških čevljev do zagovornic modnih trendov, prav tako pa nismo pozabili na obutev za najmlajše ter nenazadnje na športne privržence. Opis delovnega mesta   Naloge in odgovornosti: pomoč strankam skrb za urejenost prodajnega prostora zadolžitve vključujejo prodajo, razvrščanje prodajnih artiklov v prodajnem prostoru, ter skrb za čistočo v delovnem okolju    Delovni čas po dogovoru   Pričakujemo   Zahtevana izobrazba                                    IV.                     Zahtevane delovne izkušnje Niso pomembne   Od kandidata pričakujemo: izkušnje na podobnem delovnem mestu osebno urejenost komunikativnost motiviranost za delo Iščemo vestno, delovno, komunikativno osebo, katero veseli prodaja ter svetovanje pri nakupu.   Ponujamo   Delovno mesto ponuja: ponujamo delo v prodajalni z obutvijo za določen čas 40 ur na teden, zaposlitev za določen čas s poskusno dobo 1 mesec, zaposlitev za polni delovni čas.    Poskusno delo: 1 mesec   Mesečno plačilo                               po dogovoru"
Sodelavec za podporo uporabnikom (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/sodelavec-za-podporo-uporabnikom-mz-713558-713558/,13.11.2019,02:01,12.11.2019,Adrial d.o.o.,Kamnik,https://www.optius.com/iskalci/prosta-delovna-mesta/sodelavec-za-podporo-uporabnikom-mz-713558-713558/,"Iščemo odgovorno in zanesljivo osebo z odličnim znanjem hrvaškega in slovenskega jezika za delo v oddelku za podporo uporabnikom. Opis delovnega mesta   Naloge in odgovornosti: Delo bo obsegalo:telefonska podpora strankam, svetovanje strankam, odgovarjanje na elektronsko pošto in FB sporočila, reševanje reklamacij, administrativna dela.    Delovni čas skrajšani delovni čas   Pričakujemo   Zahtevana izobrazba                                    V.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: Kakšno osebo iščemo?Iščemo osebo z odličnim znanjem hrvaškega jezika, ki je zanesljiva in odgovorna, ima prijeten glas in občutek za ljudi ter, ki se bo dobro ujela z obstoječo ekipo.Ali imaš?Odlično znanje hrvaškega jezika (pisno in govorno). POGOJ! Odlično znanje slovenskega jezika (pisno in govorno). Odlične komunikacijske sposobnosti. Sposobnost prilagajanja komunikacijskem nivoju stranke. Kreativnost in sposobnost hitrega reševanja nastalih situacij. Odlično znanje uporabe računalnika in hitrega tipkanja. Prilagodljivost, samoiniciativnost, željo po učenju. Visoko stopnjo odgovornosti in zanesljivosti. Pozitiven odnos do dela in novih izzivov.    Ponujamo   Delovno mesto ponuja: Ponujamo ti:zaposlitev za določen in krajši delovni čas s poskusno dobo. Kasneje možnost zaposlitve za polni delovni čas in za nedoločen čas, možnost rednega izobraževanja in sodelovanja v okviru mednarodne skupine, delo v prijetnem in urejenem kolektivu, vse ostale prednosti, ki jih lahko pričakuješ: zdrave in nezdrave zajtrke, smoothie četrtke, fitness challenge, odlične teambuildinge, mladi kolektiv, itd.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 1 mesec   Mesečno plačilo                               po dogovoru"
Poslovni informatik (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/poslovni-informatik-mz-713520-713520/,13.11.2019,02:01,12.11.2019,PROFIL d.o.o.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/poslovni-informatik-mz-713520-713520/,"Naš naročnik je mednarodna finančna organizacija, del bančne grupacije, ki na trgu nudi raznovrstne finančne produkte in je vodilna na področju financiranja premičnin. Zaradi širitve in prilagajanja poslovnih procesov in standardov bančnim v svoje vrste vabijo zanesljivo in odgovorno osebo na delovno mesto Poslovni informatik. Opis delovnega mesta   Naloge in odgovornosti: skrbnik poslovnih aplikacij koordinacija zunanjih izvajalcev za poslovne aplikacije skrb za pravilno izmenjavo podatkov med aplikacijami in zunanje integracije sodelovanje pri vzdrževanju kvalitete podatkov (data quality) optimizacija poslovnih procesov in pridobivanje ponudb za novo poslovno rešitev sodelovanje pri DWH in CRM rešitvah analiza podatkov preko SQL poizvedb skrb za pravilno in nemoteno delovanje informacijskega in komunikacijskega sistema v sodelovanju z zunanjimi partnerji svetovanje uporabnikom pri uporabi aplikacij strokovno sodelovanje pri izvedbi projektnih aktivnosti testiranje novih rešitev priprava, organizacija in izvedba internih delavnic za zaposlene priprava poročil priprava zahtevkov za odobritev novih poslovnih rešitev    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    VI/1.,                                    VI/2.,                                    VII.,                                    VIII/1.,                                    VIII/2.                     Zahtevane delovne izkušnje 3 leta   Od kandidata pričakujemo: najmanj VI. stopnjo izobrazbe s področja informatike ali druge ustrezne smeri najmanj 3 leta delovnih izkušenj na področju informatike pri izvajanju podobnih del izkušnje s področja vodenja projektov, teamskega dela, postavljanja arhitekture IT infrastrukture in aplikacij poznavanje SQL, MS Office, IT infrastrukture poznavanje integracijskih orodij (web service, ETL..) zavedanje o pomenu digitalizacije za razvoj dejavnosti in pripravljenost za implementacijo v praksi dinamičnost, odprtost, organizacijske sposobnosti samoiniciativnost, ambicioznost, odgovornost, komunikativnost    Ponujamo   Delovno mesto ponuja: zaposlitev za nedoločen čas delo v inovativnem in urejenem delovnem okolju možnost osebnega in profesionalnega razvoja"
Skladiščnik m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/skladiscnik-mz-713569-713569/,13.11.2019,02:01,12.11.2019,Europapier Alpe d.o.o.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/skladiscnik-mz-713569-713569/,"Podjetje Europapier Alpe d.o.o. je sinonim za zagotavljanje kakovosti, svetovanja in servisa na naslednjih poslovnih segmentih: Grafični papirji in kartoni, Embalažni papirji in kartoni, Kreativni in specialni papirji, Pisarniški papirji in kuverte, Grafični materiali, Vizualne komunikacije, Pakirne rešitve in Higienski program.V svojo uspešno delovno sredino vabimo novega sodelavca. Opis delovnega mesta   Naloge in odgovornosti: priprava in odprema blaga, prevzem in kontrola blaga, vožnja viličarja, delo v skladišču.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    II.,                                    III.,                                    IV.,                                    V.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: vsaj 6 mesecev delovnih izkušenj na podobnem delovnem mestu, izpit za voznike viličarjev, izkušnje z vožnjo viličarjev (visokoregalni, čelni, elektro paletni), osnovno znanje računalništva, dobro poznavanje računalniškega programa za skladiščno poslovanje, poznavanje varstva pri delu in požarnega varstva.    Ponujamo   Delovno mesto ponuja: odlično poklicno priložnost za delo v urejenem in stabilnem delovnem kolektivu. K sodelovanju vabimo visoko motivirane, timsko naravnane in k rezultatom usmerjene kandidate in kandidatke.   Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 2 meseca   Mesečno plačilo                               po dogovoru"
Skladiščnik (m/ž) v trgovini v Novem mestu,https://www.optius.com/iskalci/prosta-delovna-mesta/skladiscnik-mz-v-trgovini-v-novem-mestu-713567-713567/,13.11.2019,02:01,12.11.2019,Harvey Norman Trading d.o.o.,Novo mesto,https://www.optius.com/iskalci/prosta-delovna-mesta/skladiscnik-mz-v-trgovini-v-novem-mestu-713567-713567/,Skladiščnik (m/ž) v trgovini v Novem mestu
Operater proizvodnje (m/ž) - več prostih mest,https://www.optius.com/iskalci/prosta-delovna-mesta/operater-proizvodnje-mz-vec-prostih-mest-713561-713561/,13.11.2019,02:01,12.11.2019,"Belinka Perkemija, d.o.o.",Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/operater-proizvodnje-mz-vec-prostih-mest-713561-713561/,Operater proizvodnje (m/ž) - več prostih mest
Dnevni operater m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/dnevni-operater-mz-713560-713560/,13.11.2019,02:01,12.11.2019,"Belinka Perkemija, d.o.o.",Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/dnevni-operater-mz-713560-713560/,Dnevni operater m/ž
Sodelavec za pomoč pri prodaji v pisarni (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/sodelavec-za-pomoc-pri-prodaji-v-pisarni-mz-713527-713527/,13.11.2019,02:01,12.11.2019,KRAM PLUS d.o.o.,Domžale,https://www.optius.com/iskalci/prosta-delovna-mesta/sodelavec-za-pomoc-pri-prodaji-v-pisarni-mz-713527-713527/,"V fazi širitve iščemo nove sodelavce željne novih izkušenj. Smo mlado in motivirano podjetje z visokimi cilji. Ukvarjamo se z razvojem, proizvodnjo in prodajo ekoloških produktov. Opis delovnega mesta   Naloge in odgovornosti: delo s strankami, skrb za že obstoječe stranke, odgovorno in vestno opravljanje dela.    Pričakujemo   Zahtevane delovne izkušnje Niso pomembne   Od kandidata pričakujemo: energičnost, željo po uspehu, samoiniciativnost, učljivost, komunikacijske sposobnosti, delovne navade, profesionalen odnos do dela.    Ponujamo   Delovno mesto ponuja: nove izkušnje, vrhunsko plačilo, energičen in mlad team, podporo in motivacijo, razna izobraževanja in novo znanje, prijetno delovno okolje, stimulativno plačilo - dodatek na uspešnost, možnost zaposlitve za nedoločen čas, zaposlitev za polni delovni čas.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 3 mesece"
Komercialist (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/komercialist-mz-713555-713555/,13.11.2019,02:01,12.11.2019,DBS Inženiring d.o.o.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/komercialist-mz-713555-713555/,"Smo podjetje, ki deluje na področju športnega inženiringa in se ukvarja s prodajo visokokvalitetne umetne trave evropskega proizvajalca za različne namene, tako za vrhunska športna kot tudi za rekreacijska igrišča. Naši zaposleni imajo dolgoletne izkušnje na tem strokovnem področju, v sklopu projektov pa ponujamo tudi nakup in izgradnjo športnih objektov.O nas si lahko več preberete na spletni strani: www.dbs-engineering.com. Opis delovnega mesta   Naloge in odgovornosti: priprava ponudb, pridobivanje ponudb, organizacija prevozov, komunikacija s ključnimi kupci, pisanje dopisov, urejanje dokumentacije, pobiranje pošte, izdajanje računov, pisanje dobavnic, vodenje evidenc, delo na terenu.    Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.,                                    VI/2.                     Od kandidata pričakujemo: izobrazba: srednja strokovna, srednja splošna, ekonomija, najmanj 3 leta izkušenj na podobnem delovnem mestu, obvezno tekoče znanje ruščine in slovenščine, zaželeno znanje angleščine, osnovno tehnično znanje, izkušnje v logistiki, poznavanje Ms orodij in ostalih računalniških znanj, odgovornost in vestnost do dela, dobre pogajalske sposobnosti, organiziranost pri delu, plača: po dogovoru, vozniški izpit B kategorije.    Ponujamo   Delovno mesto ponuja: delo za polni delovni čas, zaposlitev za nedoločen čas s poskusno dobo 3 mesece, dopoldansko delo."
Projektant električnih inštalacij (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/projektant-elektricnih-instalacij-mz-713522-713522/,13.11.2019,02:01,12.11.2019,Elitplan d.o.o.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/projektant-elektricnih-instalacij-mz-713522-713522/,"Uspešno projektantsko podjetje ELITPLAN d.o.o. iz Ljubljane v svojo sredino vabi projektanta električnih inštalacij.Več o našem delu si lahko pogledate na naši spletni strani: www.elitplan.si. Opis delovnega mesta   Naloge in odgovornosti: V svoj kolektiv vabimo novega sodelavca za delovno mesto Projektiranje električnih inštalacij (m/ž).   Pričakujemo   Od kandidata pričakujemo: izobrazba V., VI. ali VII. stopnje elektro smeri dobro poznavanje programa Autocad in MS office znanje angleškega jezika samoiniciativnost in velika mera odgovornosti sposobnost timskega in projektnega dela    Ponujamo   Delovno mesto ponuja: stimulativno plačilo možnost napredovanja mentorstvo delo za nedoločen čas s polnim delovnim časom in 6 mesečno poskusno dobo"
Digitalni specialist m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/digitalni-specialist-mz-713513-713513/,13.11.2019,02:01,12.11.2019,Sanofarm d.o.o.,Izola,https://www.optius.com/iskalci/prosta-delovna-mesta/digitalni-specialist-mz-713513-713513/,Digitalni specialist m/ž
Skrbnik naročanja (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/skrbnik-narocanja-mz-713505-713505/,13.11.2019,02:01,12.11.2019,Lek d.d.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/skrbnik-narocanja-mz-713505-713505/,Skrbnik naročanja (m/ž)
Delavec v proizvodnji m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-mz-713519-713519/,13.11.2019,02:01,12.11.2019,"Goričane, tovarna papirja Medvode, d.d.",Medvode,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-mz-713519-713519/,Delavec v proizvodnji m/ž
