VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
A-la-carte kuhar m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/a-la-carte-kuhar-5-609072/,23.01.2019,04:01,14.01.2019,Mlino turizem d.o.o.,Bled,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/a-la-carte-kuhar-5-609072/,"Penzion Mlino s svojo edinstveno lego ob Blejskem jezeru, od koder se nam odpira čudovit pogled na otok in grad, že skoraj stoletje privablja goste od vsepovsod. Ponaša se s kvaliteto in tradicijo, predvsem pa slovi po domačem vzdušju.  Opis delovnega mesta   Naloge in odgovornosti V restavraciji Penziona Mlino zaposlimo a-la-carte kuharja (m/ž) z izkušnjami.   Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: vsaj 3 leta delovnih izkušenj na primerljivem delovnem mestu, strokovnost, samostojnost, nekonfliktnost ter predanost delu.    Ponujamo   Delovno mesto ponuja: zaposlitev za nedoločen čas, z 1 mesečnim poskusnim obdobjem, dobro in redno plačilo, izplačilo regresa, stimulacija za dobro delo.    Mesečno plačilo                               po dogovoru"
Account Manager za slovenske kliente (m/ž) / Account Manager for Slovenian Clients (m/f),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/account-manager-za-slovenske-kliente-mz-account-manager-for-slovenian-clients-mf-2-544956/,23.01.2019,04:02,08.01.2019,Online International Marketing d.o.o,"Beograd, Srbija",https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/account-manager-za-slovenske-kliente-mz-account-manager-for-slovenian-clients-mf-2-544956/,"Fortrade Ltd. was established in 2013, and has grown rapidly to become a leading provider of online trading solutions for individual and institutional clients. Based in the UK, authorised and regulated by the Financial Conduct Authority, we are innovators specializing in the development of trading platforms that are both, technologically advanced and user-friendly. We offer our clients a wide range of trading instruments covering more than 300 currencies, as well as commodities, indexes and stock CFD’s. FORTRADE, licensed brokerage company is HIRING! Join one of the world’s top brokers and enter the world of finance! Fortrade Ltd. is experiencing a continuous business growth. To enforce our Slovenian department, we are looking for a talented: Account Manager for Slovenian Clients (m/f). Opis delovnega mesta   Naloge in odgovornosti We are looking for professionals to be responsible for our clients. You are an all-rounded professional, who will be responsible for communicating and assisting potential clients which register on our website to trade on global financial market. The job vacancy does not imply searching for potential clients from your own personal data or initiative. Clients are provided and owned by the company. Some of your main responsibilities:  Daily phone call communication with our Slovenian speaking clients and providing them all-round updates on the latest developments on global financial markets Presenting products and services to Slovenian speaking clients and assisting them in using those services properly Advanced technical support in using sophisticated trading platforms   Working in the state-of-the-art CRM database and other advanced software    Pričakujemo   Od kandidata pričakujemo:  Fluent Slovenian language Faculty degree (economics and finance degree are an advantage) Microsoft package knowledge Strong social intelligence Excellent communication, negotiating and sales skills Highly professional attitude and understanding of client’s needs Will to gain new knowledge and skills Ambition to build a career and progress in the company hierarchy    Ponujamo   Delovno mesto ponuja: Perks and benefits (our company provides):  Opportunity to build career in the top segment of the financial sector, in an official financial institution, regulated by financial authorities Competitive salary package (fixed salary + attractive bonus scheme) Pension + health insurance Work permit Two weeks of training course on basics of our business (as a starting point of your career path) Free of charge gym & fitness Pleasant international office environment Monthly awards to top performers Ongoing training, personal - and professional growth Being a part of a rapidly growing international company, full of advancement opportunities to senior positions Integrity, flexibility, commitment and a bright, stable future"
Administrator m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-23-545093/,23.01.2019,04:02,09.01.2019,K-NORMA d.o.o.,"Ljubljana, Šiška",https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-23-545093/,"K-NORMA d.o.o. je slovensko podjetje, ki se ukvarja s prehrambno industrijo. Primarno dejavnost predstavlja izvajanje prehranskih in drugih storitev na srednjih šolah po Ljubljani. Prav tako proizvajamo domače tradicionalne jedi za večje naročnike (kot so Spar, Mercator, Hofer) in tako pojem tradicionalnosti združujemo s pojmom modernosti. Veljamo za fleksibilno podjetje, ki sledi prehrambnim trendom in je vedno odprte za nove izzive. Opis delovnega mesta   Naloge in odgovornosti  sprejemanje naročil komunikacija s strankami vnos dokumentacije v Pantheon program druga administrativna dela delo poteka od ponedeljka do petka med 9. in 17.uro    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    I.,                                    II.,                                    III.,                                    IV.                     Zahtevane delovne izkušnje Niso pomembne   Od kandidata pričakujemo:  veliko natančnost organiziranost predanost motiviranost za delo    Ponujamo   Delovno mesto ponuja:  moderno delovno okolje prijeten kolektiv dobre delovne pogoje  zaposlitev za nedeločen čas možnost osebne rasti  možnost napredovanja  Pričetek dela med 1. 2. 2018.   Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 2 meseca"
Administrator m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-90-609060/,23.01.2019,04:01,14.01.2019,Stoja Trade d.o.o.,Ljubljana,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-90-609060/,"Nepremičninska družba Stoja trade, uživa velik ugled med tujci, v diplomatskih krogih in v lokalnih poslovnih krogih, kar lahko preverite tudi na naši strani www.stoja-trade.si. Na slovenskem tržišču delujemo že od leta 1996, v zadnjih letih smo ostali edina specializirana nepremičninska družba za posredovanje pri oddaji in najemu stanovanj, hiš in poslovnih prostorov v Ljubljani. Opis delovnega mesta   Naloge in odgovornosti Za delo na dolgi rok zaposlimo hitro, marljivo in delovno osebo za zahtevnejša administrativna dela. Administrator mora biti dober prodajalec, sposoben organizacije, multifunkcionalnosti ter biti odličen v časovnem managementu. Administrator samostojno načrtuje, organizira in vodi delovne procese, sodeluje pri pripravi materialov, vodi poslovno korespondenco in skrbi za odnose s poslovnimi partnerji in strankami, nadzoruje stroške in ureja osnovna računovodska dela, pomaga zaposlenim v pisarni, skrbi za pretok informacij ter koordinacijo dela.   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.,                                    VI/2.                     Od kandidata pričakujemo:  obvezno aktivno znanje angleškega ter ruskega jezika komunikacijske in organizacijske odgovornosti, multifunkcionalnost, time – management odgovornost, natančnost, samostojnost nekonfliktnost odlične prodajalske sposobnosti  Poleg znanja organizacije je nujno potrebno aktivno znanje angleščine ter delo v skupini.   Ponujamo   Delovno mesto ponuja:  urejene delovne razmere delo v prijetnem kolektivu sodelovanje v odlični ekipi"
Administrator (m/ž),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-mz-6-544799/,23.01.2019,04:03,04.01.2019,Založba Karantanija Et Orbis d.o.o.,Ljubljana,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-mz-6-544799/,"Predstavljamo eno prvih neodvisnih zasebnih založb v Sloveniji pri kateri je vse od začetkov izšlo nekaj tisoč knjig. Danes ustvarjamo kvalitetne mladinske in otroške knjige, različne leposlovne knjige, zgodovinske priročnike in priročnike za osebno rast. Kot založba se trudimo promovirati mnoge danes znane slovenske pisatelje in pesnike ter več ilustratorjev in karikaturistov. Poslanstvo Založbe Karantanija je ustvarjati dobre knjige za domače bralce. Opis delovnega mesta   Pričakujemo   Zahtevana izobrazba                                    V.                     Ponujamo   Delovno mesto ponuja: Od kandidata pričakujemo:  vsaj V. stopnjo izobrazbe, znanje dela z računalnikom, znanje in uporaba spletnih stranih vsaj enega od tujih jezikov (nemščina in/ali angleščina) - ni pogoj, volja, veselje in smisel za prodajo, inovativnost, dobre komunikacijske sposobnostI  Kandidat bo opravljal delo v pisarni na sedežu podjetja: ADMINISTRACIJA-SPLETNA PRODAJA (urejanje, vnos artiklov v računalnik, pošiljanje strankam).   Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 1 mesec   Mesečno plačilo                               po dogovoru"
Administrator - receptor (m/ž),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-receptor-mz-2-544731/,23.01.2019,04:03,04.01.2019,"Klemen transport, Klemen Piškur s.p.",Mengeš,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-receptor-mz-2-544731/,"V svojo uspešno in perspektivno delovno sredino vabimo novega sodelavca, za delovno mesto Administrator - receptor (m/ž). Več o nas: www.klemen-transport.si Opis delovnega mesta   Naloge in odgovornosti  prevzem pošte, administrativna dela, pomoč v kadrovski službi, priprava potrdil o dejavnosti za voznike, vnos podatkov, obveščanje voznikov.    Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo:  V. stopnjo izobrazbe ustrezne smeri, aktivno znanje angleškega jezika, fleksibilno in zanesljivo osebo, poznavanje MS Office (Outlook, Word, Excel).    Ponujamo   Delovno mesto ponuja:  zaposlitev za določen čas z možnostjo podaljšanja, poskusna doba 1 mesec, delo za polni delovni čas, delo v mladem, hitro rastočem podjetju.    Mesečno plačilo                               po dogovoru"
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-za-italijanski-trg-mz-609697-609697/,23.01.2019,04:01,18.01.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/administrator-za-italijanski-trg-mz-609697-609697/,
Agent v klicnem centru za pospeševanje prodaje časopisa m/ž,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/agent-v-klicnem-centru-za-pospesevanje-prodaje-casopisa-2-544895/,23.01.2019,04:02,07.01.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/agent-v-klicnem-centru-za-pospesevanje-prodaje-casopisa-2-544895/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje. Delo poteka od ponedeljka do petka vsak dan od 8:00 do 16:00 h.   Pričakujemo   Od kandidata pričakujemo: Zaželene so izkušnje iz tega področja. Agent mora biti komunikativn, ambiciozen, pozitivno naravnan in mora imeti veselje do dela. Smo mlad tim, vsi skupaj stremimo, da v pozitivnem okolju dosegamo mesečne in letne plane.   Ponujamo   Delovno mesto ponuja: Nudimo redno zaposlitev z poskusno dobo 1 mesec, kasneje možnost tudi za nedoločen čas. Poleg fiksne plače je tudi stimulacija."
Animator otrok v Ljubljani (m/ž),https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/animator-otrok-v-ljubljani-mz-544616/,23.01.2019,04:02,07.01.2019,"Organizacija dogodkov za otroke Rubi in Rudi, Tanja Pogačnik Fartek s.p.",Ljubljana Šentvid,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/animator-otrok-v-ljubljani-mz-544616/,"Rubi in Rudi smo rastoče podjetje, ki že deseto leto organizira različne dogodke za otroke po Ljubljani in ostali Sloveniji. Zaupalo nam je že preko 600 staršev in tudi mnoga največja slovenska in mednarodna podjetja, kot so: Mercator, Lesnina, Momax, Vzajemna, Kobilarna Lipica, A1, Spar, Dm in mnogi drugi. Veseli bomo novega sodelavca, ki bo s svojo inovativnostjo in energijo prinesel nov val navdiha in igrivosti. Opis delovnega mesta   Naloge in odgovornosti Se najdeš v naslednjih vprašanjih:Uživaš pri delu z otroki in imaš vsaj 2 leti izkušenj z animacijo otrok? Si zanesljiv, a obenem kreativen? Si dinamičen, komunikativen in športno aktiven? Nimaš težav z delom popoldne in občasno tudi med vikendi? Potem si pravi za našo mlado ekipo.Naloge in odgovornosti:priprava programa za otroške dogodke animacija otrok na praznovanjih in delavnicah počitniško varstvo otrok komunikacija s strankami osnovno recepcijsko delo vodenje igralnice    Delovni čas skrajšani delovni čas   Pričakujemo   Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: dokončano V, VI stopnjo izobrazbe najmanj 2 leti izkušenj z animacijo otrok odlične komunikacijske in organizacijske veščine osnovno računalniško poznavanje MS Office    Ponujamo   Delovno mesto ponuja: zaposlitev za krajši, kasneje polni delovni čas urejeno delovno okolje stimulativno plačilo  delo v mladem kolektivu    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 1 mesec   Mesečno plačilo                               po dogovoru                                                                         neto + stimulacija"
Animator / predstavnik / spremljevalec (m/ž) - več mest,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/animator-predstavnik-spremljevalec-mz-vec-mest-609648-609648/,23.01.2019,04:01,16.01.2019,Relax Turizem d.d.,Hrvaška obala,https://www.optius.com//iskalci/iskanje-prostih-delovnih-mest/animator-predstavnik-spremljevalec-mz-vec-mest-609648-609648/,"Relax Turizem d.d. išče  turistične predstavnike, spremljevalce, športne in otroške animatorje, animatorje za odrasle. Opis delovnega mesta   Naloge in odgovornosti Pridružite se motiviranem timu, polnega energije, ki ima veselje do dela z ljudmi.   Pričakujemo   Od kandidata pričakujemo: organiziranost, veselje do dela z ljudmi ukvarjanje z različnimi športi izkušnje s plesom izkušnje pri delu z otroki in ustvarjalnimi delavnicami igralske sposobnosti zaželena starost več kot 19 let    Ponujamo   Delovno mesto ponuja: izobraževanje pred pričetkom dela stimulativno plačilo namestitev in hrano na destinaciji dolgoročno sodelovanje učenje in pridobivanje izkušenj Kandidatom nudimo delo v poletnih mesecih NA Hrvaški obali in traja od 1 do 4 mesecev.Razgovori s kandidati  bodo potekali v februarju v obliki avdicije, v Mariboru in v Ljubljani. O terminu avdicije vas obvestimo naknadno."
