VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Informator (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/informator-mz-729301-729301/,13.05.2020,02:01,12.05.2020,SES Center Management d.o.o.,"
					Ljubljana
				",https://www.optius.com/iskalci/prosta-delovna-mesta/informator-mz-729301-729301/,"Iščemo osebo za delovno mesto sodelavec na informacijski točki (m/ž), ki bo v novem, najsodobnejšem nakupovalnem središču Aleja Šiška Ljubljana, ki ga je zgradil SES Spar European Shopping Centers, skrbela za informiranje obiskovalcev, komunikacijo in ohranjanje dobrih odnosov med obiskovalci, najemniki in upravo nakupovalnega središča ter promovirala blagovno znamko nakupovalnega središča.Kdo smo?SES Center Management d.o.o. je slovensko hčerinsko podjetje avstrijskega SES - Spar European Shopping Centers GmbH - v okrilju skupine SPAR Avstrija – ki je priznano in uspešno podjetje na področju razvoja, gradnje in upravljanja nakupovalnih središč v Avstriji, Sloveniji, Italiji, na Hrvaškem, Madžarskem in Češkem. Podjetje upravlja 30 nakupovalnih središč. Pod okrilje slovenskega poslovodstva spada 5 nakupovalnih središč: Citypark Ljubljana, Center Vič Ljubljana, Citycenter Celje, Europark Maribor in od 8.5.2020 tudi novo nakupovalno središče Aleja Šiška Ljubljana. Opis delovnega mesta   Naloge in odgovornosti: posredovanje informacij obiskovalcem neposredno na informacijski točki in po telefonu, obveščanje preko ozvočenja nakupovalnega središča, prodajo darilnih bonov, ostalega promocijskega materiala ter vodenje blagajne, posredovanje informacij o nagradnih igrah, predajo nagrad nagrajencem, sprejemanje splošnih reklamacij, vodenje evidence pogosto postavljenih vprašanj, pritožb in pohval ter drugih evidenc po dogovoru z ostalimi oddelki nakupovalnega središča, informiranje staršev o izvedbi rojstnih dni za otroke, vodenje evidence rezervacij za praznovanja rojstnih dni, akontiranje ter posredovanje informacij osebju v otroškem igrišču – Planet Lilipop, dnevno organizacijo dela na informacijski točki, dnevno izmenjavo informacij in sodelovanje z ostalimi oddelki nakupovalnega središča, pomoč ostalim oddelkom nakupovalnega središča, opravljanje drugih del po navodilu nadrejenih;    Pričakujemo   Od kandidata pričakujemo: V. stopnjo izobrazbe ekonomske ali družboslovne smeri, najmanj eno leto delovnih izkušenj na primerljivih delovnih mestih, veselje do dela s strankami in odgovornost za delo z denarjem, odlične komunikacijske veščine in sposobnost obvladovanja raznih situacij pri delu s strankami, pogovorno znanje enega tujega jezika (angleščine ali nemščine in hrvaščine) , samoiniciativnost in visoko mero odzivnosti ter prilagodljivosti na dnevno dogajanje v nakupovalnem središču, natančnost, ažurnost, zavzetost za delo, motiviranost, proaktivnost in sposobnost iskanja učinkovitih rešitev, timsko usmerjenost in fleksibilnost, uporabna računalniška znanja (Word, Excel), urejenost, pripravljenost za delo v izmenah in med vikendi, vozniški izpit B – kategorije; Tvoje prednosti bodo:dobro zanje tujega jezika (angleščine ali nemščine), dobre komunikacijske sposobnosti (ustno in pisno);    Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas s poskusnim delom in možnostjo podaljšanja zaposlitve za nedoločen čas, delovno mesto v prijetnem, atraktivnem, novem nakupovalnem središču, samostojnost pri delu, stalne možnosti učenja, delo v mladem, dinamičnem, motiviranem timu z mednarodnim znanjem."
Organizator športno vadbenih aktivnosti (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/organizator-sportno-vadbenih-aktivnosti-mz-729300-729300/,13.05.2020,02:01,12.05.2020,SES Center Management d.o.o.,"
					Ljubljana
				",https://www.optius.com/iskalci/prosta-delovna-mesta/organizator-sportno-vadbenih-aktivnosti-mz-729300-729300/,"Novo najsodobnejše nakupovalno središče Alja Šiška Ljubljana svojim obiskovalcem ponuja nove dimenzije športnega udejstvovanja v mestu – aktivo ozelenjeno streho. Za delovno mesto organizator športno vadbenih aktivnosti (m/ž) iščemo fleksibilno, iznajdljivo, entuziazma polno osebo, ki bo znotraj oddelka marketing odgovorna za organizacijo, izvedbo vadbenih aktivnosti in druženja na aktivni strehi nakupovalnega središča, ki ga je zgradil SES Spar European Shopping Centers, obenem skrbela za promocijo novih urbanih možnosti športnega udejstvovanja in blagovno znamko nakupovalnega središča.Kdo smo?SES Center Management d.o.o. je slovensko hčerinsko podjetje avstrijskega SES - Spar European Shopping Centers GmbH - v okrilju skupine SPAR Avstrija – ki je priznano in uspešno podjetje na področju razvoja, gradnje in upravljanja nakupovalnih središč v Avstriji, Sloveniji, Italiji, na Hrvaškem, Madžarskem in Češkem. Podjetje upravlja 30 nakupovalnih središč. Pod okrilje slovenskega poslovodstva spada 5 nakupovalnih središč: Citypark Ljubljana, Center Vič Ljubljana, Citycenter Celje, Europark Maribor in od 8.5.2020 tudi novo nakupovalno središče Aleja Šiška Ljubljana. Opis delovnega mesta   Naloge in odgovornosti: organiziranje vadbenih aktivnosti na aktivni strehi (načrtovanje aktivnosti, priprava urnikov vadb), vodenje športno vadbenih aktivnosti in nadzor športnih aktivnosti/vadb, ki niso v organizaciji nakupovalnega središča, organizacijo dela ostalih članov tima, ki bodo delali na aktivnih strehi, vodenje evidence o najetih vadbenih površinah in organizacijo marketinških aktivnosti glede možnosti najema, zagotavljanje pogojev, da bo vadba na aktivni strehi varna, skrb za vadbene površine, naprave in rekvizite, nudenje najnujnejše pomoči pri morebitnih poškodbah, organiziranje reševalne službe, skrb za objave na družbenih omrežjih o dogajanju na aktivni strehi ter aktivno sodelovanje z ostalimi člani znotraj marketing oddelka in po potrebi z ostalimi oddelki nakupovalnega središča, skrb za promocijo varne vadbe;    Pričakujemo   Od kandidata pričakujemo: vsaj univerzitetno izobrazbo prve stopnje študijskega programa športne vzgoje, kineziologije ali športnega treniranja, dve leti delovnih izkušenj z organizacijo, načrtovanjem in vodenjem športnih vadb, odlične komunikacijske in organizacijske sposobnosti, pogovorno znanje angleščine, visoko mero odzivnosti ter prilagodljivosti na pestro dogajanje na aktivni strehi, na dnevno dogajanje v nakupovalnem središču in aktualno dogajanje v mestu in mestni četrti, motiviranost, proaktivnost in sposobnost iskanja učinkovitih načinov za pospeševanje vadbam namenjenih površin nakupovalnega središča, timsko usmerjenost, veliko fleksibilnost glede delovnega časa, pripravljenost za delo v jutranjem, popoldanskem času in med vikendi, dobro poznavanje računalniških orodij MS Office (Excel, Word, Outlook), vozniški izpit B – kategorije; Tvoje prednosti bodo:izrazita sposobnost in izkušnje iz organizacije športno vadbenih dogodkov: načrtovanja, koordinacije in izvedbe, dobre komunikacijske in motivacijske sposobnosti, poznavanje in uporaba družbenih omrežij (internet, Facebook, Instagram, YouTube), izkušnje iz trženja športnih površin;    Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas s poskusnim delom, zanimivo, dinamično in predvsem kreativno področje dela, delovno okolje, ki ti ga ne omogoča noben drug delodajalec, delo v najnovejšem nakupovalnem središču in mladem, dinamičnem, motiviranem timu z mednarodnim znanjem."
Koordinatorja za lastne in ekskluzivne blagovne znamke (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/koordinatorja-za-lastne-in-ekskluzivne-blagovne-znamke-mz-729322-729322/,13.05.2020,02:01,12.05.2020,Spar Slovenija d.o.o.,"
					Ljubljana
				",https://www.optius.com/iskalci/prosta-delovna-mesta/koordinatorja-za-lastne-in-ekskluzivne-blagovne-znamke-mz-729322-729322/,Koordinatorja za lastne in ekskluzivne blagovne znamke (m/ž)
Prodajni agent / Pospeševalec prodaje na terenu (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/prodajni-agent-pospesevalec-prodaje-na-terenu-mz-729184-729184/,13.05.2020,02:01,12.05.2020,Omrežje d.o.o.,"
					terensko delo po Sloveniji
				",https://www.optius.com/iskalci/prosta-delovna-mesta/prodajni-agent-pospesevalec-prodaje-na-terenu-mz-729184-729184/,Prodajni agent / Pospeševalec prodaje na terenu (m/ž)
Sodelavec v proizvodnji v prehrambeni panogi (m/ž) - Avstrija ,https://www.optius.com/iskalci/prosta-delovna-mesta/sodelavec-v-proizvodnji-v-prehrambeni-panogi-mz-avstrija-729293-729293/,13.05.2020,02:01,12.05.2020,"EVOM, inovativne rešitve d.o.o.","
					Avstrija (Steirmark - blizi kraja Liezen ...)
				",https://www.optius.com/iskalci/prosta-delovna-mesta/sodelavec-v-proizvodnji-v-prehrambeni-panogi-mz-avstrija-729293-729293/,"EVOM PersonalSmo svetovalno podjetje z dolgoletnimi izkušnjami na področju mednarodnega poslovanja, še posebej na področju povezovanja slovenskih in avstrijskih podjetij.V zadnjem obdobju smo naše dejavnosti razširili na kadrovske storitve, ki so namenjene avstrijskim podjetjem dejavnim na področju gostinstva, hotelirstva in tudi industrije.  Opis delovnega mesta   Naloge in odgovornosti: odgovorno in strokovno opravljanje dela v proizvodnji v prehrambni industriji, po navodilih nadrejenih, pripravljenost za delo v mednarodnem okolju in morebitno selitev v Avstrijo,  upoštevanje navodil varnosti pri delu, zagotavljanje reda in čistoče na delovnem mestu in v neposredni okolici.    Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: vozniško dovoljenje B kategorije in lastno vozilo,  dobro znanje nemškega jezika,  delovne izkušnje na podobnih delovnih mestih, pripravljenost na delo v več izmenah (dnevna, popoldanska in nočna izmena), osebo, ki se je pripravljena vključiti v mednarodni okolje.     Ponujamo   Delovno mesto ponuja: Delodajalec - proizvodno podjetje v Avstriji nudi: bruto plačo v znesku € 1778,55 z dodatki za nočno delo, kar znaša ca. € 1.500,- neto, pomoč delodajalca pri iskanju nastanitve,  ob tem vam pripadajo še vse ugodnosti zaposlenih v Avstriji (kot so: 13. in 14. plača; nadurno delo plačano po posebni tarifi, idr.)    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Mesečno plačilo                               po dogovoru"
Tehnolog proizvodnje m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/tehnolog-proizvodnje-mz-729288-729288/,13.05.2020,02:01,12.05.2020,Lek d.d.,"
					Ljubljana
				",https://www.optius.com/iskalci/prosta-delovna-mesta/tehnolog-proizvodnje-mz-729288-729288/,Tehnolog proizvodnje m/ž
Namestnik poslovodje (m/ž) na Obali,https://www.optius.com/iskalci/prosta-delovna-mesta/namestnik-poslovodje-mz-na-obali-729286-729286/,13.05.2020,02:01,12.05.2020,"Mercator, d.d.","
					Obala
				",https://www.optius.com/iskalci/prosta-delovna-mesta/namestnik-poslovodje-mz-na-obali-729286-729286/,Namestnik poslovodje (m/ž) na Obali
Poslovodja (m/ž) na Obali,https://www.optius.com/iskalci/prosta-delovna-mesta/poslovodja-mz-na-obali-729281-729281/,13.05.2020,02:01,12.05.2020,"Mercator, d.d.","
					Obala
				",https://www.optius.com/iskalci/prosta-delovna-mesta/poslovodja-mz-na-obali-729281-729281/,Poslovodja (m/ž) na Obali
Delavec v proizvodnji plastične embalaže m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-plasticne-embalaze-mz-729297-729297/,13.05.2020,02:01,12.05.2020,Personal center d.o.o.,"
					Domžale
				",https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-plasticne-embalaze-mz-729297-729297/,"Za uspešno podjetje v občini Domžale, ki izdeluje pihano embalažo iz plastičnih mas, iščemo kandidata/ko na delovno mesto:Delavec v proizvodnji plastične embalaže. Opis delovnega mesta   Naloge in odgovornosti: izvajanje nalog zagotavljanja kakovosti v proizvodnem procesu izdelkov (vizualni pregled izdelkov),  streženje strojev za izdelavo izdelkov.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    II.,                                    III.,                                    IV.,                                    V.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: natančno opravljeno delo po navodilih nadrejenega, znanje slovenskega jezika, lahko moški ali ženska (trenutno zaposlenih 25% žensk), natančnost, doslednost, odgovornost ter vestnost, izobrazba ni pomembna.    Ponujamo   Delovno mesto ponuja: dobro in redno plačilo, možnost napredovanja znotraj podjetja, 3 izmensko delo (6-14 / 14-22 / 22 -6). Zaposlitev za določen čas z željo po sodelovanju za nedoločen čas.   Poskusno delo: 1 mesec   Mesečno plačilo                               900 - 1200 € bruto"
Terenski zastopnik za prodajo (m/ž) - Slovenska Bistrica z okolico,https://www.optius.com/iskalci/prosta-delovna-mesta/terenski-zastopnik-za-prodajo-mz-slovenska-bistrica-z-okolico-729273-729273/,13.05.2020,02:01,12.05.2020,Ekosistem plus d.o.o.,"
					Slovenska Bistrica, s širšo okolico
				",https://www.optius.com/iskalci/prosta-delovna-mesta/terenski-zastopnik-za-prodajo-mz-slovenska-bistrica-z-okolico-729273-729273/,"Podjetje EKOSISTEM PLUS d.o.o., s sedežem v Celju in področno poslovno enoto v Mariboru, je del multinacionalne nemške verige, ki je prisotna v več kot petdesetih državah sveta. Smo v procesu širjenja in rasti, saj nam potencial trga ponuja povečan obseg dela in poslovanja. Tržimo inovativen, ekotehnološki izdelek za gospodinjstva s poudarkom na preventivnem zdravstvu in izboljšanju kakovosti življenja, kar potrjujejo tudi vsi pridobljeni certifikati iz znanih svetovnih inštitucij. Opis delovnega mesta   Naloge in odgovornosti: obisk strank po vnaprej dogovorjenih terminih s strani podjetja vzdrževanje dobrih poslovnih odnosov  svetovanje trženje izdelka izvajanje prodajnih in promocijskih aktivnosti terensko delo    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.,                                    VIII/1.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: odgovornost sposobnost timskega sodelovanja komunikacijske sposobnosti prodajno naravnanost in ciljno usmerjenost organiziranost ambicioznost urejenost veselje do dela z ljudmi izpit B kategorije lastno prevozno sredstvo    Ponujamo   Delovno mesto ponuja: delo v prijetnem kolektivu usposabljanje mentorstvo in strokovni razvoj učenje prodajnih tehnik obliko zaposlitve po dogovoru stimulativno plačilo možnost napredovanja prilagodljiv delovni čas    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 1 mesec   Mesečno plačilo                               1200 - 1500 € bruto                                                                          - plus variabilni del plačila vezan na uspešnost"
