VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Account Manager za slovenske kliente (m/ž) / Account Manager for Slovenian Clients (m/f),https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-za-slovenske-kliente-mz-account-manager-for-slovenian-clients-mf-689854-689854/,10.04.2019,04:04,11.03.2019,Online International Marketing d.o.o,"Beograd, Srbija",https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-za-slovenske-kliente-mz-account-manager-for-slovenian-clients-mf-689854-689854/,"Fortrade Ltd. je bil ustanovljen leta 2013, in je hitro zrastel ter postal vodilni ponudnik spletnih rešitev v trgovanju za posamezne in institucionalne kliente. Sedež podjetja je v Londonu, pooblaščeno in regulirano s strani Organa za finančno poslovanje, smo inovatorji, ki so specializirani za razvoj platform, ki so tako tehnološko napredne kot uporabnikom prijazne.Svojim klientom ponujamo široko paleto trgovinskih instrumentov, ki zajemajo več kot 300 valut ter blago, indekse in CFD-je.FORTRADE, licencirana borznoposredniška družba IŠČE SODELAVCE!Pridružite se eni vodilnih svetovnih borznoposredniških družb in vstopite v svet financ!Fortrade Ltd. beleži nenehno poslovno rast. Da bi okrepili svoj oddelek za Slovenijo, iščemo talentiranega: Account Managerja za slovenske kliente (m/ž).______________________________________________________________________________________________________Fortrade Ltd. was established in 2013, and has grown rapidly to become a leading provider of online trading solutions for individual and institutional clients. Based in the UK, authorised and regulated by the Financial Conduct Authority, we are innovators specializing in the development of trading platforms that are both, technologically advanced and user-friendly.We offer our clients a wide range of trading instruments covering more than 300 currencies, as well as commodities, indexes and stock CFD’s.FORTRADE, licensed brokerage company is HIRING!Join one of the world’s top brokers and enter the world of finance!Fortrade Ltd. is experiencing a continuous business growth. To enforce our Slovenian department, we are looking for a talented: Account Manager for Slovenian Clients (m/f). Opis delovnega mesta   Naloge in odgovornosti Iščemo strokovnjake, ki bodo odgovorni za naše stranke.Ste vsestranski strokovnjak? Odgovorni boste za komunikacijo in pomoč potencialnim klientom, ki se registrirajo na naši spletni strani, da bi trgovali na globalnem finančnem trgu. To delovno mesto ne pomeni iskanja potencialnih klientov iz vaše osebne podatkovne baze ali na vašo pobudo. Klienti so znani in jih zagotovi podjetje.Nekatere vaših glavnih odgovornosti:dnevna telefonska komunikacija z našimi slovensko govorečimi klienti, in zagotavljanje vsestranskih posodobitev glede najnovejšega razvoja dogodkov na globalnih finančnih trgih predstavitev produktov in storitev slovensko govorečim klientom in pomoč pri pravilni uporabi teh storitev napredna tehnična podpora pri uporabi sofisticiranih platform za trgovanje delo v najnovejši CRM podatkovni bazi in drugi napredni programski opremi _______________________________________________________________________________________________________________We are looking for professionals to be responsible for our clients.You are an all-rounded professional, who will be responsible for communicating and assisting potential clients which register on our website to trade on global financial market. The job vacancy does not imply searching for potential clients from your own personal data or initiative. Clients are provided and owned by the company.Some of your main responsibilities:Daily phone call communication with our Slovenian speaking clients and providing them all-round updates on the latest developments on global financial markets Presenting products and services to Slovenian speaking clients and assisting them in using those services properly Advanced technical support in using sophisticated trading platforms Working in the state-of-the-art CRM database and other advanced software    Pričakujemo   Od kandidata pričakujemo: tekoče znanje slovenskega jezika fakultetna izobrazba (ekonomska ali finančna izobrazba bo prednost) poznavanje dela z orodji Microsoft office dobra socialna inteligenca odlična komunikacija, pogajalske in prodajne veščine zelo profesionalen odnos in razumevanje potreb klientov pripravljenost na pridobivanje novih znanj in spretnosti _______________________________________________________________________________________________________________Fluent Slovenian language Faculty degree (economics and finance degree are an advantage) Microsoft package knowledge Strong social intelligence Excellent communication, negotiating and sales skills Highly professional attitude and understanding of client’s needs Will to gain new knowledge and skills Ambition to build a career and progress in the company hierarchy    Ponujamo   Delovno mesto ponuja: Prednosti in ugodnosti (naše podjetje ponuja):zelo konkurenčen plačni paket plača se v prvih dvanajstih mesecih izboljšuje zelo privlačna bonusna shema priložnost zgraditi kariero na vrhu trga finančnega sektorja, v uradni finančni instituciji, ki jo urejajo finančni organi pokojninsko + zdravstveno zavarovanje delovno dovoljenje dva tedna usposabljanja na podlagi našega poslovanja (kot začetna točka vaše poklicne poti) brezplačno telovadnico in fitness prijetno mednarodno poslovno okolje mesečne nagrade za najuspešnejše kontinuirano usposabljanje, osebno in strokovno rast če postanete del hitrorastočega mednarodnega podjetja, boste imeli priložnost napredovanja na višje položaje celovitost, prilagodljivost in svetlo ter stabilno prihodnost ___________________________________________________________________________________________________Perks and benefits (our company provides):Opportunity to build career in the top segment of the financial sector, in an official financial institution, regulated by financial authorities Competitive salary package (fixed salary + attractive bonus scheme) Pension + health insurance Work permit Two weeks of training course on basics of our business (as a starting point of your career path) Free of charge gym & fitness Pleasant international office environment Monthly awards to top performers Ongoing training, personal - and professional growth Being a part of a rapidly growing international company, full of advancement opportunities to senior positions Integrity, flexibility, commitment and a bright, stable future"
Administrativni referent m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-691952-691952/,10.04.2019,04:02,26.03.2019,KataleaConsulting d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-691952-691952/,"KataleaConsulting d.o.o. je kadrovsko svetovalno podjetje, ki združuje različne strokovnjake z znanjem in dolgoletnimi izkušnjami iz kadrovskega področja. Naši naročniki nam zaupajo zaradi strokovnosti in predanosti delu.Za našega naročnika iz Ljubljane, vodilno podjetje v svoji dejavnosti, z uveljavljeno in prepoznavno blagovno znamko iščemo ADMINISTRATIVNEGA REFERENTA M/Ž. Opis delovnega mesta   Naloge in odgovornosti Svetovanje in podpora strankam preko telefona in elektronske pošte. Reševanje reklamacij. Pošiljanje obvestil skupinam uporabnikov. Spremljanje ponudb in cen konkurence in na trgu na splošno. Preverjanje ponudnikov glede korektnosti izvajanja pogodbenih določil. Analiza prodaje ponudb in ugotavljanje razlogov ob slabi prodaji. Spremljanje izgleda internetnega portala naročnika in opozarjanje na pomanjkljivosti. Klicanje baze obstoječih ponudnikov z namenom aktualiziranja obstoječe baze ponudnikov in ažuriranje podatkov v CRM in hkrati obnovitve pogodb za ponovno objavo že dogovorjenih ponudb. Priprava pogodb in komunikacija tako s slovenskimi kot tujimi poslovnimi partnerji po nalogu svoje vodje. Priprava prezentacij s kratkim povzetkom vsebine vseh partnerskih oglaševalskih medijev za tržnike. Pisanje in ažuriranje tekstov ponudb. Administrativna in organizacijska dela dodeljena po nalogu svoje vodje. Nadomeščanja drugih oddelkov v času dopustov in odsotnosti.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Vsaj 3-4 leta delovnih izkušenj, od tega vsaj 2 leti v klicnem centru ali centru za pomoč uporabnikom. Aktivno (ustno in pisno) znanje angleškega jezika. Aktivno (ustno in pisno) znanje hrvaškega jezika. Zaključena najmanj srednješolska izobrazba. Aktivno obvladovanje dela z računalnikom. Programi: Excel, Outlook, Word, Google docs. Zahtevane lastnosti: sposobnost večopravilnosti, prilagodljivost, proaktivnost, organiziranost, samostojnosti in natančnost. Bivališče v Ljubljani ali bližnji okolici. Zaposlitev se sklene za določen čas, možnost kasnejšega podaljšanja za nedoločen čas. Dobro delovanje v timu in hkrati dobra sposobnost samostojnega dela. Odgovorno in lojalno obdelovanje zaupnih podatkov. Sposobnost prenašanja obremenitev zaradi opravljanja delovnih nalog.    Ponujamo   Delovno mesto ponuja: Redno in stimulativno plačilo (zagotovljena osnova + nagrada po dogovoru). Delovni čas od 9. do 17. ure. Delo v mladem in dinamičnem kolektivu.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas"
Administrator v financah m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-692950-692950/,10.04.2019,04:01,02.04.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-692950-692950/,
Administrator v oddelku financ m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-oddelku-financ-mz-693299-693299/,10.04.2019,04:00,05.04.2019,Naton d.o.o.,Logatec,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-oddelku-financ-mz-693299-693299/,"Opis delovnega mesta   Naloge in odgovornosti Izvajanje vseh finančno administrativnih delovnih nalog v okviru oddelka Financ, saj bo v prvi fazi v slovenskem podjetju zaposlena le ena oseba na tem oddelku, ki bo podpora oddelku Financ v Švici. Delo obsega knjiženje računov, pomoč pri usklajevanju računov, poročanje o statusu računov in odstopanjih, podporo pri pripravi budgeta in vsa ostala finančno administrativna dela. Odgovornost za reševanje računovodskih vprašanja (s pomočjo zunanjega računovodskega servisa). Odgovornost za izvedbo plačilnega prometa oz. finančnih transakcij. Vnos podatkov v informacijski sistem in skrb za ažurno dokumentacijo. Delo obsega podporo in poročanje oddelku financ v matični družbi v Švici. Oddelek Financ bo v začetni fazi voden s strani matičnega podjetja v Švici (potrebno je aktivno znanje angleščine, nemščina je zaželena), računovodstvo bo vodeno s strani zunanjega izvajalca. Odgovornost za pravočasno poročanje Finančnemu direktorju v matičnem podjetju. Poročanje direktorju družbe Lonstroff v Sloveniji. Komunikacija z dobavitelji, strankami, sodelavci. Podpora direktorju v smislu opravljanja splošnih administrativnih delovnih nalog. Po potrebi podpora oddelku HR (osnovne naloge). Izvajanje drugih delovnih nalog v skladu s potrebami delovnega procesa upoštevaje kvalifikacije in skladno z navodili delodajalca oz. nesporedno nadrejene osebe. Izvajanje dela skladno z načeli zdravja in varstva pri delu. Izbrani kandidat bo odgovoren za pravilnost dokumentacije (skrb, da je podpisana s strani ustreznih podpisnikov in ustrezno distribuirana). Odgovornost za doseganje standardov kvalitete, okoljevarstvenih standardov ter standardov zdravja in varstva pri delu.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Vsaj 2 leti delovnih izkušenj na področju financ. Zaključeno višješolsko izobrazbo ustrezne smeri. Zaželene so izkušnje s področja osnovnega knjigovodstva in finančnih transakcij, poznavanje mednarodno veljavnih finančnih regulativ (Generally Accepted Ac-counting Principles (GAAP). Aktivno znanje angleškega jezika (nivo C1), aktivno znanje slovenskega jezika, znanje nemškega jezika je prednost, ni pa nujni predpogoj. Osebnostne lastnosti: sposobnost hitrega učenja in sprejemanja odločitev, sposobnost proaktivne podpore sodelavcem v Švici, sposobnost komunikacije v angleškem jeziku na profesionalnem nivoju, smisel za odgovornost, dobra oraniziranost in sposobnost za opravljanje več opravil hkrati (multitasking), odgovornost in sposobnost reševanja problemov, natančnost.    Ponujamo   Delovno mesto ponuja: Nadpovprečen osebni dohodek v višini 2100 eur bruto Dolgoročno zaposlitev v stabilnem podjetju, ki proizvaja izdelke za medicinsko in farmacevtsko industrijo. Redno delovno razmerje s šestmesečno poskusno dobo. Uvodno usposabljanje na sedežu matičnega podjetja v Švici.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev   Mesečno plačilo                               2000 - 2500 € bruto"
Administrator v telefonskem studiu (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-telefonskem-studiu-mz-693160-693160/,10.04.2019,04:01,04.04.2019,Powerserv d.o.o.,"Lizbona, Portugalska",https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-telefonskem-studiu-mz-693160-693160/,"Fokus podjetja Powerserv, d.o.o. je v kadrovskih in kariernih rešitvah, izdelanih po meri, ki jih odlikujeta kompetentno svetovanje in visoka kakovost storitev. Iskalcem zaposlitve pomagamo do njihove zaposlitve, podjetjem poiščemo primerne kadre. Smo podjetje z več kot 30 letno tradicijo v tujini in 12 letno tradicijo v Sloveniji. Več o nas najdete na www.powerserv.si ali Facebook strani Powerserv Slovenia.Naša stranka je vodilno podjetje v svetu na področju upravljanja odnosov s strankami in klicnimi centri, zaposluje približno 180.000 ljudi v več kot 60 državah. Leta 2015 pa je bilo že šestič  s strani Inštituta ""Great Place to Work"" izbrano za najboljšo družbo na Portugalskem.V podjetju zaposlijo: ADMINISTRATOR V TELEFONSKEM STUDIU (m/ž)(Lizbona, Portugalska) Opis delovnega mesta   Naloge in odgovornosti Prevzemali boste telefonsko skrb za podjetja, kot so Asos, Canon, Netflix, Michael Kors in še veliko drugih (iz področij telekomunikacije, potovalne industrije, igre itd..). Skupaj z majhno, nemško govorečo ekipo (5-8 oseb), boste odgovorni za zadovoljstvo strank. Projekt, na katerem boste delali v naslednjih osmih do dvanajstih mesecih, si boste izbrali sami. Ne gre za akviziterstvo. Izdelki, ki jih boste ponujali, so za stranke zanimivi.    Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: Govorite zelo dobro nemško. Znanje angleščine je dodaten plus. Komunikacija v tujem jeziku vam predstavlja izziv in veselje. Ste učinkoviti in prijazni pri konverzaciji preko telefona. Več kulturno okolje vas bogati in navdušuje. Želite živeti v tujini najmanj 12 mesecev in razširiti svoja obzorja.    Ponujamo   Delovno mesto ponuja: Popolnoma organizirano in financirano bivanje v tujini. Jezikovne tečaje, nastanitev, vodni športi in še veliko več. Povračilo stroškov letalske karte. Več tednov poklicnega usposabljanja za telefonsko podporo strankam. Verjetno največjo zabavo v vašem življenju, predvsem v času poletja. Mednarodna ekipa sodelavcev. Pogodbena minimalna plača na Portugalskem, ki znaša za to delovno mesto 949,56 EUR na mesec. Privlačen, realističen model provizije (do 1.000 EUR na mesec) zraven osnovne plače. Oblika zaposlitve: polni delovni čas (40 ur / teden).    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 3 mesece"
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-692456-692456/,10.04.2019,04:02,28.03.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-692456-692456/,
Agent v klicnem centru - prodaja (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-klicnem-centru-prodaja-mz-691184-691184/,10.04.2019,04:03,18.03.2019,"DIGITAL MEDIAORBIS, dejavnost oglaševalskih agencij, d.o.o.",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-klicnem-centru-prodaja-mz-691184-691184/,"Digital Mediaorbis d.o.o. smo sodobno, izkušeno podjetje na področju tržne dejavnosti. V svoj tim vabimo nove sodelavce m/ž, ki bi nam, s svojo komunikativnostjo, pogajalskimi veščinami in predanim delom, pomagali predstaviti naše produkte, zasnovane tako, da omogočajo najbolj optimalno in učinkovito oglaševanje.Osredotočeni smo na timsko delo, sodelovanje ter maksimalno zadovoljstvo naših strank, kot tudi svojih zaposlenih.Če mislite, da ste vešči dobre prodajalske taktike, znate in radi komunicirate, ste pozitivni, timsko naravnani in ambiciozni, ter če se ne zadovoljite z nizko plačo, pač pa si želite službo, ki vas za dobro delo nagradi vam lahko ponudimo odlično priložnost. Opis delovnega mesta   Naloge in odgovornosti prodaja storitev podjetja skrb za obstoječe stranke sodelovanje z ostalimi oddelki    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: Bolj kot izkušnje, nam je pomembno, da znate učinkovito sodelovati s svojo ekipo, da ste pri delu pozitivno naravnani, ter da znate za doseganje svojih ciljev uporabljati svoje komunikacijske sposobnosti, pogajalske spretnosti in prodajne veščine ter ostala znanja. Poleg tega v novem sodelavcu iščemo tudi osebo, ki jo odlikuje:vztrajnost odgovornost delavnost organiziranost samostojnost ciljna usmerjenost samoiniciativnost pripadnost delu    Ponujamo   Delovno mesto ponuja: delo v perspektivnem delovnem okolju. redno in pošteno plačilo zaposlitev za nedoločen čas, poskusno delo 1 mesec Delo poteka na sedežu podjetja od ponedeljka do petka med 8. in 16. uro (v delovni čas pa je vključen tudi plačan enourni odmor in organizirano kosilo)."
Agent za delo v klicnem centru (m/ž) - pospeševanje prodaje časopisa,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-pospesevanje-prodaje-casopisa-692061-692061/,10.04.2019,04:02,29.03.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-pospesevanje-prodaje-casopisa-692061-692061/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje časopisov, stik s strankami je prijazen in seveda profesionalen, ciljna skupina strank so starejši ljudje, kateri berejo časopise.   Pričakujemo   Od kandidata pričakujemo: komunikativno osebo, pripravljenost pomagati ekipi, stremijo k napredku celotne ekipe. Odprti smo tudi za razne nasvete, kako bi se dalo kakšno stvar izboljšati.   Ponujamo   Delovno mesto ponuja: možnost napredka tudi na ostale položaje v podjetju (administracija,..itd.), pri poslovni stavbi je poskrbljeno tudi za parkiranje, saj imamo svoja parkirna mesta. Našo ekipo sestavljajo, mladi fantje in dekleta, polni veselja, zagriženosti do dela in napredka. Imamo tudi ""Team buildinge"", kjer se s celotno ekipo sprostimo in pustimo službo malo na strani."
Agent/ka v klicnem centru m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/agentka-v-klicnem-centru-mz-693322-693322/,10.04.2019,04:00,05.04.2019,KRAM PLUS d.o.o.,Radomlje,https://www.optius.com//iskalci/prosta-delovna-mesta/agentka-v-klicnem-centru-mz-693322-693322/,"Zaradi povečanega obsega dela, iščemo agenta/ko v klicnem centru za nedoločen čas. Opis delovnega mesta   Naloge in odgovornosti Iščemo osebe, ki so motivirane, pozitivne, z dobrimi komunikacijskimi sposobnostmi   Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: timsko delo dobre komunikacijske sposobnosti vztrajnost dolgoročno sodelovanje pripravljenost na učenje in dodatno izobraževanje    Ponujamo   Delovno mesto ponuja: sodelovanje za daljše obdobje prijetno delovno okolje Nudimo uvajanje, izobraževanje in stimulativno nagrajevanje.   Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Mesečno plačilo                               po dogovoru"
Analitik II. m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-ii-mz-690114-690114/,10.04.2019,04:03,12.03.2019,Wooshin LaPache d.o.o.,Grosuplje,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-ii-mz-690114-690114/,"Wooshin Lapache je podjetje ustanovljeno v Južni Koreji leta 1992, svoje produkte pa danes izvaža že v več kot 30 držav po svetu. V letu 2017 so v Grosupljem odprli podjetje, kjer je svoje mesto našla proizvodnja zdravil in medicinskih pripomočkov, predvsem hidrogelnih obližev in ODF, Wooshin Lapache.Zaradi povečanega obsega dela objavljamo prosto delovno mesto: ANALITIK II. (m/ž). Opis delovnega mesta   Naloge in odgovornosti Izvajanje analiz, pregled rezultatov analiz ter analitičnih postopkov ter priprava protokolov in povzetkov poročil; Priprava, pregled in posodabljanje specifikacij za vhodne materiale in končne izdelke, laboratorijskih analitičnih postopkov ter standardnih operativnih postopkov (SOP); Nabava reagentov, standardov ter steklovine za QC laboratorij, nadzor nad vsakodnevnimi delovnimi operacijami v QC laboratoriju, sodeluje pri internem in zunanjem testiranju materialov in izdelkov, podpora povezanim laboratorijskim funkcijam, zagotavljanje končne dokumentacije v skladu z GMP-jem in GLP-jem; Sodelovanje pri validacijah, vzdrževanjih in kalibracijah QC opreme; Upravljanje OOS /OOT in drugih odstopanj; sodelovanje pri obvladovanju sprememb in CAPA; Vzdrževanje in izboljševanje postopkov v QC in mikrobiološkem laboratoriju; Upravljanje in nadzor nad analiznimi inštrumenti (HPLC, GC, IR, UV, TOC, itd.); Vzorčenje in analiza vstopnih materialov; Sodelovanje v globalnih in internih projektih;    Pričakujemo   Od kandidata pričakujemo: Univerzitetna izobrazba farmacevtske smeri (ali primerljivo-kemija); Izkušnje z delom z ljudmi in skupinami v kompleksnem in kulturno raznolikem ter dinamičnem okolju, učinkovito podajanje idej in spodbujanje ostalih za doseganje rezultatov z dodano vrednostjo ter doseganje ciljev organizacije; Dobre komunikacijske sposobnosti ter zmožnost dela v skupini ter učinkovito prepoznavanje prednostnih nalog pri delu; Dobro poznavanje GXP-jev; Razumevanje in prilagajanje načina dela skladno z lokalno in mednarodno zakonodajo, predpisi, direktivami in smernicami; Tekoče znanje angleškega jezika; Najmanj 1 leto delovnih izkušenj;    Ponujamo   Delovno mesto ponuja: Ponujamo vam opcijsko redno zaposlitev za določen čas z nekajmesečno poskusno dobo. Možnost podaljšanja pogodbe."
