VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Serviser na terenu (m/ž) - Osrednja Slovenija,https://www.optius.com/iskalci/prosta-delovna-mesta/serviser-na-terenu-mz-osrednja-slovenija-725507-725507/,11.03.2020,02:02,10.03.2020,"Jungheinrich, d.o.o.",Osrednja Slovenija,https://www.optius.com/iskalci/prosta-delovna-mesta/serviser-na-terenu-mz-osrednja-slovenija-725507-725507/,"Brez Jungheinricha bi bil vaš nakupovalni voziček verjetno prazen. In to še ni vse. Naši viličarji v logističnih centrih širom sveta vsak dan premaknejo milijone produktov. Smo eden izmed 3 najboljših proizvajalcev viličarjev na svetu ter eden od vodilnih ponudnikov skladiščne tehnologije z direktno prodajo v 40 državah po svetu.Zaradi rasti podjetja redno zaposlimo visoko motiviranega in timsko usmerjenega sodelavca na delovnem mestu Serviser na terenu - Osrednja Slovenija. Opis delovnega mesta   Naloge in odgovornosti: redna periodična vzdrževanja ter popravila strojev, diagnosticiranje in odpravljanje napak na strojih in sistemih, naročanje nadomestnih delov in ustrezno vodenje zalog, poročanje nadrejenim o opravljenem delu, občasna pomoč ostalim serviserjem po Sloveniji ter udeležba na izobraževanjih doma in v tujini.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: izobrazba smeri avtomehanik, strojni mehanik ali podobno, vsaj dve leti izkušenj v dejavnosti servisiranja in vzdrževanja (avto servisna dejavnost, elektrotehniška dejavnost ali vzdrževanje strojev v proizvodnji), znanja s področja hidravlike predstavljajo prednost, odlično poznavanje MS Office paketa, aktivno znanje slovenskega jezika (obvezno) znanje angleškega ali nemškega jezika (vsaj dobro pogovorno znanje in pisno razumevanje), vozniško dovoljenje B-kategorije, proaktiven pristop do dela, odgovornost, samoiniciativnost, doslednost in prodajna naravnanost, naklonjenost do pridobivanja novih znanj in pripravljenost na terensko delo, zaželeno je, da ima kandidat prebivališče na območju Osrednjeslovenske regije.    Ponujamo   Delovno mesto ponuja: skrbno načrtovan program uvajanja z nenehno podporo strokovnjakov, delo v urejenem kolektivu uspešnega podjetja z več kot 65 leti tradicije, dolgoročno zaposlitev, z možnostjo napredovanja in osebnega razvoja, uporabo odlično opremljenega službenega vozila v službene namene, izobraževanje doma in v tujini, stimulativen finančni paket, mobilni telefon in prenosni računalnik.    Poskusno delo: 4 mesece   Mesečno plačilo                               po dogovoru"
Turistični animator m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/turisticni-animator-mz-725469-725469/,11.03.2020,02:02,10.03.2020,"TERME KRKA, d.o.o., Novo mesto",Dolenjske Toplice,https://www.optius.com/iskalci/prosta-delovna-mesta/turisticni-animator-mz-725469-725469/,Turistični animator m/ž
Skrbnik ključnih kupcev – Key Account Manager (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/skrbnik-kljucnih-kupcev-key-account-manager-mz-725475-725475/,11.03.2020,02:02,10.03.2020,Trescon d.o.o.,Štajerska regija,https://www.optius.com/iskalci/prosta-delovna-mesta/skrbnik-kljucnih-kupcev-key-account-manager-mz-725475-725475/,Skrbnik ključnih kupcev – Key Account Manager (m/ž)
Prodajalec (m/ž) na oddelku delikatese - Spar Bled,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-na-oddelku-delikatese-spar-bled-725484-725484/,11.03.2020,02:02,10.03.2020,Spar Slovenija d.o.o.,Bled,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-na-oddelku-delikatese-spar-bled-725484-725484/,Prodajalec (m/ž) na oddelku delikatese - Spar Bled
Ekspert AS&T (Senior) m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/ekspert-as-and-t-senior-mz-725431-725431/,11.03.2020,02:02,10.03.2020,Lek d.d.,Mengeš,https://www.optius.com/iskalci/prosta-delovna-mesta/ekspert-as-and-t-senior-mz-725431-725431/,Ekspert AS&T (Senior) m/ž
Strokovni vodja v Službi za podporo prodaji osebnih zavarovanj (m/ž) - več prostih delovnih mest,https://www.optius.com/iskalci/prosta-delovna-mesta/strokovni-vodja-v-sluzbi-za-podporo-prodaji-osebnih-zavarovanj-mz-vec-prostih-delovnih-mest-725466-725466/,11.03.2020,02:02,10.03.2020,"Zavarovalnica Triglav, d.d.",Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/strokovni-vodja-v-sluzbi-za-podporo-prodaji-osebnih-zavarovanj-mz-vec-prostih-delovnih-mest-725466-725466/,Strokovni vodja v Službi za podporo prodaji osebnih zavarovanj (m/ž) - več prostih delovnih mest
Pospeševalec prodaje (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/pospesevalec-prodaje-mz-725454-725454/,11.03.2020,02:02,10.03.2020,Coca-Cola HBC Slovenija d.o.o.,"Ljubljana, Dolenjska regija, Murska Sobota, Nova Gorica",https://www.optius.com/iskalci/prosta-delovna-mesta/pospesevalec-prodaje-mz-725454-725454/,Pospeševalec prodaje (m/ž)
Delavec v prašni lakirnici (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-prasni-lakirnici-mz-725470-725470/,11.03.2020,02:02,10.03.2020,Metrel Mehanika d.o.o.,"Horjul (8 km iz Vrhnike, 20 km iz Ljubljane)",https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-prasni-lakirnici-mz-725470-725470/,"Podjetje Metrel Mehanika d.o.o. je dejavno na področju kovinske predelovalne industrije. Začetki podjetja segajo v leto 1956. Danes podjetje zaposluje skoraj 190 ljudi.Naš namen in cilj je zadovoljiti zahteve naših naročnikov tako po kakovosti kot po dogovorjenem roku izdelave.K sodelovanju vabimo novega sodelavca - Delavec v prašni lakirnici (m/ž). Opis delovnega mesta   Naloge in odgovornosti: Opravljanje raznih pomožnih del v prašni lakirnici, priprava kosov za lakiranje, ščitenje, kitanje/brušenje in po potrebi pakiranje kosov na liniji prašnega lakiranja. MOŽNOST PRIUČITVE! Dolgoročnost zaposlitve.   Pričakujemo   Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: II., III., IV. stopnjo izobrazbe - zaželeno tehnične smeri, možnost priučitve, visoko stopnjo natančnosti in odgovornosti, dobro znanje slovenskega jezika.    Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas z možnostjo podaljšanja v zaposlitev za nedoločen čas, dvoizmenski delovnik, polni delovni čas, stimulativno delovno okolje, možnost napredovanja, izobraževanja in osebnega razvoja, zagotovljeno parkirno mesto.    Poskusno delo: 1 mesec   Mesečno plačilo                               po dogovoru                                                                         dodatne ugodnosti: dodatno prostovoljno pokojninsko zavarovanje, aktivno športno društvo, neformalna druženja, zagotovljeno parkirno mesto"
Samostojni računovodja (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/samostojni-racunovodja-mz-725483-725483/,11.03.2020,02:02,10.03.2020,"ATAMA, d.o.o.",Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/samostojni-racunovodja-mz-725483-725483/,"Ste izkušen/a računovodja in iščete stabilno zaposlitev v urejenem delovnem okolju v uspešnem, rastočem kolektivu v Ljubljani, ki se ukvarja z upravljanjem nepremičnin? Potem ne odlašajte s prijavo! Opis delovnega mesta   Naloge in odgovornosti: Kandidat mora imeti izkušnje in odlično poznati celotno knjigovodstvo in računovodstvo, evidentiranje poslovnih dogodkov v glavni knjigi in analitičnih evidencah, usklajevanje in kontrola analitičnih evidenc z glavno knjigo, obračun DDV, saldakonti, plačilni promet, izdelava zaključnega računa, obračun plač, podjemnih pogodb in najemnin, poročanja zunanjim inštitucijam (FURS, AJPES…), komunikacija s strankami (pisna in ustna), izterjava dolžnikov.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    VI/1.,                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 4 - 5 let   Od kandidata pričakujemo: Poznavanje zakonodaje za upravljanje nepremičnin, v kolikor kandidat znanja nima, se pričakuje pripravljenost za učenje, odlično poznavanje celotnega knjigovodstva, pripravljenost za delo s programskim orodjem IMAGINE, dobre komunikacijske in ustne veščine, dobro poznavanje SRS in ostalih zakonov in predpisov, odgovornost, strokovnost, samostojnost, zanesljivost in lojalnost in pripravljenost delati v team-u.    Ponujamo   Delovno mesto ponuja: Urejeno, stabilno in prijetno delovno mesto v manjšem, uspešnem in rastočem kolektivu, zagotovljeno brezplačno parkiranje pred poslovno hišo, po prvem letu zaposlitve vplačevanje v II. steber pokojninskega zavarovanja, plačilo od 2100 do 2700 eur Bruto - odvisno od znanja in izkušenj, druge bonitete.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev   Mesečno plačilo                               po dogovoru"
Koordinator letalske logistike (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/koordinator-letalske-logistike-mz-725478-725478/,11.03.2020,02:02,10.03.2020,"ATAMA, d.o.o.",Brnik,https://www.optius.com/iskalci/prosta-delovna-mesta/koordinator-letalske-logistike-mz-725478-725478/,"Za našega naročnika, mednarodno in ugledno podjetje, iščemo Koordinatorja letalske logistike (m/ž). Izkušnje niso potrebne, so pa zaželene. Iščemo kandidata začetnika, ki je pravkar diplomiral/magistriral in si želi kariere na področju letalske logistike. Opis delovnega mesta   Naloge in odgovornosti: pisna in ustna dnevna komunikacija v angleškem jeziku, organiziranje letalskih pošiljk (poudarek na uvozu), skrb za optimizacijo naročil, reševanje reklamacij strank, komunikacija s carino, agenti in prevozniki, planiranje delovnih obveznosti na področju letalskih pošiljk.    Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: odlično znanje angleškega jezika, tako ustna kot pisna komunikacija, vsaj VI. stopnja logistične, ekonomske ali druge ustrezne izobrazbe, izkušnje niso potrebne, saj iščemo kandidata, ki je pravkar zaključil z izobrazbo na fakulteti in si želi graditi kariero na področju letalske logistike, sposobnost, zagnanost, odprtost in ambicioznost.    Ponujamo   Delovno mesto ponuja: pogodbo za določen čas za obdobje enega leta s poizkusno dobo in željo po dolgoročnem sodelovanju, enoizmensko delo od ponedeljka do petka, možnost kariernega razvoja, zaposlitev v uglednem mednarodnem podjetju, možnost priučitve oz. uvajanja v delo, v kolikor ima kandidat ustrezno izobrazbo, strast in željo po tem delu.    Poskusno delo: 6 mesecev   Mesečno plačilo                               po dogovoru"
