Delovno_mesto_link	Delovno_mesto	Datum_objave	Podjetje	Kraj_dela	REQUEST_URL	RESPONSE_URL	RESPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojedelo.com/proizvodni-delavci/d-312932?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Vodja odseka Kadri in izobraževanje"	"Danes"	"Banka Slovenije"	"Ljubljana"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja"	"04.24.2017"	"09:11:18"	"24.4.2017 7:11:19"	"https://www.mojedelo.com/proizvodni-delavci/d-312932?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/obdelovalec-odlitkov/d-312930?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Strokovni sodelavec"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Osrednjeslovenska regija"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/obdelovalec-odlitkov/d-312930?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/varilec-v-proizvodnji/d-313009?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"CNC Maschinenbediener/in / Posluževalec CNC stroja"	"Včeraj"	"ACE consulting GmbH"	"Avstrija"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/varilec-v-proizvodnji/d-313009?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/skrbnik-spletnih-druzbenih-omrezij/d-311823?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Delo v administraciji in klicnem centru"	"22.4.2017"	"genEplanet d.o.o."	"Ljubljana"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/skrbnik-spletnih-druzbenih-omrezij/d-311823?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/serviser-montazer-klimatskih-naprav-delo-v-sloveniji/d-306987?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Komercialist svetovalec"	"21.4.2017"	"Vzajemna d.v.z."	"Ljubljana ali Kranj ali Koper"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/serviser-montazer-klimatskih-naprav-delo-v-sloveniji/d-306987?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/elektromonter/d-304982?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Proizvodni delavci"	"Danes"	"Incom d.o.o."	"Ajdovščina"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/elektromonter/d-304982?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/pomozni-monter-elektro-naprav/d-304981?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Obdelovalec odlitkov"	"Danes"	"MAHLE Letrika d.o.o."	"Komen"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/pomozni-monter-elektro-naprav/d-304981?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/vodilni-elektromonter/d-304980?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Varilec v proizvodnji"	"Danes"	"T.C. JAKL D.O.O."	"Središče ob Dravi"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/vodilni-elektromonter/d-304980?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/izkuseni-trznik/d-312949?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Skrbnik spletnih družbenih omrežij"	"Danes"	"NOI d.o.o."	"Trzin"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/izkuseni-trznik/d-312949?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/strokovni-sodelavec/d-312893?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Serviser montažer klimatskih naprav - delo v Sloveniji"	"Danes"	"LUNTA INŽENIRING d.o.o."	"Slovenija"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/strokovni-sodelavec/d-312893?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/skladiscnik-mz/d-312825?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Elektromonter"	"Danes"	"LUNTA INŽENIRING d.o.o."	"Avstrija Graz, Nemčija"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/skladiscnik-mz/d-312825?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/kuhar-natakar/d-312897?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Pomožni monter elektro naprav"	"Danes"	"LUNTA INŽENIRING d.o.o."	"države EU"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/kuhar-natakar/d-312897?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/kljucavnicar-monter/d-305852?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Vodilni elektromonter"	"Danes"	"LUNTA INŽENIRING d.o.o."	"države EU"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/kljucavnicar-monter/d-305852?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/elektroinstalater-tirolska-avstrijska-koroska/d-305851?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Izkušeni tržnik"	"Danes"	"MEDIA LAB d.o.o."	"Ljubljana"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/elektroinstalater-tirolska-avstrijska-koroska/d-305851?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/klepar-celotna-avstrija/d-305850?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Strokovni sodelavec"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Štajerska"	""	""	""	""	"24.4.2017 7:11:19"	"https://www.mojedelo.com/klepar-celotna-avstrija/d-305850?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/cnc-operater/d-305849?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"CNC operater"	"22.4.2017"	"Trummer osebni servis d.o.o."	"Avstrija"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja?p=2"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja?p=2"	"04.24.2017"	"09:11:28"	"24.4.2017 7:11:28"	"https://www.mojedelo.com/cnc-operater/d-305849?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/zidar-celotna-avstrija/d-305848?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Zidar (celotna Avstrija)"	"22.4.2017"	"Trummer osebni servis d.o.o."	"Avstrija"	""	""	""	""	"24.4.2017 7:11:28"	"https://www.mojedelo.com/zidar-celotna-avstrija/d-305848?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/slikopleskar/d-305847?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Slikopleskar"	"22.4.2017"	"Trummer osebni servis d.o.o."	"Avstrija"	""	""	""	""	"24.4.2017 7:11:28"	"https://www.mojedelo.com/slikopleskar/d-305847?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/mizar-graz/d-305846?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Mizar (Graz)"	"22.4.2017"	"Trummer osebni servis d.o.o."	"Avstrija"	""	""	""	""	"24.4.2017 7:11:28"	"https://www.mojedelo.com/mizar-graz/d-305846?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/kljucavnicar-avstrijska-koroska/d-305845?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Ključavničar (Avstrijska Koroška)"	"22.4.2017"	"Trummer osebni servis d.o.o."	"Avstrija"	""	""	""	""	"24.4.2017 7:11:28"	"https://www.mojedelo.com/kljucavnicar-avstrijska-koroska/d-305845?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/varilec/d-305844?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Varilec"	"22.4.2017"	"Trummer osebni servis d.o.o."	"Avstrija"	""	""	""	""	"24.4.2017 7:11:28"	"https://www.mojedelo.com/varilec/d-305844?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/mehatronik/d-305843?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Mehatronik"	"22.4.2017"	"Trummer osebni servis d.o.o."	"Avstrija"	""	""	""	""	"24.4.2017 7:11:28"	"https://www.mojedelo.com/mehatronik/d-305843?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
