Delovno_mesto_link	Delovno_mesto	Datum_objave	Podjetje	Kraj_dela	REQUEST_URL	RESPONSE_URL	RESPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojedelo.com/konstruktor-predrazvoja/d-333548?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Konstruktor predrazvoja"	"Danes"	"LOGICDATA Electronic & Software Entwicklungs GmbH"	"Wirtschaftspark"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"10.10.2017"	"04:00:29"	"10.10.2017 02:00:30"	"https://www.mojedelo.com/konstruktor-predrazvoja/d-333548?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/konstruktor-za-strojegradnjo/d-333545?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Konstruktor za strojegradnjo"	"Danes"	"LOGICDATA Electronic & Software Entwicklungs GmbH"	"Wirtschaftspark"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/konstruktor-za-strojegradnjo/d-333545?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/parketar/d-330556?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Parketar"	"Danes"	"TransArtJobs"	"okolica Rotterdama in Den Haaga, Nizozemska"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/parketar/d-330556?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/monter/d-300848?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Monter"	"Danes"	"MONTPRO d.o.o."	"Terensko delo doma in v tujini"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/monter/d-300848?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/cistilec-v-novi-gorici/d-349255?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Čistilec v Novi Gorici"	"Danes"	"ISS FACILITY SERVICES d.o.o."	"Nova Gorica"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/cistilec-v-novi-gorici/d-349255?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/pralec-v-lakirnici/d-345733?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Komercialist za prodajo CNC strojev"	"Danes"	"BTS Company d.o.o."	"Ljubljana"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/pralec-v-lakirnici/d-345733?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/oprasevalec-v-lakirnici/d-345729?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Delavec v proizvodnji"	"Danes"	"Plamtex INT., d.o.o."	"Komenda"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/oprasevalec-v-lakirnici/d-345729?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/pomozni-delavec-v-proizvodnji/d-345725?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Pralec v lakirnici"	"Danes"	"Bojan Čepin s.p."	"Gorenjska"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/pomozni-delavec-v-proizvodnji/d-345725?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/oblikovalec-kovin-kljucavnicar/d-345722?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Opraševalec v lakirnici"	"Danes"	"Bojan Čepin s.p."	"Gorenjska"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/oblikovalec-kovin-kljucavnicar/d-345722?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/operater-na-cnc-prebijalnem-stroju/d-345713?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Pomožni delavec v proizvodnji"	"Danes"	"Bojan Čepin s.p."	"Gorenjska"	""	""	""	""	"10.10.2017 02:00:30"	"https://www.mojedelo.com/operater-na-cnc-prebijalnem-stroju/d-345713?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
