Delovno_mesto_link	Delovno_mesto	Datum_objave	Podjetje	Kraj_dela	REQUEST_URL	RESPONSE_URL	RESPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojedelo.com/razlicni-kadri/d-305072?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Razvojni tehnolog"	"Včeraj"	"Biovis d.o.o."	"Komen"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja"	"03.16.2017"	"11:23:09"	"16.3.2017 10:23:09"	"https://www.mojedelo.com/razlicni-kadri/d-305072?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/cnc-operater-mz/d-305085?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Varilec"	"Danes"	"Belimed d.o.o."	"Grosuplje"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/cnc-operater-mz/d-305085?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/resevalec-iz-vode-mz/d-305086?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"CEO za en mesec (poletna praksa)"	"Danes"	"Adecco H.R. d.o.o."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/resevalec-iz-vode-mz/d-305086?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/samostojni-testni-inzenir/d-305063?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Pravnik"	"Včeraj"	"Hadriae Tau d.o.o."	"Nova Gorica"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/samostojni-testni-inzenir/d-305063?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/samostojni-kuhar-mz-ljubljana/d-305093?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Sales representative/Prodajni predstavnik"	"Včeraj"	"Lafarge Cement d.o.o."	"Celotna Slovenija"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/samostojni-kuhar-mz-ljubljana/d-305093?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/samostojni-kuhar-mz-novo-mesto/d-305094?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Razvojni inženir / programer"	"14.3.2017"	"Ixtlan Team d.o.o."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/samostojni-kuhar-mz-novo-mesto/d-305094?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/samostojni-kuhar-mz-krsko/d-305095?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Poslovni sekretar"	"14.3.2017"	"Transpak d.o.o."	"Murska Sobota"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/samostojni-kuhar-mz-krsko/d-305095?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/samostojni-kuhar-mz-v-novi-gorici/d-305096?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Delavec v proizvodnji"	"14.3.2017"	"AquafilSLO d.o.o."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/samostojni-kuhar-mz-v-novi-gorici/d-305096?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/samostojni-kuhar-mz-v-semicu/d-305097?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Transportni komercialist / disponent-organizator prevozov v tovornem prometu m/ž"	"13.3.2017"	"Štempihar d.o.o."	"Šenčur na Gorenjskem"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/samostojni-kuhar-mz-v-semicu/d-305097?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/sodelavec-v-administraciji/d-305083?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"	"Avtomehanik"	"13.3.2017"	"Črešnik d.o.o. Medvode"	"Medvode"	""	""	""	""	"16.3.2017 10:23:09"	"https://www.mojedelo.com/sodelavec-v-administraciji/d-305083?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja"
"https://www.mojedelo.com/elektromonter/d-304973?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Elektromonter"	"Danes"	"Elektroservisi d.d."	"Ljubljana"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja?p=2"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja?p=2"	"03.16.2017"	"11:23:18"	"16.3.2017 10:23:18"	"https://www.mojedelo.com/elektromonter/d-304973?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/prodajalec/d-305066?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Prodajalec"	"Danes"	"Mlinotest d.d."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/prodajalec/d-305066?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/prodajalec/d-305068?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Prodajalec"	"Danes"	"Mlinotest d.d."	"Rateče"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/prodajalec/d-305068?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/cistilka-sobarica/d-305071?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Čistilka - sobarica"	"Danes"	"Axent d.o.o."	"Kobarid"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/cistilka-sobarica/d-305071?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/opravljanje-storitev-prodaje-v-trafikah-v-ljubljani-in-tolminu/d-305036?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Opravljanje storitev prodaje v trafikah v Ljubljani in Tolminu"	"Danes"	"Tobačna 3dva, trgovsko podjetje, d.o.o."	"Ljubljana, Tolmin"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/opravljanje-storitev-prodaje-v-trafikah-v-ljubljani-in-tolminu/d-305036?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/promotor-studentsko-delo/d-305069?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Promotor - študentsko delo"	"Danes"	"Študentski servis Alt"	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/promotor-studentsko-delo/d-305069?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/promotor-studentsko-delo/d-305070?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Promotor - študentsko delo"	"Danes"	"Študentski servis Alt"	"Dragonja/Sečovlje"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/promotor-studentsko-delo/d-305070?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/sestavljalec-mehanskih-sklopov/d-304916?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Sestavljalec mehanskih sklopov"	"Danes"	"T.C. JAKL D.O.O."	"Središče ob Dravi"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/sestavljalec-mehanskih-sklopov/d-304916?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/sivilja/d-304572?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Šivilja"	"Danes"	"Konstill d.o.o."	"Logatec"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/sivilja/d-304572?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/sodelavec-v-trzenju-strokovni-sodelavec-za-digitalni-marketing/d-304574?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Sodelavec v trženju / strokovni sodelavec za digitalni marketing"	"Danes"	"Konstill d.o.o."	"Logatec"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/sodelavec-v-trzenju-strokovni-sodelavec-za-digitalni-marketing/d-304574?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/konstruktor-tehnicni-risar-na-sistemih-cad/d-305017?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Konstruktor/ tehnični risar na sistemih CAD"	"Danes"	"SVP AVIO d.o.o."	"Begunje na Gorenjskem"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/konstruktor-tehnicni-risar-na-sistemih-cad/d-305017?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/strokovni-sodelavec-mz/d-305057?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Strokovni sodelavec m/ž"	"Danes"	"ELEKTRO LJUBLJANA, podjetje za distribucijo električne energije, d.d."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/strokovni-sodelavec-mz/d-305057?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/prodajni-inzenir/d-303896?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Prodajni inženir"	"Danes"	"ABB inženiring d.o.o."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/prodajni-inzenir/d-303896?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/samostojni-desktop-gis-programer/d-304423?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Samostojni desktop (GIS) programer"	"Danes"	"DataLab Tehnologije d.d."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/samostojni-desktop-gis-programer/d-304423?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/vodilni-elektromonter/d-304980?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Vodilni elektromonter"	"Danes"	"LUNTA INŽENIRING d.o.o."	"države EU"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/vodilni-elektromonter/d-304980?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/pomozni-monter-elektro-naprav/d-304981?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Pomožni monter elektro naprav"	"Danes"	"LUNTA INŽENIRING d.o.o."	"države EU"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/pomozni-monter-elektro-naprav/d-304981?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/elektromonter/d-304982?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Elektromonter"	"Danes"	"LUNTA INŽENIRING d.o.o."	"države EU"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/elektromonter/d-304982?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/operater-v-proizvodnji-mz/d-304936?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Operater v proizvodnji m/ž"	"Včeraj"	"Manpower d.o.o."	"Kamnik"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/operater-v-proizvodnji-mz/d-304936?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/skrbnik-kljucnih-kupcev-mz/d-305003?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Skrbnik ključnih kupcev (m/ž)"	"Včeraj"	"Manpower d.o.o."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/skrbnik-kljucnih-kupcev-mz/d-305003?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/skrbnik-spletne-trgovine-mz/d-305010?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"	"Skrbnik spletne trgovine (m/ž)"	"Včeraj"	"Manpower d.o.o."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:18"	"https://www.mojedelo.com/skrbnik-spletne-trgovine-mz/d-305010?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D2"
"https://www.mojedelo.com/promocije-svetovanje-strankam-mz/d-305044?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Promocije - Svetovanje strankam (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Ljubljana"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja?p=3"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-podrocja?p=3"	"03.16.2017"	"11:23:26"	"16.3.2017 10:23:26"	"https://www.mojedelo.com/promocije-svetovanje-strankam-mz/d-305044?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/vilicarist-mz/d-305025?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Viličarist (m/ž)"	"Včeraj"	"Trenkwalder d.o.o."	"Zasavje"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/vilicarist-mz/d-305025?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/visji-inzenir-specialist-v-razvojnem-laboratoriju/d-304970?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Višji inženir specialist v razvojnem laboratoriju"	"Včeraj"	"BSH Hišni aparati d.o.o. Nazarje"	"Nazarje"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/visji-inzenir-specialist-v-razvojnem-laboratoriju/d-304970?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/delo-v-telefonskem-centru/d-305013?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Delo v telefonskem centru"	"Včeraj"	"Aqua viva d.o.o."	"Ljubljana z okolico"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/delo-v-telefonskem-centru/d-305013?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/receptor-voznik/d-305024?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Receptor - voznik"	"Včeraj"	"Casino Portorož d.d. prirejanje posebnih iger na srečo"	"Lipica"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/receptor-voznik/d-305024?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/vpenjalec/d-304978?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Vpenjalec"	"Včeraj"	"DOM-TITAN d.d."	"Kamnik"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/vpenjalec/d-304978?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/raziskovalec-analitika/d-305014?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Raziskovalec analitika"	"Včeraj"	"LEK farmacevtska družba d.d."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/raziskovalec-analitika/d-305014?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/proizvodni-delavec/d-305016?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Proizvodni delavec"	"Včeraj"	"Axent d.o.o."	"Koper"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/proizvodni-delavec/d-305016?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/skladiscni-manipulant/d-305021?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Skladiščni manipulant"	"Včeraj"	"MERKUR trgovina, d.d."	"Radomlje"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/skladiscni-manipulant/d-305021?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/vodja-kadrovske-sluzbe/d-304912?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Vodja kadrovske službe"	"Včeraj"	"COMPETO d.o.o."	"Maribor"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/vodja-kadrovske-sluzbe/d-304912?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/komisionar-mz/d-305008?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Komisionar m/ž"	"Včeraj"	"HSG KARIERA"	"Ptuj"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/komisionar-mz/d-305008?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/proizvodni-delavec-mz-sencur/d-304957?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Proizvodni delavec (m/ž) - Šenčur"	"Včeraj"	"ADECCO H.R. d.o.o."	"Komenda"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/proizvodni-delavec-mz-sencur/d-304957?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/pomoc-v-administraciji-studentsko-delo-mz/d-304962?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Pomoč v administraciji - študentsko delo (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Gorenjska"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/pomoc-v-administraciji-studentsko-delo-mz/d-304962?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
"https://www.mojedelo.com/voznik-c-ali-e-kategorije-mz/d-304967?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"	"Voznik C ali E kategorije (m/ž)"	"Včeraj"	"Trenkwalder d.o.o."	"Ljubljana"	""	""	""	""	"16.3.2017 10:23:26"	"https://www.mojedelo.com/voznik-c-ali-e-kategorije-mz/d-304967?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-podrocja%3Fp%3D3"
