Delovno_mesto_link	Delovno_mesto	Datum_objave	Podjetje	Kraj_dela	REQUEST_URL	RESPONSE_URL	RESPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojedelo.com/delavec-za-srednje-zahtevna-dela-v-proizvodnji/d-342360?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Delavec za srednje zahtevna dela v proizvodnji"	"Danes"	"MAGNETI LJUBLJANA, d.d., Ljubljana"	"Ljubljana"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"09.01.2017"	"09:01:29"	"01.09.2017 07:01:29"	"https://www.mojedelo.com/delavec-za-srednje-zahtevna-dela-v-proizvodnji/d-342360?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/delilec-blagajnik-mz-v-nazarje/d-342351?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Delilec blagajnik m/ž v Nazarje"	"Danes"	"Slorest d.o.o."	"Nazarje"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/delilec-blagajnik-mz-v-nazarje/d-342351?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/samostojni-kuhar-mz-v-nazarje/d-342352?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Samostojni kuhar m/ž v Nazarje"	"Danes"	"Slorest d.o.o."	"Nazarje"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/samostojni-kuhar-mz-v-nazarje/d-342352?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/tehnolog-specialist-studija-dela-in-casa/d-341886?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Tehnolog specialist študija dela in časa"	"Danes"	"ELRAD International d.o.o."	"Gornja Radgona"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/tehnolog-specialist-studija-dela-in-casa/d-341886?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/jedrar/d-341977?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Partner pri prodaji izdelkov za mala in srednje velika podjetja"	"Danes"	"Livingbrands Unipessoal Lda."	"Slovenija"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/jedrar/d-341977?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/programski-razvojni-inzenir-za-vgrajene-sisteme-embedded-software-engineer/d-327081?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Jedrar"	"Danes"	"OMCO Feniks Slovenija d.o.o."	"Žalec"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/programski-razvojni-inzenir-za-vgrajene-sisteme-embedded-software-engineer/d-327081?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/prodajalec-blagajnik-mz-na-oddelku-avdio-video-in-racunalnistvo-novo-mesto/d-341742?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Programski razvojni inženir za vgrajene sisteme / Embedded Software Engineer"	"Danes"	"LOGICDATA Electronic & Software Entwicklungs GmbH"	"Wirtschaftspark"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/prodajalec-blagajnik-mz-na-oddelku-avdio-video-in-racunalnistvo-novo-mesto/d-341742?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/skladiscni-delavec/d-340875?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Upravljalec strojev"	"Danes"	"Filc d.o.o."	"Škofja Loka, Mengeš"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/skladiscni-delavec/d-340875?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/monter-steklenih-fasad/d-342306?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Prodajalec / blagajnik (m/ž) na oddelku avdio-video in računalništvo (Novo mesto)"	"Danes"	"Harvey Norman Trading d.o.o."	"Novo mesto"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/monter-steklenih-fasad/d-342306?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/delavec-v-proizvodnji-prehrambenih-izdelkov/d-342303?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Skladiščni delavec"	"Danes"	"Lisca d.d."	"Sevnica"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/delavec-v-proizvodnji-prehrambenih-izdelkov/d-342303?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/vodja-izmene/d-342302?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Monter Steklenih fasad"	"Danes"	"Direkt marketing, Andrej Ljubec s.p."	"Švica"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/vodja-izmene/d-342302?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/strojnik-tezke-gradbene-mehanizacije/d-342300?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Delavec v proizvodnji prehrambenih izdelkov"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Kamnik"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/strojnik-tezke-gradbene-mehanizacije/d-342300?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/vodovodni-instalater/d-342299?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Vodja izmene"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Izola"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/vodovodni-instalater/d-342299?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/voznik-tovornjaka/d-342298?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Prodajni svetovalec v D2D (m/ž)"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Ljubljana in terensko delo po Sloveniji"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/voznik-tovornjaka/d-342298?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/suhomontazna-gradnja/d-342296?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Strojnik težke gradbene mehanizacije"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Ljubljana in okolica"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/suhomontazna-gradnja/d-342296?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/pismonosa-za-obmocje-ljubljana-s-sirso-okolico/d-342282?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Vodovodni inštalater"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Ljubljana in okolica"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/pismonosa-za-obmocje-ljubljana-s-sirso-okolico/d-342282?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/pismonosa-za-obmocje-gorenjska/d-342281?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Voznik tovornjaka"	"Danes"	"DEKRA ZAPOSLITEV d.o.o."	"Ljubljana in okolica"	""	""	""	""	"01.09.2017 07:01:29"	"https://www.mojedelo.com/pismonosa-za-obmocje-gorenjska/d-342281?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/avtomehanik-avtoelektricar/d-336287?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Referent za oskrbo in logistiko v skladišču  (m/ž)"	"Danes"	"MAPEI d.o.o. ( Distribucijski center Grosuplje)"	"Veleprodajno skladišče MAPEI, Grosuplje"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=2"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=2"	"09.01.2017"	"09:01:36"	"01.09.2017 07:01:36"	"https://www.mojedelo.com/avtomehanik-avtoelektricar/d-336287?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/terenski-komercialist/d-342070?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Upravljalec strojev"	"Danes"	"Filc d.o.o."	"Škofja Loka"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/terenski-komercialist/d-342070?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/nadomescanja-v-proizvodnji-in-skladiscu-mz/d-342337?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Avtomehanik / Avtoelektričar"	"Danes"	"Avtotehnika d.o.o."	"Domžale"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/nadomescanja-v-proizvodnji-in-skladiscu-mz/d-342337?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/zivilski-tehnik/d-342307?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Pospeševanje prodaje"	"Danes"	"BC Marketing, trženje in svetovanje, d.o.o."	"Ljubljana"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/zivilski-tehnik/d-342307?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/skladiscnik-v-ljubljani/d-342249?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Terenski komercialist"	"Včeraj"	"KataleaConsulting d.o.o."	"osrednja Slovenija"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/skladiscnik-v-ljubljani/d-342249?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/voznik-vilicarja-mz-trebnje/d-342308?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Nadomeščanja v proizvodnji in skladišču (m/ž)"	"Včeraj"	"Korotaj d.o.o."	"Dol pri Ljubljani"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/voznik-vilicarja-mz-trebnje/d-342308?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/vodja-kadrovske-sluzbe-v-proizvodni-enoti/d-342305?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Živilski tehnik"	"Včeraj"	"Mlinotest d.d."	"Ajdovščina"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/vodja-kadrovske-sluzbe-v-proizvodni-enoti/d-342305?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/koordinator-servisa-mz/d-342310?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Skladiščnik v Ljubljani"	"Včeraj"	"Harvey Norman Trading d.o.o."	"Ljubljana"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/koordinator-servisa-mz/d-342310?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/komercialist-mz/d-342313?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Voznik viličarja m/ž, Trebnje"	"Včeraj"	"Atama agencija za zaposlovanje, d.o.o."	"Trebnje"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/komercialist-mz/d-342313?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/razvojnik-mz/d-342317?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Vodja kadrovske službe v proizvodni enoti"	"Včeraj"	"COMPETO d.o.o."	"Prekmurje"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/razvojnik-mz/d-342317?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/pomoc-v-lakirnici-mz/d-342315?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Koordinator servisa m/ž"	"Včeraj"	"Trgotur d.o.o."	"Latkova vas"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/pomoc-v-lakirnici-mz/d-342315?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/delavec-v-proizvodnji-mz/d-342140?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Komercialist m/ž"	"Včeraj"	"Trgotur d.o.o."	"Latkova vas"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/delavec-v-proizvodnji-mz/d-342140?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/pomoc-v-marketingu-mz/d-342178?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Razvojnik m/ž"	"Včeraj"	"Trgotur d.o.o."	"Latkova vas"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/pomoc-v-marketingu-mz/d-342178?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/pomocnik-komunalnih-del-mz/d-342209?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Pomoč v lakirnici m/ž"	"Včeraj"	"Trgotur d.o.o."	"Latkova vas"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/pomocnik-komunalnih-del-mz/d-342209?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/delavec-v-proizvodnji-medvode-mz/d-342210?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Delavec v proizvodnji (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Ljubljana"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/delavec-v-proizvodnji-medvode-mz/d-342210?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/disponent-v-cestnem-prometu-mz/d-342211?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Pomoč v marketingu (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Ljubljana"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/disponent-v-cestnem-prometu-mz/d-342211?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/monter-sencil-na-terenu/d-341695?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Pomočnik komunalnih del (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Ljubljana"	""	""	""	""	"01.09.2017 07:01:36"	"https://www.mojedelo.com/monter-sencil-na-terenu/d-341695?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/vodja-servisne-delavnice-mz/d-342213?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D3"	"Vodja servisne delavnice (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Postojna"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=3"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=3"	"09.01.2017"	"09:01:42"	"01.09.2017 07:01:42"	"https://www.mojedelo.com/vodja-servisne-delavnice-mz/d-342213?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D3"
"https://www.mojedelo.com/montaza-mz/d-342228?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D3"	"Montaža (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Komenda"	""	""	""	""	"01.09.2017 07:01:42"	"https://www.mojedelo.com/montaza-mz/d-342228?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D3"
"https://www.mojedelo.com/elektro-vzdrzevalec-mz/d-342242?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D3"	"Elektro vzdrževalec (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"okolica Kozine"	""	""	""	""	"01.09.2017 07:01:42"	"https://www.mojedelo.com/elektro-vzdrzevalec-mz/d-342242?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D3"
