Delovno_mesto_link	Delovno_mesto	Datum_objave	Podjetje	Kraj_dela	REQUEST_URL	RESPONSE_URL	RESPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojedelo.com/mizar/d-353126?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Mizar"	"Danes"	"KOGRAD IGEM d.o.o"	"Šentjanž pri Dravogradu"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=1"	"11.28.2017"	"04:02:32"	"28.11.2017 03:02:32"	"https://www.mojedelo.com/mizar/d-353126?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/monter-na-terenu-po-sloveniji/d-353045?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Monter na terenu - po Sloveniji"	"Danes"	"Doorson d.o.o."	"Podravska regija"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/monter-na-terenu-po-sloveniji/d-353045?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/delavec-v-proizvodnji/d-353044?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Delavec v proizvodnji"	"Danes"	"Doorson d.o.o."	"Maribor"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/delavec-v-proizvodnji/d-353044?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/svetovalec-v-kontaktnem-centru/d-352394?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Svetovalec v kontaktnem centru"	"Danes"	"Adinvest d.o.o."	"Ljubljana"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/svetovalec-v-kontaktnem-centru/d-352394?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/svetovalec-za-nepremicninske-transakcije/d-345184?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Svetovalec za nepremičninske transakcije"	"Danes"	"RE/MAX, Nepremičninska družba d.o.o."	"Osrednjeslovenska regija"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/svetovalec-za-nepremicninske-transakcije/d-345184?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/kv-zidar-celovec/d-354449?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"KV Zidar - Celovec"	"Danes"	"RENTIUM d.o.o."	"Avstrija - Celovec"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/kv-zidar-celovec/d-354449?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/tesar-avstrija/d-350317?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Tesar - Avstrija"	"Danes"	"RENTIUM d.o.o."	"Avstrija"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/tesar-avstrija/d-350317?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/zerjavist/d-349324?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Žerjavist"	"Danes"	"RENTIUM d.o.o."	"Avstrija"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/zerjavist/d-349324?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/pospesevanje-prodaje-trgovski-potnik-studentsko-delo/d-356629?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Pospeševanje prodaje, trgovski potnik - študentsko delo"	"Danes"	"Agencija M Servis, kadrovske storitve, d.o.o."	"Celotni Maribor z okolico"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/pospesevanje-prodaje-trgovski-potnik-studentsko-delo/d-356629?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/prodaja-studentsko-delo/d-356634?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Prodaja - študentsko delo"	"Danes"	"Agencija M Servis, kadrovske storitve, d.o.o."	"Celotni Maribor z okolico"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/prodaja-studentsko-delo/d-356634?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/anketiranje-studentsko-delo/d-356635?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Anketiranje - študentsko delo"	"Danes"	"Agencija M Servis, kadrovske storitve, d.o.o."	"celotna Gorenjska"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/anketiranje-studentsko-delo/d-356635?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/delphi-programer/d-355600?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Delphi programer"	"Danes"	"Independent d.o.o."	"Kamnica"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/delphi-programer/d-355600?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/mizar-mz/d-356639?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Mizar m/ž"	"Včeraj"	"Agencija M Servis, kadrovske storitve, d.o.o."	"okolica Komna in teren"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/mizar-mz/d-356639?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/parketar-monter-lesenih-izdelkov-mz/d-356647?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Parketar - Monter lesenih izdelkov m/ž"	"Včeraj"	"Agencija M Servis, kadrovske storitve, d.o.o."	"okolica Komna in teren"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/parketar-monter-lesenih-izdelkov-mz/d-356647?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/samostojni-kuhar-mz/d-356662?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Samostojni kuhar m/ž"	"Včeraj"	"Agencija M Servis, kadrovske storitve, d.o.o."	"Portorož"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/samostojni-kuhar-mz/d-356662?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/varilec-mz/d-356669?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Varilec m/ž"	"Včeraj"	"Agencija M Servis, kadrovske storitve, d.o.o."	"Trst"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/varilec-mz/d-356669?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/skladiscnik-mz/d-356748?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Skladiščnik (m/ž)"	"Včeraj"	"Naton d.o.o."	"Ljubljana"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/skladiscnik-mz/d-356748?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/komercialist-za-tuje-trge/d-356785?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Komercialist za tuje trge"	"Včeraj"	"COMPETO d.o.o."	"Slovenija in tujina"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/komercialist-za-tuje-trge/d-356785?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/kadrovik-mz/d-356762?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Kadrovik m/ž"	"Včeraj"	"FMG kadrovska agencija d.o.o."	"Kranj / Ljubljana"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/kadrovik-mz/d-356762?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/skladiscnik-mz/d-356646?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"	"Skladiščnik m/ž"	"Včeraj"	"HSG KARIERA"	"Logatec"	""	""	""	""	"28.11.2017 03:02:32"	"https://www.mojedelo.com/skladiscnik-mz/d-356646?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D1"
"https://www.mojedelo.com/operater-iii-mz/d-356651?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Operater III m/ž"	"Včeraj"	"HSG KARIERA"	"Brestanica"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=2"	"https://www.mojedelo.com/prosta-delovna-mesta/vsa-delovna-mesta?p=2"	"11.28.2017"	"04:02:44"	"28.11.2017 03:02:44"	"https://www.mojedelo.com/operater-iii-mz/d-356651?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/operater-iii-mz/d-356652?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Operater III m/ž"	"Včeraj"	"HSG KARIERA"	"Logatec"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/operater-iii-mz/d-356652?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/delavec-na-lepilni-liniji-mz/d-356655?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Delavec na lepilni liniji m/ž"	"Včeraj"	"HSG KARIERA"	"Slovenj Gradec"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/delavec-na-lepilni-liniji-mz/d-356655?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/cestninski-blagajnik-mz/d-356659?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Cestninski blagajnik (m/ž)"	"Včeraj"	"HSG KARIERA"	"cela Slovenija"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/cestninski-blagajnik-mz/d-356659?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/skladiscnik-mz/d-356680?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Skladiščnik m/ž"	"Včeraj"	"HSG KARIERA"	"Naklo"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/skladiscnik-mz/d-356680?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/skladiscnik-vilicarist-mz/d-356738?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Skladiščnik / viličarist m/ž"	"Včeraj"	"Atama agencija za zaposlovanje, d.o.o."	"Ljubljana"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/skladiscnik-vilicarist-mz/d-356738?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/pospravljanje-vozickov-student-mz/d-356633?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Pospravljanje vozičkov - študent  (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Ljubljana"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/pospravljanje-vozickov-student-mz/d-356633?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/pakiranje-lazje-delo-student-mz/d-356687?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Pakiranje (lažje delo) - študent (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Radomlje"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/pakiranje-lazje-delo-student-mz/d-356687?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/pomoc-v-racunovodstvu-student-mz/d-356793?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Pomoč v računovodstvu - študent (m/ž)"	"Včeraj"	"ADECCO H.R. d.o.o."	"Ljubljana"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/pomoc-v-racunovodstvu-student-mz/d-356793?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
"https://www.mojedelo.com/java-razvijalec-mz/d-356700?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"	"Java razvijalec (m/ž)"	"Včeraj"	"Trenkwalder d.o.o."	"Ljubljana"	""	""	""	""	"28.11.2017 03:02:44"	"https://www.mojedelo.com/java-razvijalec-mz/d-356700?returnUrl=%2Fprosta-delovna-mesta%2Fvsa-delovna-mesta%3Fp%3D2"
