Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec---elektricar-76513.php"	"Vzdrževalec - električar m/ž"	"Aplast d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Petrovče (cca. 5 km iz Celja)"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec---elektricar-76513.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-CO2-76511.php"	"Varilec CO2 m/ž"	"MTD BIO d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Tujina"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-CO2-76511.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehanik-76508.php"	"Mehanik m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehanik-76508.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-76507.php"	"Varilec m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-76507.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-prezracevanja-in-klimatizacije-76506.php"	"Monter prezračevanja in klimatizacije m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-prezracevanja-in-klimatizacije-76506.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektromonter-76505.php"	"Elektromonter m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Litva"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektromonter-76505.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-kavarne-76501.php"	"Vodja kavarne m/ž"	"Čokoladni atelje Dobnik d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-kavarne-76501.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomivalec-posode-mz-76499.php"	"Pomivalec posode (m/ž)"	"Vizija gostinstvo d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomivalec-posode-mz-76499.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-76496.php"	"Prodajalec (m/ž)"	"Lidl Slovenija d.o.o. k.d."	"Objavljeno: 31.07.2017"	"Kraj dela: gorenjska, pomurska, savinjska in podravska regija"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-76496.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CAD-tehnik-mz-76504.php"	"CAD tehnik (m/ž)"	"HTS Skupina d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Avstrija"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CAD-tehnik-mz-76504.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-C-kategorije---2-delovni-mesti-76503.php"	"Voznik C kategorije - 2 delovni mesti m/ž"	"CCLAN, d.o.o., Kranj"	"Objavljeno: 31.07.2017"	"Kraj dela: Teren po Sloveniji"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-C-kategorije---2-delovni-mesti-76503.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Trznik-spletnih-storitev-in-produktov-76500.php"	"Tržnik spletnih storitev in produktov m/ž"	"VSISI d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: po podjetjih Slovenije"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Trznik-spletnih-storitev-in-produktov-76500.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Sobarica-mz-76498.php"	"Sobarica (m/ž)"	"Hoteli Metropol d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Portorož"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Sobarica-mz-76498.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajni-svetovalec-v-D2D-mz-76490.php"	"Prodajni svetovalec v D2D (m/ž)"	"DEKRA zaposlitev d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana in terensko delo po Sloveniji"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajni-svetovalec-v-D2D-mz-76490.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Traktorist-mz-76497.php"	"Traktorist (m/ž)"	"HTS Skupina d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Avstrija"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Traktorist-mz-76497.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Referent-prodaje-za-tujino-na-podrocju-proizvodov-lesne-biomase-mz-76484.php"	"Referent prodaje za tujino na področju proizvodov lesne biomase (m/ž)"	"Bioles Horizont d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Maribor"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Referent-prodaje-za-tujino-na-podrocju-proizvodov-lesne-biomase-mz-76484.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Natakar-v-hotelu-mz-76495.php"	"Natakar v hotelu (m/ž)"	"Agencija M servis, kadrovske storitve, d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Portorož, Piran"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Natakar-v-hotelu-mz-76495.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Priuceni-livar-76492.php"	"Priučeni livar m/ž"	"Naton d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Cerknica"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Priuceni-livar-76492.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar-mz-76494.php"	"Kuhar (m/ž)"	"Agencija M servis, kadrovske storitve, d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Okolica Kopra"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar-mz-76494.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji---vrtalnica-76491.php"	"Delavec v proizvodnji - vrtalnica m/ž"	"INTEC TIV d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Kranj"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji---vrtalnica-76491.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vrhunski-kuhar-na-slovenski-domaciji-mz-76493.php"	"Vrhunski kuhar na slovenski domačiji (m/ž)"	"Agencija M servis, kadrovske storitve, d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Postojna"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vrhunski-kuhar-na-slovenski-domaciji-mz-76493.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kemijski-tehnolog-76449.php"	"Kemijski tehnolog m/ž"	"TECHNOBELL d.o.o. Koper"	"Objavljeno: 31.07.2017"	"Kraj dela: Koper"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kemijski-tehnolog-76449.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tehnolog-elektrotehnike-76445.php"	"Tehnolog elektrotehnike m/ž"	"TECHNOBELL d.o.o. Koper"	"Objavljeno: 31.07.2017"	"Kraj dela: Koper"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tehnolog-elektrotehnike-76445.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-mz---JUB-doo-76488.php"	"Skladiščnik (m/ž) - JUB d.o.o."	"KOROTAJ d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-mz---JUB-doo-76488.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajni-svetovalec-za-kozmeticne-izdelke-76489.php"	"Prodajni svetovalec za kozmetične izdelke m/ž"	"Adriatikus d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Slovenija"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajni-svetovalec-za-kozmeticne-izdelke-76489.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Direktor-76487.php"	"Direktor m/ž"	"Adriatikus d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Slovenija"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Direktor-76487.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Disponent-mz-76456.php"	"Disponent (m/ž)"	"PROint d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Disponent-mz-76456.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-76483.php"	"Prodajalec (m/ž)"	"Agencija M servis, kadrovske storitve, d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-76483.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-CC-Novo-mesto-76406.php"	"Prodajalec (m/ž) v C&C Novo mesto"	"Mercator, d.d."	"Objavljeno: 31.07.2017"	"Kraj dela: Novo mesto"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-CC-Novo-mesto-76406.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Zalcu-76405.php"	"Prodajalec (m/ž) v Žalcu"	"Mercator, d.d."	"Objavljeno: 31.07.2017"	"Kraj dela: Žalec"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Zalcu-76405.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-avtobusa-76482.php"	"Voznik avtobusa m/ž"	"Tajhman turizem d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Slovenija in tujina (pretežno Hrvaška, Avstrija, Nemčija, BiH)"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-avtobusa-76482.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvojnik-informatike-in-programer-mz-76481.php"	"Razvojnik informatike in programer (m/ž)"	"KataleaConsulting d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Okolica Ljubljane"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvojnik-informatike-in-programer-mz-76481.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec-na-podrocju-elektronike-mz-76480.php"	"Vzdrževalec na področju elektronike (m/ž)"	"KataleaConsulting d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Koper"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec-na-podrocju-elektronike-mz-76480.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-strojnih-instalacij-mz-76479.php"	"Monter strojnih inštalacij (m/ž)"	"KataleaConsulting d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Okolica Ljubljane"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-strojnih-instalacij-mz-76479.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Java-Razvijalec-mz-76363.php"	"Java Razvijalec (m/ž)"	"DEKRA zaposlitev d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Java-Razvijalec-mz-76363.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/SQL-Razvijalec-mz-76362.php"	"SQL Razvijalec (m/ž)"	"DEKRA zaposlitev d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:53"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/SQL-Razvijalec-mz-76362.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telemarketing---prodajni-agent-mz---Ljubljana-76230.php"	"Telemarketing - prodajni agent (m/ž) - Ljubljana"	"Goldtrade d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&o=50_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&o=50_action=submit&adsPerPage=50&_action=submit"	"08.01.2017"	"04:00:59"	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telemarketing---prodajni-agent-mz---Ljubljana-76230.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/PHP-programer-in-razvijalec-spletnih-strani-mz-76195.php"	"PHP programer in razvijalec spletnih strani (m/ž)"	"VSISI d.o.o."	"Objavljeno: 31.07.2017"	"Kraj dela: Ljubljana iz pisarne ali od doma"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/PHP-programer-in-razvijalec-spletnih-strani-mz-76195.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvojnik---konstrukter-76454.php"	"Razvojnik - konstrukter m/ž"	"Podkrižnik, d.o.o."	"Objavljeno: 30.07.2017"	"Kraj dela: Nazarje"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razvojnik---konstrukter-76454.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skrbnik-kljucnih-strank-76378.php"	"Skrbnik ključnih strank m/ž"	"Softnet d.o.o."	"Objavljeno: 28.07.2017"	"Kraj dela: Trzin"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skrbnik-kljucnih-strank-76378.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Direktor-informatike-mz-76457.php"	"Direktor informatike (m/ž)﻿﻿﻿﻿"	"DELO d.o.o."	"Objavljeno: 28.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Direktor-informatike-mz-76457.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-mz-za-montazo-mobilnih-his-in-sotorov---vec-prostih-delovnih-mest-76451.php"	"Monter (m/ž) za montažo mobilnih hiš in šotorov - več prostih delovnih mest"	"Adria Dom d.o.o."	"Objavljeno: 28.07.2017"	"Kraj dela: Črnomelj"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Monter-mz-za-montazo-mobilnih-his-in-sotorov---vec-prostih-delovnih-mest-76451.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Trainee-program-za-karierne-zacetnike-mz-76450.php"	"Trainee program za karierne začetnike (m/ž)"	"Lidl Slovenija d.o.o. k.d."	"Objavljeno: 28.07.2017"	"Kraj dela: Področje celotne Slovenije"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Trainee-program-za-karierne-zacetnike-mz-76450.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec-strojev-in-naprav-mz-76475.php"	"Vzdrževalec strojev in naprav m/ž"	"Naton d.o.o."	"Objavljeno: 28.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec-strojev-in-naprav-mz-76475.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec---elektricar-mz-76474.php"	"Vzdrževalec - električar m/ž"	"Naton d.o.o."	"Objavljeno: 28.07.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vzdrzevalec---elektricar-mz-76474.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kljucavnicar-76470.php"	"Ključavničar m/ž"	"Paros mont d.o.o."	"Objavljeno: 28.07.2017"	"Kraj dela: Tujina"	""	""	""	""	"01.08.2017 02:00:59"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kljucavnicar-76470.php"
