Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz---Intersport-Slovenska-Bistrica---vec-prostih-delovnih-mest-84514.php"	"Prodajalec (m/ž) - Intersport Slovenska Bistrica - več prostih delovnih mest"	"Intersport ISI, d.o.o."	"Objavljeno: 04.01.2018"	"Kraj dela: Slovenska Bistrica"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit"	"01.04.2018"	"02:27:46"	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz---Intersport-Slovenska-Bistrica---vec-prostih-delovnih-mest-84514.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz---Spar-Crnomelj-84515.php"	"Prodajalec (m/ž) - Spar Črnomelj"	"Spar Slovenija d.o.o."	"Objavljeno: 04.01.2018"	"Kraj dela: Črnomelj"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz---Spar-Crnomelj-84515.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Programer-operater-tehnoloskih-naprav-84512.php"	"Programer-operater tehnoloških naprav m/ž"	"Strip's d.o.o."	"Objavljeno: 04.01.2018"	"Kraj dela: Kandrše in Litija"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Programer-operater-tehnoloskih-naprav-84512.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tehnik-na-terenu-mz-84510.php"	"Tehnik na terenu (m/ž)"	"DEKRA zaposlitev d.o.o."	"Objavljeno: 04.01.2018"	"Kraj dela: Savinjska regija, Osrednja Slovenija, Slovenska Bistrica in Ptuj, Pomurje"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tehnik-na-terenu-mz-84510.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec--blagajnik-mz-na-oddelku-pohistva-v-Mariboru-84501.php"	"Prodajalec / blagajnik (m/ž) na oddelku pohištva v Mariboru"	"Harvey Norman Trading d.o.o."	"Objavljeno: 04.01.2018"	"Kraj dela: Maribor"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec--blagajnik-mz-na-oddelku-pohistva-v-Mariboru-84501.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Posavju---vec-prostih-delovnih-mest-84494.php"	"Prodajalec (m/ž) v Posavju - več prostih delovnih mest"	"Mercator, d.d."	"Objavljeno: 04.01.2018"	"Kraj dela: Posavska regija"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Posavju---vec-prostih-delovnih-mest-84494.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Cash--Carry-Lucija-84493.php"	"Prodajalec (m/ž) v Cash & Carry Lucija"	"Mercator, d.d."	"Objavljeno: 04.01.2018"	"Kraj dela: Lucija"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Cash--Carry-Lucija-84493.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-na-Dolenjskem---vec-prostih-delovnih-mest-84492.php"	"Prodajalec (m/ž) na Dolenjskem - več prostih delovnih mest"	"Mercator, d.d."	"Objavljeno: 04.01.2018"	"Kraj dela: Dolenjska regija"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-na-Dolenjskem---vec-prostih-delovnih-mest-84492.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Izvajalec-in-vodenje-optimizacije-spletnih-strani-84500.php"	"Izvajalec in vodenje optimizacije spletnih strani m/ž"	"VSISI d.o.o."	"Objavljeno: 04.01.2018"	"Kraj dela: Ljubljana"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Izvajalec-in-vodenje-optimizacije-spletnih-strani-84500.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektromonter--elektricar-84497.php"	"Elektromonter / električar m/ž"	"AVK Avtomatizacija d.o.o."	"Objavljeno: 04.01.2018"	"Kraj dela: Slovenija, Avstrija, Nemčija"	""	""	""	""	"04.01.2018 13:27:46"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektromonter--elektricar-84497.php"
