Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Proizvodni-delavec-za-enostavno-montazo-75680.php"	"Proizvodni delavec za enostavno montažo m/ž"	"Powerserv d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Slovenj Gradec"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit"	"07.12.2017"	"07:29:19"	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Proizvodni-delavec-za-enostavno-montazo-75680.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Servisni-svetovalec-v-Avtotehna-Vis-in-Kosec-doo-mz-75665.php"	"Servisni svetovalec v Avtotehna Vis in Kosec d.o.o. (m/ž)"	"Avtotehna Vis In Kosec d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Rodica (Domžale)"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Servisni-svetovalec-v-Avtotehna-Vis-in-Kosec-doo-mz-75665.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-75675.php"	"Prodajalec m/ž"	"Lidl Slovenija d.o.o. k.d."	"Objavljeno: 11.07.2017"	"Kraj dela: Osrednja Slovenija"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-75675.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tesar-75670.php"	"Tesar m/ž"	"Vargrad d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Maribor z okolico, tujina"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Tesar-75670.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomozni-delavec-v-proizvodnji-in-logistiki-mz-75663.php"	"Pomožni delavec v proizvodnji in logistiki (m/ž)"	"KOVINAR, d.o.o., Jesenice"	"Objavljeno: 11.07.2017"	"Kraj dela: Jesenice"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomozni-delavec-v-proizvodnji-in-logistiki-mz-75663.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zidar-75669.php"	"Zidar m/ž"	"Vargrad d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Maribor z okolico, tujina"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zidar-75669.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zidar-mz---Svica-75667.php"	"Zidar (m/ž) - Švica"	"Direkt marketing Andrej Ljubec s.p."	"Objavljeno: 11.07.2017"	"Kraj dela: Švica"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zidar-mz---Svica-75667.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Terenski-komercialist-mz-za-podrocje-osrednje-Slovenije-75664.php"	"Terenski komercialist (m/ž) za področje osrednje Slovenije"	"Slovenijales trgovina d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Osrednja Slovenija"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Terenski-komercialist-mz-za-podrocje-osrednje-Slovenije-75664.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-izhodnega-skladisca-75662.php"	"Vodja izhodnega skladišča m/ž"	"Šumer d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Ljubečna"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-izhodnega-skladisca-75662.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehatronik-75661.php"	"Mehatronik m/ž"	"Šumer d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Ljubečna"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mehatronik-75661.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-Operater--zacetnik-75660.php"	"CNC Operater- začetnik m/ž"	"Šumer d.o.o."	"Objavljeno: 11.07.2017"	"Kraj dela: Ljubečna"	""	""	""	""	"12.07.2017 05:29:19"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/CNC-Operater--zacetnik-75660.php"
