Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Nabavni-referent-69890.php"	"Nabavni referent m/ž"	"Europapier Alpe d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Ljubljana"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit"	"03.27.2017"	"08:22:02"	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Nabavni-referent-69890.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Asistent-v-nabavi-z-znanjem-angleskega-in-nemskega-jezika-69925.php"	"Asistent v nabavi z znanjem angleškega in nemškega jezika m/ž"	"Agencija M servis, kadrovske storitve, d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Asistent-v-nabavi-z-znanjem-angleskega-in-nemskega-jezika-69925.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Samostojni-razvijalec-programskih-resitev-mzZ-69898.php"	"Samostojni razvijalec programskih rešitev (m/ž)Z"	"EMA d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Celje"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Samostojni-razvijalec-programskih-resitev-mzZ-69898.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Maribor-z-okolico-69853.php"	"Pismonoša (m/ž) - Maribor z okolico"	"POŠTA SLOVENIJE d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Maribor"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Maribor-z-okolico-69853.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Ptuj-z-okolico-69851.php"	"Pismonoša (m/ž) - Ptuj z okolico"	"POŠTA SLOVENIJE d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Ptuj"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Ptuj-z-okolico-69851.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Gradbeni-elektrikar-69910.php"	"Gradbeni elektrikar m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Avstrija"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Gradbeni-elektrikar-69910.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Osebni-financni-svetovalec-69907.php"	"Osebni finančni svetovalec m/ž"	"Sierra d.o.o., Ljubljana"	"Objavljeno: 27.03.2017"	"Kraj dela: Ljubljana (delo pretežno v pisarni, deloma na terenu)"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Osebni-financni-svetovalec-69907.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Murska-Sobota-z-okolico-69850.php"	"Pismonoša (m/ž) - Murska Sobota z okolico"	"POŠTA SLOVENIJE d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Murska Sobota"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Murska-Sobota-z-okolico-69850.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Ravne-na-Koroskem-in-okolica-69849.php"	"Pismonoša (m/ž) - Ravne na Koroškem in okolica"	"POŠTA SLOVENIJE d.o.o."	"Objavljeno: 27.03.2017"	"Kraj dela: Ravne na Koroškem"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pismonosa-mz---Ravne-na-Koroskem-in-okolica-69849.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomivalec-posode-mz-v-Medvodah-69834.php"	"Pomivalec posode (m/ž) v Medvodah"	"Slorest d.o.o."	"Objavljeno: 26.03.2017"	"Kraj dela: Medvode"	""	""	""	""	"27.3.2017 6:22:03"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pomivalec-posode-mz-v-Medvodah-69834.php"
