Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operater-na-vecosnem-CNC-rezkalnem-in-struznem-centru-68588.php"	"Operater na večosnem CNC rezkalnem in stružnem centru m/ž"	"Horjak - Precise d.o.o. Domžale"	"Objavljeno: 01.03.2017"	"Kraj dela: Domžale - Zgornje Jarše"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit"	"03.01.2017"	"08:19:48"	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operater-na-vecosnem-CNC-rezkalnem-in-struznem-centru-68588.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Informatik-analitik--sistemski-administrator-68587.php"	"Informatik analitik / sistemski administrator m/ž"	"Horjak - Precise d.o.o. Domžale"	"Objavljeno: 01.03.2017"	"Kraj dela: Domžale - Zgornje Jarše"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Informatik-analitik--sistemski-administrator-68587.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar-68586.php"	"Kuhar m/ž"	"Hit Alpinea d.d."	"Objavljeno: 01.03.2017"	"Kraj dela: Kranjska Gora"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar-68586.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-kuhinje-68585.php"	"Vodja kuhinje m/ž"	"Hit Alpinea d.d."	"Objavljeno: 01.03.2017"	"Kraj dela: Kranjska Gora"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-kuhinje-68585.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar--pizzopek-68584.php"	"Kuhar- pizzopek m/ž"	"Hit Alpinea d.d."	"Objavljeno: 01.03.2017"	"Kraj dela: Kranjska Gora"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar--pizzopek-68584.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Sobarica--cistilka--perica--likarica-mz---vec-mest-68583.php"	"Sobarica / čistilka / perica / likarica (m/ž) - več mest"	"Hit Alpinea d.d."	"Objavljeno: 01.03.2017"	"Kraj dela: Kranjska Gora"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Sobarica--cistilka--perica--likarica-mz---vec-mest-68583.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajno-osebje-mz-68570.php"	"Prodajno osebje (m/ž)"	"Big Bang, d.o.o."	"Objavljeno: 01.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajno-osebje-mz-68570.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-oddelka-v-proizvodnji-68493.php"	"Vodja oddelka v proizvodnji m/ž"	"INTEC TIV d.o.o."	"Objavljeno: 01.03.2017"	"Kraj dela: Kranj"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-oddelka-v-proizvodnji-68493.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-hipermarketu-na-Jesenicah---vec-mest-68565.php"	"Prodajalec (m/ž) v hipermarketu na Jesenicah - več mest"	"Mercator, d.d."	"Objavljeno: 28.02.2017"	"Kraj dela: Jesenice"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-hipermarketu-na-Jesenicah---vec-mest-68565.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Kranju-in-Trzicu---vec-mest-68562.php"	"Prodajalec (m/ž) v Kranju in Tržiču - več mest"	"Mercator, d.d."	"Objavljeno: 28.02.2017"	"Kraj dela: Kranj in Tržič"	""	""	""	""	"1.3.2017 7:19:48"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Kranju-in-Trzicu---vec-mest-68562.php"
