Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-varilcev-mz-68774.php"	"Vodja varilcev (m/ž)"	"Metrel Mehanika d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Horjul (8 km z Vrhnike)"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit"	"03.06.2017"	"11:21:27"	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-varilcev-mz-68774.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar-68789.php"	"Kuhar m/ž"	"JULIJ d.o.o. Ljubljana"	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhar-68789.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Cistilec---mesnopredelovalna-industrija-mz-68769.php"	"Čistilec - mesnopredelovalna industrija (m/ž)"	"ISS Facility Services d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Celje"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Cistilec---mesnopredelovalna-industrija-mz-68769.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-kombija-mz-68750.php"	"Voznik kombija (m/ž)"	"AS system d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Šmarje pri Jelšah - prevozi po Sloveniji"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-kombija-mz-68750.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Komercialist--Pospesevalec-prodaje-mz-68749.php"	"Komercialist – Pospeševalec prodaje (m/ž)"	"AS system d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Maribor, terensko delo, vzhodna Slovenija"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Komercialist--Pospesevalec-prodaje-mz-68749.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Ljubljani---vec-mest-68781.php"	"Prodajalec (m/ž) v Ljubljani - več mest"	"Mercator, d.d."	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-mz-v-Ljubljani---vec-mest-68781.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Lastnik-frasize---poslovni-partner-68784.php"	"Lastnik frašize - poslovni partner m/ž"	"MP Alpe d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Lastnik-frasize---poslovni-partner-68784.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-C-kategorije-v-mednarodnem-transportu-68772.php"	"Voznik C kategorije v mednarodnem transportu m/ž"	"Vrba d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Tujina - EU"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-C-kategorije-v-mednarodnem-transportu-68772.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-vlacilca-v-mednarodnem-transportu-68771.php"	"Voznik vlačilca v mednarodnem transportu m/ž"	"Vrba d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Slovenija - Evropa"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Voznik-vlacilca-v-mednarodnem-transportu-68771.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-nerjavecega-zeleza---inox-68779.php"	"Varilec nerjavečega železa - inox m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Avstrija"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilec-nerjavecega-zeleza---inox-68779.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vilicarist-16-ton--68778.php"	"Viličarist 16 ton + m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Avstrija"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vilicarist-16-ton--68778.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razlicni-poklici-iz-kovinarske-stroke-68777.php"	"Različni poklici iz kovinarske stroke m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Tujina (Avstrija, Nemčija)"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Razlicni-poklici-iz-kovinarske-stroke-68777.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-68775.php"	"Skladiščnik m/ž"	"Kariera d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-68775.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Asistent-v-kadrovski-sluzbi---studentsko-delo-68773.php"	"Asistent v kadrovski službi - študentsko delo m/ž"	"Šumer d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubečna"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Asistent-v-kadrovski-sluzbi---studentsko-delo-68773.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-68770.php"	"Delavec v proizvodnji m/ž"	"Šumer d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Celje"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji-68770.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-68766.php"	"Skladiščnik m/ž"	"Šumer d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubečna"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-68766.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operater-v-farmacevtski-industriji-68768.php"	"Operater v farmacevtski industriji m/ž"	"Kariera d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Operater-v-farmacevtski-industriji-68768.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telemarketing---prodajni-agent-KOCEVJE-68764.php"	"Telemarketing - prodajni agent KOČEVJE m/ž"	"Goldtrade d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Kočevje"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telemarketing---prodajni-agent-KOCEVJE-68764.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telemarketing---prodajni-agent---LJUBLJANA-68763.php"	"Telemarketing - prodajni agent - LJUBLJANA"	"Goldtrade d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telemarketing---prodajni-agent---LJUBLJANA-68763.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Diplomirana-medicinska-sestra-68664.php"	"Diplomirana medicinska sestra m/ž"	"Direkt marketing Andrej Ljubec s.p."	"Objavljeno: 06.03.2017"	"Kraj dela: Avstrija"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Diplomirana-medicinska-sestra-68664.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Negovalka-negovalec-68662.php"	"Negovalka, negovalec m/ž"	"Direkt marketing Andrej Ljubec s.p."	"Objavljeno: 06.03.2017"	"Kraj dela: Avstrija"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Negovalka-negovalec-68662.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zidar-68661.php"	"Zidar m/ž"	"Direkt marketing Andrej Ljubec s.p."	"Objavljeno: 06.03.2017"	"Kraj dela: Nemčija, Avstrija"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zidar-68661.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kljucavnicar-68660.php"	"Ključavničar m/ž"	"Direkt marketing Andrej Ljubec s.p."	"Objavljeno: 06.03.2017"	"Kraj dela: Avstrija"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kljucavnicar-68660.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Lahka-proizvodna-dela-68767.php"	"Lahka proizvodna dela m/ž"	"MANPOWER d.o.o."	"Objavljeno: 06.03.2017"	"Kraj dela: Kamnik"	""	""	""	""	"6.3.2017 10:21:30"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Lahka-proizvodna-dela-68767.php"
