Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-zastopnik-mz---Trebnje-68131.php	Zavarovalni zastopnik (m/┼ż) - Trebnje	Zavarovalnica Sava d.d.	Objavljeno: 18.02.2017	Kraj dela: Trebnje	http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds	https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit	02.20.2017	8:00:46	20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Zavarovalni-zastopnik-mz---Trebnje-68131.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec--Mentor-za-osebna-zavarovanja-68140.php	Svetovalec ÔÇô Mentor za osebna zavarovanja m/┼ż	Zavarovalno zastopanje I.Q. d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Regija bivanja					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec--Mentor-za-osebna-zavarovanja-68140.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Junior-tehnicni-prodajni-svetovalec-z-dvoletnim-uvajanjem-v-Nemciji-mz-68137.php	Junior tehni─Źni prodajni svetovalec z dvoletnim uvajanjem v Nem─Źiji (m/┼ż)	Trescon d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Ko─Źevje in Nem─Źija					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Junior-tehnicni-prodajni-svetovalec-z-dvoletnim-uvajanjem-v-Nemciji-mz-68137.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-manjsega-prodajnega-teama--business-developer-v-Nemciji-mz-68135.php	Vodja manj┼íega prodajnega teama ÔÇô business developer v Nem─Źiji (m/┼ż)	Trescon d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Tujina - Nem─Źija					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-manjsega-prodajnega-teama--business-developer-v-Nemciji-mz-68135.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Natakar-68138.php	Natakar m/┼ż	Agencija M servis, kadrovske storitve, d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Okolica Maribora					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Natakar-68138.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec---blagajnicar-mz---Krsko-68136.php	Prodajalec - blagajni─Źar (m/┼ż) - Kr┼íko	Eurospin Eko d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Kr┼íko					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec---blagajnicar-mz---Krsko-68136.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Komisionar-68134.php	Komisionar m/┼ż	Kariera d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Ljubljana					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Komisionar-68134.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-spletnega-marketinga-68139.php	Vodja spletnega marketinga m/┼ż	Mediacall d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Dom┼żale, Vir					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-spletnega-marketinga-68139.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec---skrbnik-kljucnih-strank-68118.php	Svetovalec - skrbnik klju─Źnih strank m/┼ż	Mediacall d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Dom┼żale, Vir					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec---skrbnik-kljucnih-strank-68118.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-v-nabavi-68133.php	Administrator v nabavi m/┼ż	Agencija M servis, kadrovske storitve, d.o.o.	Objavljeno: 17.02.2017	Kraj dela: okolica Celja					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Administrator-v-nabavi-68133.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec-68116.php	Svetovalec m/┼ż	Gospodarska zbornica Slovenije	Objavljeno: 17.02.2017	Kraj dela: Ljubljana					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Svetovalec-68116.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Slascicar-68122.php	Sla┼í─Źi─Źar m/┼ż	Romeo plus d.o.o., PE Feti┼í	Objavljeno: 17.02.2017	Kraj dela: Ljubljana					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Slascicar-68122.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/iOS-razvijalec-mz-68128.php	iOS razvijalec (m/┼ż)	umwerk d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Ljubljana					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/iOS-razvijalec-mz-68128.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Android-razvijalec-mz-68127.php	Android razvijalec (m/┼ż)	umwerk d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Ljubljana					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Android-razvijalec-mz-68127.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Spletni-frontend-razvijalec-68126.php	Spletni (frontend) razvijalec m/┼ż	umwerk d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Ljubljana					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Spletni-frontend-razvijalec-68126.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Java-razvojni-inzenir-68125.php	Java razvojni in┼żenir m/┼ż	umwerk d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Ljubljana					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Java-razvojni-inzenir-68125.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-laboratoriju-mz---studentsko-delo-68121.php	Delo v laboratoriju (m/┼ż) - ┼ítudentsko delo	Agencija M servis, kadrovske storitve, d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Idrija					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delo-v-laboratoriju-mz---studentsko-delo-68121.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-prodaje-tehnicnih-delov-za-proizvodnjo-mz-68123.php	Vodja prodaje tehni─Źnih delov za proizvodnjo (m/┼ż)	Trescon d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Osrednja Slovenija					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Vodja-prodaje-tehnicnih-delov-za-proizvodnjo-mz-68123.php
https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Barist--Sankist-68112.php	Barist / ┼áankist m/┼ż	Argentino d.o.o.	Objavljeno: 17.02.2017	Kraj dela: Ljubljana - BTC					20.2.2017 7:00	https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Barist--Sankist-68112.php
