Delovno_mesto_link	Delovno_mesto	Podjetje	Datum_objave	Kraj_dela	REQUEST_URL	RESPONSE_URL	REPONSE_DATE	RESPONSE_TIME	datum_strganja	res
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Avtomehanik-mz-v-storitvenem-servisu-vulkanizerska-delavnica-74001.php"	"Avtomehanik (m/ž) v storitvenem servisu, vulkanizerska delavnica"	"Autocommerce d.o.o."	"Objavljeno: 08.06.2017"	"Kraj dela: Ljubljana"	"http://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit#jobsAds"	"https://www.mojazaposlitev.si/prosta-delovna-mesta/?1=1&_action=submit&adsPerPage=50&_action=submit"	"06.08.2017"	"09:39:46"	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Avtomehanik-mz-v-storitvenem-servisu-vulkanizerska-delavnica-74001.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Projektant-oken-in-vrat-74000.php"	"Projektant oken in vrat m/ž"	"KataleaConsulting d.o.o."	"Objavljeno: 08.06.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Projektant-oken-in-vrat-74000.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pek-mz---v-megamarketu-Interspar-Citypark-73991.php"	"Pek (m/ž) - v megamarketu Interspar Citypark"	"Spar Slovenija d.o.o."	"Objavljeno: 08.06.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Pek-mz---v-megamarketu-Interspar-Citypark-73991.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhinjski-pomocnik-mz---v-megamarketu-Interspar-Citypark-73987.php"	"Kuhinjski pomočnik (m/ž) - v megamarketu Interspar Citypark"	"Spar Slovenija d.o.o."	"Objavljeno: 08.06.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Kuhinjski-pomocnik-mz---v-megamarketu-Interspar-Citypark-73987.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Informatik-73996.php"	"Informatik m/ž"	"KataleaConsulting d.o.o."	"Objavljeno: 08.06.2017"	"Kraj dela: Okolica Ljubljane"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Informatik-73996.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Specialist-v-operativi-ladijskega-oddelka-mz-73897.php"	"Specialist v operativi ladijskega oddelka (m/ž)"	"DEKRA zaposlitev d.o.o."	"Objavljeno: 08.06.2017"	"Kraj dela: Brnik"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Specialist-v-operativi-ladijskega-oddelka-mz-73897.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist---organizator-mz---vec-prostih-mest-73959.php"	"Telefonist - organizator (m/ž) - več prostih mest"	"Zavarovalno zastopanje I.Q. d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Maribor"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Telefonist---organizator-mz---vec-prostih-mest-73959.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Global-Category-Manager-mz-73993.php"	"Global Category Manager (m/ž)"	"Belimed d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Grosuplje"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Global-Category-Manager-mz-73993.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Senior-razvojni-inzenir---ANDROID-73992.php"	"Senior razvojni inženir - ANDROID m/ž"	"MANPOWER d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Senior-razvojni-inzenir---ANDROID-73992.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mesar---Prodajalec-mz---Kamnik-73986.php"	"Mesar - Prodajalec (m/ž) - Kamnik"	"Eurospin Eko d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Kamnik"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Mesar---Prodajalec-mz---Kamnik-73986.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Samostojni-racunovodja-mz-73988.php"	"Samostojni računovodja (m/ž)"	"TT OKROGLICA D.D."	"Objavljeno: 07.06.2017"	"Kraj dela: Volčja Draga"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Samostojni-racunovodja-mz-73988.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Q---Planer-v-plastikarni-mz-73985.php"	"Q - Planer v plastikarni (m/ž)"	"Iskra Mehanizmi, d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Kamnik"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Q---Planer-v-plastikarni-mz-73985.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Q---Planer-mz-73984.php"	"Q - Planer (m/ž)"	"Iskra Mehanizmi, d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Lipnica"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Q---Planer-mz-73984.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilni-tehnolog-73989.php"	"Varilni tehnolog m/ž"	"ALUMERO d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Slovenska Bistrica"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Varilni-tehnolog-73989.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/SPS--PLC-programer-73982.php"	"SPS / PLC programer m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Avstrija"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/SPS--PLC-programer-73982.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Konstruktor-73981.php"	"Konstruktor m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Avstrija"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Konstruktor-73981.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektro-projektant-73979.php"	"Elektro projektant m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Avstrija"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Elektro-projektant-73979.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Sodelavec-v-IT-oddelku-73978.php"	"Sodelavec v IT oddelku m/ž"	"Sensum d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Sodelavec-v-IT-oddelku-73978.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Resevalec-iz-vode-na-Ptuju-73973.php"	"Reševalec iz vode (na Ptuju) m/ž"	"Sava Turizem d.d., PE Terme Ptuj"	"Objavljeno: 07.06.2017"	"Kraj dela: Ptuj"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Resevalec-iz-vode-na-Ptuju-73973.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Diplomirana-medicinska-sestra-mz---vec-oseb-73975.php"	"Diplomirana medicinska sestra (m/ž) - več oseb"	"Trummer osebni servis d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Avstrijska Stajerska, Vorarleberg in Salzburg"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Diplomirana-medicinska-sestra-mz---vec-oseb-73975.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Inzenir-kakovosti-73966.php"	"Inženir kakovosti m/ž"	"Kolektor Etra d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Ljubljana - Črnuče"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Inzenir-kakovosti-73966.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Asistent-v-prodaji-rabljenih-vozil-mz---studentsko-delo-73964.php"	"Asistent v prodaji rabljenih vozil (m/ž) - študentsko delo"	"KMAG, Kia Motors Adria Group"	"Objavljeno: 07.06.2017"	"Kraj dela: Maribor"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Asistent-v-prodaji-rabljenih-vozil-mz---studentsko-delo-73964.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-nadomestnih-delov-73961.php"	"Prodajalec nadomestnih delov m/ž"	"KMAG, Kia Motors Adria Group"	"Objavljeno: 07.06.2017"	"Kraj dela: Maribor"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Prodajalec-nadomestnih-delov-73961.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Serviser-hladilne-tehnike-73965.php"	"Serviser hladilne tehnike m/ž"	"PET-PROM d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Ljubljana"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Serviser-hladilne-tehnike-73965.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji---strojnik-konfekcioner-73963.php"	"Delavec v proizvodnji - strojnik konfekcioner m/ž"	"Tosama d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Vir pri Domžalah"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Delavec-v-proizvodnji---strojnik-konfekcioner-73963.php"
"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-z-izpitom-za-vilicarja-73971.php"	"Skladiščnik z izpitom za viličarja m/ž"	"HTS Skupina d.o.o."	"Objavljeno: 07.06.2017"	"Kraj dela: Avstrija (Haag am Hausruck)"	""	""	""	""	"8.6.2017 7:39:49"	"https://www.mojazaposlitev.si/Iskanje/Pregled-oglasa/Skladiscnik-z-izpitom-za-vilicarja-73971.php"
